Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.09381730	-0.04776337	0.07919840	-0.00689114	-0.01361614	-0.00587220
0.016667	0.09369104	-0.04802777	0.07910657	-0.00349538	-0.00873889	-0.00615525
0.033333	0.09362493	-0.04816084	0.07899807	-0.00009961	-0.00386165	-0.00643830
0.050000	0.09364408	-0.04818049	0.07889093	0.00104119	-0.00296983	-0.00647734
0.066666	0.09372661	-0.04814084	0.07877214	0.00311499	-0.00031877	-0.00655639
0.083333	0.09380647	-0.04813426	0.07866930	0.00383408	-0.00039162	-0.00675390
0.100000	0.09388540	-0.04813261	0.07855543	0.00384474	-0.00186653	-0.00723983
0.116666	0.09392034	-0.04816801	0.07845309	0.00371040	-0.00300219	-0.00784732
0.133333	0.09396851	-0.04827482	0.07830347	0.00348312	-0.00392792	-0.00841308
0.149999	0.09403712	-0.04835469	0.07814972	0.00297961	-0.00561394	-0.00878207
0.166666	0.09411089	-0.04841796	0.07798479	0.00246578	-0.00724861	-0.00924818
0.183333	0.09415511	-0.04851896	0.07784184	0.00180435	-0.00830123	-0.00950318
0.199999	0.09414570	-0.04871645	0.07770213	0.00084326	-0.00895705	-0.00955336
0.216666	0.09415013	-0.04892074	0.07751806	0.00020746	-0.00905570	-0.00940882
0.233332	0.09415053	-0.04908019	0.07735675	0.00036255	-0.00787632	-0.00925757
0.249999	0.09414648	-0.04916820	0.07719038	0.00106659	-0.00564140	-0.00918984
0.266666	0.09417335	-0.04924618	0.07706862	0.00155762	-0.00399463	-0.00932604
0.283332	0.09420135	-0.04927758	0.07693012	0.00191905	-0.00356193	-0.00954013
0.299999	0.09426912	-0.04931270	0.07675353	0.00241344	-0.00377399	-0.00987221
0.316665	0.09428823	-0.04938313	0.07656434	0.00250743	-0.00418821	-0.01033653
0.333332	0.09432992	-0.04947675	0.07638973	0.00226484	-0.00436170	-0.01046267
0.349999	0.09438313	-0.04957272	0.07622161	0.00259836	-0.00504563	-0.01053278
0.366665	0.09440295	-0.04964626	0.07606139	0.00361668	-0.00624618	-0.01062397
0.383332	0.09445797	-0.04968259	0.07588059	0.00394465	-0.00697334	-0.01051177
0.399998	0.09454650	-0.04986494	0.07568242	0.00342590	-0.00657740	-0.00966940
0.416665	0.09465948	-0.05002431	0.07550733	0.00333474	-0.00632482	-0.00877004
0.433332	0.09469232	-0.05016227	0.07536839	0.00334126	-0.00547771	-0.00807318
0.449998	0.09467151	-0.05015102	0.07530580	0.00277759	-0.00400046	-0.00749192
0.466665	0.09474677	-0.05021793	0.07517017	0.00267052	-0.00374607	-0.00722702
0.483331	0.09480419	-0.05023117	0.07504330	0.00348208	-0.00473293	-0.00738706
0.499998	0.09487543	-0.05035264	0.07488944	0.00424681	-0.00602969	-0.00762346
0.516665	0.09494162	-0.05048831	0.07477181	0.00352596	-0.00557401	-0.00704764
0.533331	0.09500007	-0.05061930	0.07467053	0.00247684	-0.00469850	-0.00638473
0.549998	0.09509355	-0.05071696	0.07455190	0.00192464	-0.00358687	-0.00648844
0.566664	0.09503537	-0.05064678	0.07448863	0.00156105	-0.00241675	-0.00735688
0.583331	0.09506651	-0.05071281	0.07436223	0.00023894	-0.00015967	-0.00741265
0.599998	0.09507382	-0.05072105	0.07420199	-0.00133474	0.00167695	-0.00589917
0.616664	0.09510753	-0.05076727	0.07403440	-0.00255496	0.00226569	-0.00257568
0.633331	0.09501893	-0.05060513	0.07399435	-0.00376640	0.00244363	0.00338451
0.649997	0.09489396	-0.05050731	0.07411495	-0.00561728	0.00395899	0.01258967
0.666664	0.09478159	-0.05048262	0.07437851	-0.00718742	0.00751338	0.02397811
0.683331	0.09471913	-0.05051096	0.07483338	-0.00604915	0.01152641	0.03535922
0.699997	0.09453820	-0.05026833	0.07555760	-0.00356590	0.01733571	0.04574790
0.716664	0.09445266	-0.04983092	0.07647088	-0.00155837	0.02398068	0.05399070
0.733330	0.09448671	-0.04931868	0.07750361	-0.00068259	0.02803277	0.05817072
0.749997	0.09458566	-0.04876807	0.07855272	-0.00014771	0.02623591	0.05743899
0.766664	0.09462884	-0.04829859	0.07954912	-0.00093382	0.02156426	0.05303155
0.783330	0.09450032	-0.04794911	0.08040812	-0.00253369	0.01661756	0.04562601
0.799997	0.09443411	-0.04785684	0.08109048	-0.00373339	0.01190352	0.03602575
0.816663	0.09432991	-0.04771373	0.08164002	-0.00353066	0.00766666	0.02591583
0.833330	0.09432988	-0.04759838	0.08196281	-0.00340657	0.00551703	0.01716181
0.849997	0.09429302	-0.04746757	0.08212923	-0.00354027	0.00483204	0.00957280
0.866663	0.09424949	-0.04745260	0.08217774	-0.00303389	0.00279076	0.00293118
0.883330	0.09411388	-0.04740063	0.08221272	-0.00199069	-0.00055351	-0.00249178
0.899996	0.09407496	-0.04739267	0.08214094	-0.00014588	-0.00425380	-0.00692635
0.916663	0.09409466	-0.04748594	0.08198272	0.00189186	-0.00657256	-0.01043160
0.933330	0.09421591	-0.04767995	0.08172191	0.00403641	-0.00853346	-0.01299040
0.949996	0.09430885	-0.04791968	0.08145684	0.00538590	-0.00974799	-0.01447821
0.966663	0.09437058	-0.04801550	0.08122145	0.00614184	-0.01051333	-0.01555281
0.983329	0.09447262	-0.04818132	0.08099432	0.00684979	-0.01124625	-0.01676063
0.999996	0.09457938	-0.04830993	0.08072836	0.00689964	-0.01195335	-0.01747965
1.016663	0.09474967	-0.04860575	0.08038447	0.00565051	-0.01244630	-0.01738548
1.033329	0.09489858	-0.04886653	0.08001366	0.00417122	-0.01212043	-0.01665852
1.049996	0.09490070	-0.04905381	0.07977194	0.00353859	-0.01149691	-0.01583385
1.066662	0.09487825	-0.04919829	0.07956252	0.00400265	-0.01054030	-0.01497692
1.083329	0.09488943	-0.04930365	0.07938792	0.00558855	-0.01035076	-0.01415363
1.099996	0.09505825	-0.04952186	0.07908695	0.00761907	-0.01004316	-0.01373837
1.116662	0.09528495	-0.04972178	0.07881356	0.00779103	-0.00852201	-0.01285614
1.133329	0.09545295	-0.04991930	0.07860590	0.00584266	-0.00557443	-0.01104043
1.149995	0.09555149	-0.04997654	0.07845049	0.00299574	-0.00242985	-0.00849779
1.166662	0.09546231	-0.04991166	0.07838000	0.00165597	-0.00065336	-0.00719040
1.183329	0.09543779	-0.04983830	0.07826944	0.00098631	0.00066186	-0.00686902
1.199995	0.09543591	-0.04984023	0.07818768	0.00095565	0.00120320	-0.00701468
1.216662	0.09559800	-0.04992583	0.07800778	0.00136801	0.00051940	-0.00719204
1.233328	0.09558808	-0.04988162	0.07789051	0.00176073	-0.00078166	-0.00748775
1.249995	0.09559628	-0.04983623	0.07776833	0.00141372	-0.00149146	-0.00754218
1.266662	0.09553091	-0.04984260	0.07768040	0.00109416	-0.00247953	-0.00707268
1.283328	0.09562096	-0.04995675	0.07753475	0.00211754	-0.00452435	-0.00717367
1.299995	0.09565080	-0.05006529	0.07741391	0.00316912	-0.00631549	-0.00752482
1.316661	0.09574599	-0.05017747	0.07729419	0.00301239	-0.00656084	-0.00784408
1.333328	0.09579172	-0.05028733	0.07716254	0.00132237	-0.00572898	-0.00768877
1.349995	0.09583404	-0.05040740	0.07703315	-0.00024200	-0.00459028	-0.00779639
1.366661	0.09578382	-0.05045661	0.07688430	-0.00241284	-0.00208841	-0.00748704
1.383328	0.09570497	-0.05050619	0.07677982	-0.00412712	0.00101367	-0.00677611
1.399994	0.09563971	-0.05046932	0.07663859	-0.00512866	0.00428280	-0.00551312
1.416661	0.09550631	-0.05032668	0.07658145	-0.00513362	0.00664321	-0.00435149
1.433328	0.09545097	-0.05019646	0.07649746	-0.00445114	0.00751206	-0.00386005
1.449994	0.09533764	-0.04997718	0.07649863	-0.00343309	0.00702550	-0.00384176
1.466661	0.09531429	-0.04991702	0.07642436	-0.00217133	0.00528978	-0.00421719
1.483328	0.09529842	-0.04984338	0.07633769	-0.00156206	0.00364212	-0.00426160
1.499994	0.09527998	-0.04981247	0.07623294	-0.00116982	0.00236244	-0.00431204
1.516661	0.09530162	-0.04982993	0.07614893	-0.00077620	0.00160056	-0.00441985
1.533327	0.09522066	-0.04972776	0.07613711	0.00059296	0.00032351	-0.00523826
1.549994	0.09523816	-0.04976176	0.07606419	0.00180726	-0.00034711	-0.00579061
1.566660	0.09526547	-0.04973955	0.07594660	0.00257959	-0.00053238	-0.00608596
1.583327	0.09540967	-0.04984907	0.07575559	0.00291520	-0.00027815	-0.00606409
1.599994	0.09546205	-0.04983812	0.07566823	0.00237257	-0.00020420	-0.00552239
1.616660	0.09547693	-0.04979791	0.07561255	0.00124962	-0.00039794	-0.00470182
1.633327	0.09544587	-0.04974120	0.07559089	-0.00007652	-0.00047824	-0.00410435
1.649993	0.09543803	-0.04980030	0.07550608	-0.00015959	-0.00160883	-0.00462646
1.666660	0.09544274	-0.04985596	0.07540558	0.00052259	-0.00308301	-0.00533270
1.683327	0.09544421	-0.04993418	0.07530955	0.00107333	-0.00443647	-0.00507584
1.699993	0.09548726	-0.04997956	0.07519650	0.00066653	-0.00480056	-0.00271675
1.716660	0.09551974	-0.05006955	0.07514434	0.00038725	-0.00578514	0.00121870
1.733326	0.09552263	-0.05019119	0.07515958	-0.00010267	-0.00601203	0.00718436
1.749993	0.09546837	-0.05027241	0.07534614	-0.00158188	-0.00297939	0.01658238
1.766660	0.09547573	-0.05045674	0.07563119	-0.00360885	0.00373829	0.02883476
1.783326	0.09541541	-0.05037652	0.07615991	-0.00534924	0.01173331	0.04092918
1.799993	0.09531433	-0.05007768	0.07701468	-0.00661946	0.01866816	0.05035249
1.816659	0.09513236	-0.04952503	0.07809191	-0.00742561	0.02377439	0.05618550
1.833326	0.09497938	-0.04900746	0.07916686	-0.00752497	0.02506147	0.05738669
1.849993	0.09487508	-0.04866404	0.08010320	-0.00674947	0.02187788	0.05284163
1.866659	0.09479763	-0.04830741	0.08092456	-0.00550537	0.01596420	0.04431321
1.883326	0.09469993	-0.04808429	0.08166564	-0.00499243	0.01088158	0.03507200
1.899992	0.09463239	-0.04794156	0.08214288	-0.00489080	0.00742569	0.02615242
1.916659	0.09454622	-0.04791639	0.08247407	-0.00566142	0.00592512	0.01779616
1.933326	0.09446309	-0.04789967	0.08264657	-0.00692475	0.00564060	0.01058110
1.949992	0.09437361	-0.04778434	0.08275598	-0.00687647	0.00496494	0.00451012
1.966659	0.09417171	-0.04758919	0.08282962	-0.00444921	0.00324478	-0.00124936
1.983325	0.09404001	-0.04750404	0.08277147	-0.00073880	0.00082998	-0.00633306
1.999992	0.09405043	-0.04755161	0.08260958	0.00273665	-0.00237976	-0.01068935
2.016659	0.09425069	-0.04774360	0.08232114	0.00490369	-0.00554495	-0.01388615
2.033325	0.09445795	-0.04782083	0.08204734	0.00526907	-0.00742193	-0.01555062
2.049992	0.09450974	-0.04794671	0.08178870	0.00399848	-0.00759905	-0.01563723
2.066658	0.09447239	-0.04803840	0.08153915	0.00241456	-0.00751862	-0.01471626
2.083325	0.09445544	-0.04821345	0.08129133	0.00246712	-0.00751625	-0.01419226
2.099992	0.09450520	-0.04833752	0.08105847	0.00400962	-0.00654855	-0.01427634
2.116658	0.09464350	-0.04847762	0.08085043	0.00533512	-0.00529327	-0.01457220
2.133325	0.09477072	-0.04852127	0.08060609	0.00558576	-0.00442801	-0.01457358
2.149992	0.09487632	-0.04854776	0.08033701	0.00489885	-0.00429336	-0.01422951
2.166658	0.09491480	-0.04859564	0.08007132	0.00361481	-0.00431964	-0.01362944
2.183325	0.09495224	-0.04871061	0.07985850	0.00268542	-0.00487544	-0.01274572
2.199991	0.09499833	-0.04882709	0.07968616	0.00228305	-0.00548065	-0.01175289
2.216658	0.09502567	-0.04890378	0.07950573	0.00248381	-0.00555702	-0.01143225
2.233325	0.09508275	-0.04897906	0.07931418	0.00291170	-0.00577927	-0.01197715
2.249991	0.09510422	-0.04906740	0.07911895	0.00398649	-0.00673684	-0.01269014
2.266658	0.09518522	-0.04916880	0.07888484	0.00501210	-0.00799531	-0.01296984
2.283324	0.09526467	-0.04934843	0.07865886	0.00447554	-0.00779021	-0.01250235
2.299991	0.09542000	-0.04950934	0.07842873	0.00302409	-0.00634649	-0.01152986
2.316658	0.09548780	-0.04967224	0.07824805	0.00162263	-0.00483211	-0.01060688
2.333324	0.09542113	-0.04964192	0.07811412	-0.00015132	-0.00337067	-0.01004800
2.349991	0.09536915	-0.04964680	0.07796764	-0.00266058	-0.00197501	-0.00934489
2.366657	0.09534132	-0.04967649	0.07780091	-0.00424990	-0.00055321	-0.00856053
