Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.09361193	-0.05798603	0.09373579	-0.00127405	-0.00989486	-0.01716736
0.016667	0.09358949	-0.05818394	0.09338582	-0.00176043	-0.00526631	-0.00957351
0.033333	0.09356655	-0.05826392	0.09325202	-0.00224681	-0.00063777	-0.00197966
0.050000	0.09352881	-0.05822959	0.09329810	-0.00217111	0.00084298	0.00081633
0.066666	0.09346948	-0.05814437	0.09341165	-0.00187092	0.00521369	0.00945643
0.083333	0.09343071	-0.05806689	0.09352581	-0.00065502	0.00857452	0.01762039
0.100000	0.09341801	-0.05791203	0.09384327	0.00143506	0.01093340	0.02573735
0.116666	0.09344905	-0.05768471	0.09437422	0.00349106	0.01286912	0.03334386
0.133333	0.09355816	-0.05740447	0.09510967	0.00475021	0.01458224	0.03858276
0.149999	0.09367899	-0.05716037	0.09587030	0.00563642	0.01527300	0.03914677
0.166666	0.09378519	-0.05691567	0.09655765	0.00666871	0.01458230	0.03508909
0.183333	0.09384564	-0.05665980	0.09712137	0.00823173	0.01301368	0.02900638
0.199999	0.09396448	-0.05642666	0.09750254	0.01092472	0.01112603	0.02425524
0.216666	0.09416893	-0.05625636	0.09777591	0.01388671	0.00848412	0.02130405
0.233332	0.09446600	-0.05615157	0.09806477	0.01522815	0.00526702	0.01873564
0.249999	0.09482241	-0.05608904	0.09844789	0.01346772	0.00232185	0.01541669
0.266666	0.09507988	-0.05608586	0.09879295	0.00955161	0.00038181	0.01134683
0.283332	0.09519105	-0.05611565	0.09893685	0.00465101	-0.00057163	0.00674940
0.299999	0.09512903	-0.05615525	0.09889157	-0.00006869	-0.00069250	0.00198711
0.316665	0.09507077	-0.05616244	0.09882657	-0.00301657	0.00004597	-0.00170846
0.333332	0.09499874	-0.05615028	0.09880879	-0.00386266	0.00049742	-0.00475319
0.349999	0.09493656	-0.05612020	0.09878675	-0.00305404	-0.00043456	-0.00905175
0.366665	0.09488627	-0.05608129	0.09867100	-0.00189912	-0.00243158	-0.01528254
0.383332	0.09483272	-0.05613974	0.09833496	-0.00130404	-0.00419853	-0.02204378
0.399998	0.09486894	-0.05627622	0.09782891	-0.00191008	-0.00523608	-0.02762936
0.416665	0.09487025	-0.05643786	0.09724647	-0.00282300	-0.00542078	-0.03076726
0.433332	0.09481975	-0.05651383	0.09670595	-0.00355677	-0.00471922	-0.03115782
0.449998	0.09467525	-0.05653756	0.09621061	-0.00407399	-0.00395728	-0.03003628
0.466665	0.09457647	-0.05656543	0.09573809	-0.00442834	-0.00403670	-0.02827901
0.483331	0.09453790	-0.05663554	0.09527596	-0.00455459	-0.00488566	-0.02540274
0.499998	0.09452701	-0.05675762	0.09481593	-0.00481749	-0.00540894	-0.02086510
0.516665	0.09442979	-0.05688444	0.09445469	-0.00580835	-0.00515269	-0.01549663
0.533331	0.09430186	-0.05697414	0.09426989	-0.00700253	-0.00406913	-0.00927877
0.549998	0.09413090	-0.05701043	0.09422730	-0.00711563	-0.00213702	-0.00089579
0.566664	0.09401254	-0.05702689	0.09423160	-0.00566697	0.00022469	0.00909809
0.583331	0.09391224	-0.05702254	0.09436730	-0.00343723	0.00247869	0.01861211
0.599998	0.09389728	-0.05696407	0.09479303	-0.00091467	0.00474326	0.02654812
0.616664	0.09391186	-0.05685769	0.09543785	0.00095368	0.00741913	0.03323292
0.633331	0.09395485	-0.05671229	0.09612245	0.00187428	0.01077245	0.03793087
0.649997	0.09402013	-0.05652371	0.09672301	0.00150860	0.01440153	0.03908068
0.666664	0.09403797	-0.05627296	0.09735724	0.00087865	0.01763792	0.03749378
0.683331	0.09405290	-0.05591186	0.09803486	0.00069466	0.01983665	0.03531213
0.699997	0.09399959	-0.05552072	0.09863816	0.00128683	0.02006041	0.03244971
0.716664	0.09402414	-0.05513925	0.09914670	0.00210707	0.01770053	0.02704478
0.733330	0.09408500	-0.05484370	0.09955942	0.00296702	0.01380138	0.02045900
0.749997	0.09419463	-0.05467498	0.09986960	0.00329619	0.01029192	0.01551396
0.766664	0.09424733	-0.05459929	0.10000239	0.00249454	0.00765155	0.01235352
0.783330	0.09428516	-0.05452733	0.10011657	0.00108667	0.00546450	0.00946194
0.799997	0.09426052	-0.05439688	0.10029690	-0.00044283	0.00355184	0.00623482
0.816663	0.09424807	-0.05429780	0.10047819	-0.00120059	0.00196523	0.00277010
0.833330	0.09421051	-0.05430207	0.10052066	-0.00088297	-0.00029432	-0.00244156
0.849997	0.09417677	-0.05437449	0.10037918	-0.00002388	-0.00366091	-0.00968728
0.866663	0.09418212	-0.05444112	0.10015766	0.00045918	-0.00719325	-0.01707084
0.883330	0.09423003	-0.05455800	0.09980061	0.00049621	-0.01031826	-0.02273863
0.899996	0.09426702	-0.05475239	0.09935613	0.00024930	-0.01315053	-0.02687036
0.916663	0.09425662	-0.05503742	0.09883793	-0.00094891	-0.01551601	-0.03009823
0.933330	0.09420311	-0.05534983	0.09831263	-0.00294631	-0.01673809	-0.03226822
0.949996	0.09417392	-0.05564299	0.09777330	-0.00462534	-0.01682258	-0.03361171
0.966663	0.09406164	-0.05591264	0.09719731	-0.00468524	-0.01591493	-0.03354995
0.983329	0.09395351	-0.05615674	0.09660699	-0.00359891	-0.01449013	-0.03176221
0.999996	0.09383803	-0.05641045	0.09602343	-0.00170034	-0.01276554	-0.02813343
1.016663	0.09387242	-0.05661413	0.09558223	0.00090812	-0.01090704	-0.02335595
1.033329	0.09392774	-0.05678502	0.09525815	0.00323561	-0.00890812	-0.01815233
1.049996	0.09404104	-0.05689389	0.09505510	0.00430951	-0.00696911	-0.01317819
1.066662	0.09411746	-0.05698982	0.09486891	0.00326113	-0.00462597	-0.00845324
1.083329	0.09417951	-0.05706158	0.09473234	0.00049044	-0.00172156	-0.00341018
1.099996	0.09419527	-0.05711427	0.09467275	-0.00267402	0.00144199	0.00315850
1.116662	0.09410464	-0.05704196	0.09477010	-0.00432430	0.00463825	0.01252157
1.133329	0.09393667	-0.05691658	0.09501661	-0.00424297	0.00783912	0.02381315
1.149995	0.09381194	-0.05672544	0.09550287	-0.00360133	0.01042826	0.03393302
1.166662	0.09380711	-0.05655473	0.09623002	-0.00282870	0.01177276	0.03964168
1.183329	0.09387816	-0.05633137	0.09711129	-0.00203953	0.01243619	0.04092940
1.199995	0.09382657	-0.05611715	0.09787656	-0.00138075	0.01310935	0.03938411
1.216662	0.09374402	-0.05589768	0.09840120	-0.00051864	0.01343591	0.03608677
1.233328	0.09366289	-0.05567511	0.09886017	0.00131012	0.01266227	0.03198230
1.249995	0.09373318	-0.05543108	0.09938774	0.00459230	0.01142948	0.02900224
1.266662	0.09389079	-0.05524152	0.09994808	0.00776309	0.01043219	0.02713363
1.283328	0.09406526	-0.05510875	0.10039415	0.00926629	0.01003601	0.02474854
1.299995	0.09426727	-0.05499595	0.10074238	0.00852503	0.01009338	0.02199811
1.316661	0.09439151	-0.05482351	0.10103270	0.00710941	0.01028039	0.01971629
1.333328	0.09449431	-0.05459834	0.10133258	0.00589526	0.01025100	0.01816883
1.349995	0.09452981	-0.05438888	0.10168011	0.00466505	0.00903815	0.01568663
1.366661	0.09461272	-0.05425606	0.10196158	0.00330565	0.00598293	0.01088981
1.383328	0.09470172	-0.05417162	0.10217780	0.00169405	0.00161814	0.00343231
1.399994	0.09473068	-0.05418790	0.10215186	-0.00091058	-0.00254837	-0.00569193
1.416661	0.09469728	-0.05426945	0.10196011	-0.00458183	-0.00551550	-0.01475169
1.433328	0.09458444	-0.05444438	0.10158139	-0.00779822	-0.00735697	-0.02241069
1.449994	0.09438251	-0.05459603	0.10111210	-0.00929467	-0.00819567	-0.02786815
1.466661	0.09418003	-0.05472048	0.10060477	-0.00926971	-0.00853495	-0.03207305
1.483328	0.09399474	-0.05483890	0.10004453	-0.00882495	-0.00914300	-0.03563209
1.499994	0.09392260	-0.05497167	0.09945797	-0.00891842	-0.01104171	-0.03944181
1.516661	0.09382650	-0.05517247	0.09875601	-0.00914667	-0.01372380	-0.04218796
1.533327	0.09365979	-0.05542238	0.09799958	-0.00860840	-0.01708633	-0.04262561
1.549994	0.09341476	-0.05575646	0.09717365	-0.00680796	-0.01995327	-0.03990725
1.566661	0.09325515	-0.05610544	0.09650622	-0.00443747	-0.02123919	-0.03521464
1.583327	0.09325790	-0.05653913	0.09597232	-0.00283052	-0.02015308	-0.02973602
1.599994	0.09336985	-0.05688821	0.09564485	-0.00257657	-0.01702747	-0.02365438
1.616660	0.09335791	-0.05718498	0.09526724	-0.00472443	-0.01261060	-0.01653186
1.633327	0.09320710	-0.05729827	0.09496935	-0.00803403	-0.00814124	-0.00793222
1.649993	0.09297551	-0.05736768	0.09479703	-0.00929005	-0.00502737	0.00185163
1.666660	0.09272525	-0.05737758	0.09496478	-0.00656995	-0.00382276	0.01290017
1.683327	0.09261550	-0.05744053	0.09536373	-0.00089765	-0.00347228	0.02399163
1.699993	0.09266274	-0.05751687	0.09588776	0.00548696	-0.00143573	0.03451823
1.716660	0.09288350	-0.05762202	0.09650122	0.01011145	0.00313108	0.04279645
1.733326	0.09316817	-0.05758191	0.09724456	0.01126365	0.00958780	0.04724640
1.749993	0.09340145	-0.05733906	0.09820819	0.00854805	0.01562279	0.04696123
1.766660	0.09353438	-0.05691110	0.09915038	0.00430403	0.01944963	0.04390328
1.783326	0.09352431	-0.05645843	0.09985440	0.00163373	0.02052714	0.04011680
1.799993	0.09340695	-0.05613320	0.10028498	0.00110325	0.01871124	0.03522648
1.816659	0.09339645	-0.05590308	0.10074962	0.00155528	0.01468789	0.02949607
1.833326	0.09349795	-0.05567364	0.10135965	0.00256513	0.00963299	0.02304276
1.849993	0.09365060	-0.05551736	0.10184579	0.00338027	0.00432348	0.01498374
1.866659	0.09368179	-0.05543433	0.10205118	0.00298136	-0.00127987	0.00379605
1.883326	0.09367105	-0.05556171	0.10188270	0.00135698	-0.00657175	-0.00916581
1.899992	0.09366625	-0.05576045	0.10157279	0.00028424	-0.01133795	-0.02104361
1.916659	0.09369761	-0.05602208	0.10112566	0.00129540	-0.01548406	-0.03067856
1.933326	0.09369112	-0.05624977	0.10057640	0.00285597	-0.01802902	-0.03833942
1.949992	0.09373594	-0.05657135	0.09986986	0.00419615	-0.01811741	-0.04433638
1.966659	0.09384980	-0.05696145	0.09900509	0.00550015	-0.01594423	-0.04865975
1.983325	0.09396067	-0.05730142	0.09810800	0.00636357	-0.01268762	-0.05094917
1.999992	0.09409981	-0.05744132	0.09724959	0.00607523	-0.00823915	-0.04915737
2.016659	0.09419262	-0.05745425	0.09640437	0.00513466	-0.00365570	-0.04283255
2.033325	0.09426740	-0.05745240	0.09565764	0.00462180	-0.00102707	-0.03419845
2.049992	0.09431496	-0.05745333	0.09514037	0.00481112	-0.00129223	-0.02534414
2.066658	0.09436034	-0.05746822	0.09489853	0.00531690	-0.00251974	-0.01563887
2.083325	0.09448750	-0.05751557	0.09477495	0.00638517	-0.00318560	-0.00448147
2.099992	0.09461702	-0.05762261	0.09467881	0.00735889	-0.00249938	0.00671259
2.116658	0.09474146	-0.05769149	0.09480983	0.00679268	-0.00076335	0.01574083
2.133325	0.09489962	-0.05771154	0.09524006	0.00386210	0.00245008	0.02350783
2.149992	0.09496188	-0.05759543	0.09586847	-0.00083298	0.00748490	0.03210371
2.166658	0.09495804	-0.05747506	0.09639769	-0.00612019	0.01391869	0.04103721
2.183325	0.09474412	-0.05720774	0.09698746	-0.01013104	0.01958646	0.04733995
2.199991	0.09446142	-0.05682643	0.09785203	-0.01211875	0.02255288	0.04957222
2.216658	0.09419131	-0.05627738	0.09896945	-0.01155932	0.02238118	0.04843247
2.233325	0.09403646	-0.05583459	0.09992377	-0.00805228	0.01897488	0.04371168
2.249991	0.09393302	-0.05556167	0.10050869	-0.00288935	0.01369634	0.03523617
2.266658	0.09391797	-0.05547502	0.10085002	0.00174050	0.00868052	0.02525287
2.283324	0.09398793	-0.05544560	0.10117918	0.00424484	0.00552386	0.01668400
2.299991	0.09417111	-0.05537080	0.10147512	0.00532700	0.00339239	0.00944536
2.316658	0.09429594	-0.05525163	0.10165506	0.00529854	0.00154384	0.00141606
2.333324	0.09434096	-0.05519622	0.10158715	0.00390092	-0.00054226	-0.00798806
2.349991	0.09436532	-0.05526662	0.10132873	0.00162036	-0.00381842	-0.01827016
2.366657	0.09438850	-0.05540403	0.10090332	0.00011090	-0.00777827	-0.02756524
2.383324	0.09440006	-0.05553035	0.10040072	-0.00017375	-0.01080703	-0.03375286
2.399991	0.09435417	-0.05574338	0.09971251	-0.00003174	-0.01211207	-0.03679312
