Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.07472850	-0.00738888	0.10681251	-0.01606042	0.00071331	0.04821521
0.016667	0.07442785	-0.00736446	0.10763511	-0.01287153	0.00154187	0.04446182
0.033333	0.07422869	-0.00734405	0.10839909	-0.00968263	0.00237043	0.04070842
0.050000	0.07411379	-0.00733143	0.10901543	-0.01059842	0.00313882	0.04039885
0.066666	0.07399842	-0.00725860	0.10961068	-0.01107660	0.00300830	0.03686223
0.083333	0.07383983	-0.00713926	0.11026610	-0.01280231	0.00235803	0.03227586
0.100000	0.07354555	-0.00711192	0.11085124	-0.01361212	0.00157235	0.02693317
0.116666	0.07324149	-0.00710932	0.11129380	-0.01151969	0.00052389	0.02016828
0.133333	0.07299250	-0.00717839	0.11147574	-0.00665854	-0.00027776	0.01244002
0.149999	0.07292363	-0.00715473	0.11160375	-0.00008773	0.00014167	0.00563009
0.166666	0.07306670	-0.00714805	0.11161181	0.00569584	0.00051030	-0.00115261
0.183333	0.07325094	-0.00712336	0.11159454	0.00832203	-0.00086710	-0.01053684
0.199999	0.07350056	-0.00707704	0.11148423	0.00796917	-0.00318231	-0.02071277
0.216666	0.07360487	-0.00716535	0.11103608	0.00662609	-0.00514697	-0.02907530
0.233332	0.07362261	-0.00733635	0.11026877	0.00513463	-0.00752327	-0.03581419
0.249999	0.07366499	-0.00749332	0.10953581	0.00352962	-0.00956590	-0.04076866
0.266666	0.07375022	-0.00764232	0.10887021	0.00341704	-0.00914776	-0.04269043
0.283332	0.07385861	-0.00779806	0.10829236	0.00560200	-0.00580315	-0.04156636
0.299999	0.07387336	-0.00797675	0.10751239	0.00866603	-0.00184725	-0.04027003
0.316665	0.07397934	-0.00797850	0.10675230	0.01134572	0.00113841	-0.03961520
0.333332	0.07426643	-0.00779935	0.10613654	0.01379771	0.00331053	-0.03768102
0.349999	0.07458704	-0.00766502	0.10554995	0.01527599	0.00424132	-0.03354868
0.366665	0.07490370	-0.00760982	0.10504196	0.01455454	0.00250610	-0.02967697
0.383332	0.07509959	-0.00765031	0.10453229	0.01195141	-0.00090873	-0.02642840
0.399998	0.07524408	-0.00766350	0.10414011	0.00959799	-0.00388351	-0.02324967
0.416665	0.07538180	-0.00773881	0.10378937	0.00863593	-0.00539485	-0.01932580
0.433332	0.07546695	-0.00786880	0.10349161	0.00841271	-0.00601409	-0.01442744
0.449998	0.07565476	-0.00801884	0.10324398	0.00682454	-0.00662651	-0.00872776
0.466665	0.07580304	-0.00811694	0.10313489	0.00323636	-0.00668268	-0.00189164
0.483331	0.07590978	-0.00819441	0.10315630	-0.00205473	-0.00618441	0.00523815
0.499998	0.07580214	-0.00829853	0.10334626	-0.00818181	-0.00583879	0.01219862
0.516665	0.07554154	-0.00841006	0.10362875	-0.01361785	-0.00629169	0.01931090
0.533331	0.07521701	-0.00851211	0.10397764	-0.01716140	-0.00704166	0.02591848
0.549998	0.07489514	-0.00861463	0.10443566	-0.01810293	-0.00698437	0.03180278
0.566664	0.07459777	-0.00875117	0.10506149	-0.01797281	-0.00547230	0.03744647
0.583331	0.07431808	-0.00889472	0.10574335	-0.01811649	-0.00283588	0.04359822
0.599998	0.07403812	-0.00894139	0.10652599	-0.01939580	0.00012189	0.04973115
0.616664	0.07371971	-0.00886362	0.10733045	-0.02136984	0.00288561	0.05373105
0.633331	0.07334684	-0.00872596	0.10834268	-0.02242004	0.00522000	0.05381207
0.649997	0.07289862	-0.00862381	0.10938507	-0.02159697	0.00690594	0.05031345
0.666664	0.07247896	-0.00855294	0.11027417	-0.01894713	0.00752420	0.04472676
0.683331	0.07218819	-0.00843171	0.11086933	-0.01605335	0.00692516	0.03813599
0.699997	0.07201552	-0.00825071	0.11131414	-0.01322357	0.00583018	0.03239965
0.716664	0.07190403	-0.00811558	0.11178751	-0.01014971	0.00466397	0.02814323
0.733330	0.07166678	-0.00809462	0.11231485	-0.00641080	0.00345025	0.02394481
0.749997	0.07151385	-0.00811392	0.11277714	-0.00282974	0.00210802	0.01709278
0.766664	0.07147614	-0.00809473	0.11305437	0.00057500	0.00200213	0.00810060
0.783330	0.07165688	-0.00801188	0.11305764	0.00337837	0.00293744	-0.00109103
0.799997	0.07178482	-0.00797420	0.11283957	0.00469895	0.00354057	-0.00889562
0.816663	0.07186370	-0.00787819	0.11260609	0.00420948	0.00216179	-0.01552096
0.833330	0.07184148	-0.00785023	0.11233617	0.00346964	0.00016025	-0.02090269
0.849997	0.07188862	-0.00781272	0.11204527	0.00486625	-0.00067613	-0.02572040
0.866663	0.07194176	-0.00794900	0.11151181	0.00862706	-0.00076602	-0.03107720
0.883330	0.07212935	-0.00798546	0.11091676	0.01297926	-0.00041099	-0.03534126
0.899996	0.07238756	-0.00795912	0.11023697	0.01535444	0.00078291	-0.03632947
0.916663	0.07276919	-0.00788229	0.10955840	0.01555568	0.00321558	-0.03343342
0.933330	0.07307796	-0.00782637	0.10901722	0.01518650	0.00533845	-0.02912298
0.949996	0.07325802	-0.00777702	0.10858131	0.01480224	0.00634442	-0.02600628
0.966663	0.07338642	-0.00762791	0.10831335	0.01323493	0.00629192	-0.02473532
0.983329	0.07365588	-0.00745422	0.10796064	0.01206939	0.00635925	-0.02491045
0.999996	0.07394384	-0.00735554	0.10745378	0.01267561	0.00603886	-0.02607892
1.016663	0.07411928	-0.00730676	0.10696021	0.01338085	0.00436421	-0.02726398
1.033329	0.07426651	-0.00724928	0.10646142	0.01183299	0.00159678	-0.02628050
1.049996	0.07449105	-0.00718245	0.10608999	0.00925999	-0.00144296	-0.02287725
1.066662	0.07473094	-0.00720034	0.10569350	0.00674973	-0.00434303	-0.01766219
1.083329	0.07481249	-0.00735220	0.10540401	0.00293640	-0.00724790	-0.01160768
1.099996	0.07478767	-0.00754853	0.10524593	-0.00246533	-0.00963604	-0.00513146
1.116662	0.07469057	-0.00772924	0.10525747	-0.00745597	-0.01054540	0.00227624
1.133329	0.07452008	-0.00789487	0.10537415	-0.01149119	-0.01029826	0.01012300
1.149995	0.07429790	-0.00805735	0.10557691	-0.01498228	-0.00972146	0.01796145
1.166662	0.07402568	-0.00822227	0.10591219	-0.01791477	-0.00801159	0.02606481
1.183329	0.07367570	-0.00838033	0.10642677	-0.01962722	-0.00467951	0.03379492
1.199995	0.07332300	-0.00848709	0.10707448	-0.02053981	-0.00017354	0.04006186
1.216662	0.07293227	-0.00843090	0.10788932	-0.02098338	0.00443553	0.04446975
1.233328	0.07263692	-0.00827117	0.10865609	-0.02074898	0.00826176	0.04727193
1.249995	0.07227860	-0.00803384	0.10946060	-0.01897272	0.01122146	0.04802977
1.266662	0.07194669	-0.00784847	0.11024278	-0.01540753	0.01288366	0.04517682
1.283328	0.07163455	-0.00766679	0.11107660	-0.01043622	0.01307800	0.03859446
1.299995	0.07150598	-0.00741597	0.11179656	-0.00400690	0.01204874	0.02834741
1.316661	0.07153528	-0.00717786	0.11217614	0.00339126	0.01053401	0.01489958
1.333328	0.07167914	-0.00698004	0.11227313	0.01036536	0.00809059	-0.00044178
1.349995	0.07190186	-0.00691153	0.11206987	0.01560363	0.00441375	-0.01447777
1.366661	0.07223330	-0.00687354	0.11168659	0.01925830	-0.00020066	-0.02560399
1.383328	0.07259156	-0.00689236	0.11114386	0.02089498	-0.00417770	-0.03345339
1.399994	0.07300502	-0.00698732	0.11049147	0.02015137	-0.00645158	-0.03800653
1.416661	0.07336386	-0.00718800	0.10977910	0.01815472	-0.00705267	-0.04039572
1.433328	0.07363904	-0.00735648	0.10907565	0.01661844	-0.00562364	-0.04172707
1.449994	0.07382203	-0.00745683	0.10840647	0.01599016	-0.00233751	-0.04221121
1.466661	0.07403686	-0.00743058	0.10772404	0.01598856	0.00117113	-0.04172580
1.483327	0.07435138	-0.00734029	0.10698199	0.01599549	0.00289645	-0.04009125
1.499994	0.07469839	-0.00721942	0.10628095	0.01553780	0.00298423	-0.03655005
1.516661	0.07496968	-0.00717149	0.10565330	0.01356078	0.00269567	-0.03064339
1.533327	0.07514347	-0.00719992	0.10519803	0.01158115	0.00280418	-0.02442981
1.549994	0.07527167	-0.00720228	0.10489745	0.01110692	0.00271255	-0.02020278
1.566660	0.07537676	-0.00711306	0.10470897	0.01159419	0.00246126	-0.01793716
1.583327	0.07563770	-0.00698325	0.10443527	0.01221379	0.00201300	-0.01749452
1.599994	0.07590652	-0.00696014	0.10407886	0.01265125	0.00118875	-0.01877133
1.616660	0.07614408	-0.00700703	0.10373291	0.01217307	-0.00024788	-0.02046757
1.633327	0.07630064	-0.00706995	0.10340337	0.01064163	-0.00144068	-0.02076437
1.649993	0.07643344	-0.00706082	0.10306411	0.00933345	-0.00243075	-0.02034460
1.666660	0.07658558	-0.00707288	0.10269931	0.00919167	-0.00355793	-0.01946282
1.683327	0.07673683	-0.00710627	0.10237496	0.00889148	-0.00490802	-0.01715142
1.699993	0.07689340	-0.00726892	0.10206331	0.00653944	-0.00619717	-0.01230595
1.716660	0.07707679	-0.00740572	0.10186923	0.00234024	-0.00687269	-0.00537319
1.733326	0.07708948	-0.00754039	0.10180457	-0.00321214	-0.00672692	0.00292891
1.749993	0.07697017	-0.00761038	0.10196403	-0.00958160	-0.00585272	0.01148791
1.766660	0.07670566	-0.00769290	0.10225102	-0.01501943	-0.00507670	0.01889534
1.783326	0.07637075	-0.00778565	0.10268162	-0.01774482	-0.00452315	0.02445328
1.799993	0.07602778	-0.00786487	0.10313653	-0.01882061	-0.00413070	0.02889842
1.816659	0.07570058	-0.00793232	0.10364030	-0.01933419	-0.00314477	0.03252869
1.833326	0.07544654	-0.00797459	0.10417176	-0.01931504	-0.00174118	0.03513741
1.849993	0.07511190	-0.00800356	0.10483506	-0.01835055	0.00011744	0.03646347
1.866659	0.07475866	-0.00798714	0.10549024	-0.01685715	0.00246926	0.03624774
1.883326	0.07444465	-0.00794098	0.10614852	-0.01425894	0.00527562	0.03430790
1.899992	0.07424277	-0.00782367	0.10666306	-0.01077638	0.00750067	0.03052128
1.916659	0.07412241	-0.00766280	0.10714313	-0.00811938	0.00769318	0.02557120
1.933326	0.07407859	-0.00745358	0.10753387	-0.00805392	0.00548059	0.02158133
1.949992	0.07397328	-0.00733894	0.10785106	-0.00983086	0.00248157	0.02019361
1.966659	0.07381429	-0.00736612	0.10807387	-0.01130213	0.00070103	0.02021269
1.983325	0.07348539	-0.00750533	0.10839627	-0.01101509	0.00062195	0.01961060
1.999992	0.07324746	-0.00753918	0.10881103	-0.00888351	0.00209134	0.01799121
2.016659	0.07311333	-0.00741630	0.10922307	-0.00535919	0.00443967	0.01578069
2.033325	0.07315121	-0.00723202	0.10940505	-0.00104316	0.00645443	0.01199746
2.049992	0.07319306	-0.00710233	0.10949783	0.00211761	0.00657210	0.00647905
2.066658	0.07323109	-0.00703898	0.10956166	0.00331377	0.00524566	0.00029069
2.083325	0.07330006	-0.00697474	0.10960174	0.00334596	0.00480628	-0.00493636
2.099992	0.07336590	-0.00691890	0.10949452	0.00453247	0.00557639	-0.01146310
2.116658	0.07342410	-0.00683751	0.10919574	0.00793121	0.00602497	-0.02075301
2.133325	0.07350509	-0.00666904	0.10885116	0.01240821	0.00584603	-0.03065539
2.149992	0.07372746	-0.00654802	0.10823433	0.01652970	0.00561003	-0.03843654
2.166658	0.07415371	-0.00647582	0.10745593	0.01953498	0.00493762	-0.04376723
2.183325	0.07457245	-0.00644798	0.10658196	0.02021447	0.00333575	-0.04622649
2.199991	0.07494071	-0.00638566	0.10576989	0.01831274	0.00181322	-0.04420466
2.216658	0.07518391	-0.00631864	0.10506488	0.01555676	0.00117682	-0.03934682
2.233325	0.07535385	-0.00634086	0.10442901	0.01472736	0.00110225	-0.03472167
2.249991	0.07555901	-0.00636054	0.10396702	0.01581861	0.00036174	-0.03182793
2.266658	0.07580301	-0.00635449	0.10351307	0.01640710	-0.00051306	-0.02825652
2.283324	0.07620869	-0.00630823	0.10301737	0.01484586	-0.00116229	-0.02355626
2.299991	0.07654087	-0.00633971	0.10252605	0.01168747	-0.00193650	-0.01811731
2.316657	0.07667942	-0.00640149	0.10228665	0.00668864	-0.00300612	-0.01098280
2.333324	0.07666183	-0.00649678	0.10220748	-0.00001777	-0.00475208	-0.00281212
2.349991	0.07659878	-0.00654928	0.10229471	-0.00671948	-0.00603520	0.00529317
2.366657	0.07648584	-0.00662834	0.10243183	-0.01189419	-0.00660207	0.01193074
2.383324	0.07626016	-0.00680164	0.10264079	-0.01561972	-0.00706994	0.01792587
2.399990	0.07587659	-0.00692896	0.10302123	-0.01868017	-0.00824255	0.02439579
