Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.09553223	-0.02354156	0.10398204	0.01019541	0.00113131	-0.01305693
0.016667	0.09575417	-0.02347098	0.10380380	0.00821407	-0.00007331	-0.01409439
0.033333	0.09586016	-0.02352275	0.10353382	0.00623273	-0.00127794	-0.01513185
0.050000	0.09591233	-0.02356042	0.10326207	0.00787913	-0.00004463	-0.01376374
0.066666	0.09597126	-0.02362430	0.10297941	0.00803895	0.00027177	-0.01208895
0.083333	0.09619132	-0.02354413	0.10281719	0.00840421	0.00094455	-0.00917535
0.100000	0.09638637	-0.02348844	0.10269085	0.00829804	0.00066662	-0.00686376
0.116666	0.09656759	-0.02345715	0.10265794	0.00688161	-0.00114276	-0.00632844
0.133333	0.09659193	-0.02349264	0.10259407	0.00490615	-0.00359936	-0.00708214
0.149999	0.09664382	-0.02361771	0.10246059	0.00333102	-0.00481592	-0.00772915
0.166666	0.09665105	-0.02375566	0.10224892	0.00199363	-0.00453547	-0.00830497
0.183333	0.09675161	-0.02384797	0.10207748	0.00066847	-0.00316930	-0.00798240
0.199999	0.09676363	-0.02386181	0.10198727	-0.00048641	-0.00121817	-0.00668592
0.216666	0.09672993	-0.02381460	0.10190295	-0.00084773	0.00044245	-0.00474328
0.233332	0.09662332	-0.02380905	0.10184649	-0.00094496	0.00101844	-0.00288655
0.249999	0.09660904	-0.02377480	0.10176536	-0.00034619	0.00067062	-0.00111282
0.266666	0.09666212	-0.02378120	0.10177065	0.00048634	0.00098084	0.00079036
0.283332	0.09671164	-0.02377946	0.10181162	-0.00006005	0.00257607	0.00265283
0.299999	0.09672677	-0.02377003	0.10189557	-0.00278660	0.00520466	0.00447949
0.316665	0.09667276	-0.02365806	0.10198500	-0.00589593	0.00834926	0.00645078
0.333332	0.09649858	-0.02346913	0.10206857	-0.00747013	0.01150697	0.00845000
0.349999	0.09629822	-0.02320530	0.10221712	-0.00758886	0.01401144	0.01057141
0.366665	0.09612818	-0.02296416	0.10244162	-0.00742587	0.01482369	0.01300776
0.383332	0.09610122	-0.02268644	0.10267734	-0.00734004	0.01424367	0.01526556
0.399998	0.09604347	-0.02244865	0.10297124	-0.00818550	0.01295964	0.01611679
0.416665	0.09588712	-0.02224483	0.10324308	-0.00981577	0.01127272	0.01569020
0.433332	0.09566442	-0.02207645	0.10355255	-0.01095448	0.00922902	0.01478592
0.449998	0.09538044	-0.02194511	0.10375962	-0.01003582	0.00740292	0.01380293
0.466665	0.09522721	-0.02183504	0.10395999	-0.00776201	0.00605693	0.01304315
0.483331	0.09514090	-0.02175695	0.10415004	-0.00488279	0.00500802	0.01236958
0.499998	0.09515347	-0.02169117	0.10436936	-0.00241750	0.00380819	0.01189345
0.516665	0.09512036	-0.02161326	0.10460270	-0.00093185	0.00284584	0.01062554
0.533331	0.09510081	-0.02157572	0.10477296	-0.00084162	0.00068359	0.00812698
0.549998	0.09507805	-0.02156862	0.10490879	-0.00117746	-0.00274558	0.00469929
0.566664	0.09510097	-0.02157763	0.10494126	-0.00107043	-0.00610828	0.00160285
0.583331	0.09504128	-0.02178614	0.10491036	-0.00036042	-0.00767006	-0.00051812
0.599998	0.09504616	-0.02197282	0.10485213	0.00123796	-0.00776103	-0.00157461
0.616664	0.09501331	-0.02219127	0.10481520	0.00366395	-0.00664935	-0.00206237
0.633331	0.09512864	-0.02219118	0.10480708	0.00630806	-0.00435810	-0.00315150
0.649997	0.09527745	-0.02221481	0.10479394	0.00837031	-0.00183365	-0.00525410
0.666664	0.09548047	-0.02222773	0.10469996	0.00876486	-0.00038319	-0.00801529
0.683331	0.09564137	-0.02225232	0.10451258	0.00691003	-0.00053218	-0.01026284
0.699997	0.09576961	-0.02224368	0.10426388	0.00474853	-0.00042578	-0.01109657
0.716664	0.09577964	-0.02223927	0.10403553	0.00375015	-0.00072597	-0.01108185
0.733330	0.09576857	-0.02225561	0.10388882	0.00444772	-0.00065748	-0.01110759
0.749997	0.09580883	-0.02226541	0.10377730	0.00551535	-0.00026735	-0.01237271
0.766664	0.09597829	-0.02232783	0.10358624	0.00606688	0.00044529	-0.01538249
0.783330	0.09618549	-0.02226919	0.10330771	0.00639844	0.00093911	-0.01881812
0.799997	0.09627295	-0.02225126	0.10288824	0.00669307	0.00074214	-0.02048657
0.816663	0.09628045	-0.02217529	0.10246367	0.00703017	-0.00016853	-0.01997296
0.833330	0.09636222	-0.02220687	0.10210892	0.00803291	-0.00214667	-0.01778878
0.849997	0.09654330	-0.02228286	0.10189693	0.01008187	-0.00413183	-0.01388738
0.866663	0.09680942	-0.02236703	0.10171560	0.01235594	-0.00521819	-0.00919085
0.883330	0.09701215	-0.02251137	0.10155955	0.01319481	-0.00433111	-0.00570616
0.899996	0.09722468	-0.02257928	0.10149596	0.01165071	-0.00273252	-0.00493342
0.916663	0.09744040	-0.02262590	0.10151371	0.00855975	-0.00152770	-0.00556765
0.933330	0.09760489	-0.02256570	0.10147605	0.00529589	-0.00022959	-0.00593575
0.949996	0.09764884	-0.02254513	0.10127691	0.00192431	0.00120493	-0.00623497
0.966663	0.09759045	-0.02258641	0.10107145	-0.00104052	0.00235882	-0.00659189
0.983329	0.09752727	-0.02254061	0.10099671	-0.00274220	0.00232041	-0.00567681
0.999996	0.09747098	-0.02247273	0.10097668	-0.00252956	0.00208052	-0.00338139
1.016663	0.09743468	-0.02235270	0.10094527	-0.00130695	0.00181975	-0.00147712
1.033329	0.09740943	-0.02237936	0.10089330	-0.00051178	0.00093225	-0.00060447
1.049996	0.09743431	-0.02240860	0.10088442	-0.00030376	-0.00017872	-0.00003945
1.066662	0.09745821	-0.02242910	0.10091408	-0.00022084	-0.00054569	0.00094451
1.083329	0.09744101	-0.02243303	0.10095000	-0.00019565	0.00011532	0.00145984
1.099996	0.09740914	-0.02240429	0.10097166	-0.00094891	0.00045546	0.00107069
1.116662	0.09739400	-0.02239533	0.10101327	-0.00223101	0.00115673	0.00173283
1.133329	0.09739855	-0.02237552	0.10099119	-0.00402936	0.00383516	0.00551882
1.149995	0.09732077	-0.02237308	0.10101490	-0.00614664	0.00810070	0.01110029
1.166662	0.09719308	-0.02224874	0.10121236	-0.00802654	0.01185495	0.01614667
1.183329	0.09697823	-0.02191192	0.10167435	-0.00854335	0.01356585	0.01929581
1.199995	0.09680872	-0.02154999	0.10214894	-0.00761534	0.01314675	0.01981974
1.216662	0.09668010	-0.02129660	0.10249683	-0.00591605	0.00995202	0.01730527
1.233328	0.09665228	-0.02125058	0.10265452	-0.00427229	0.00530285	0.01268727
1.249995	0.09661287	-0.02124997	0.10279755	-0.00341823	0.00140941	0.00909388
1.266662	0.09657127	-0.02128869	0.10292263	-0.00382123	0.00007581	0.00826988
1.283328	0.09648307	-0.02127047	0.10303861	-0.00525700	0.00075574	0.00946663
1.299995	0.09640425	-0.02127889	0.10319003	-0.00619060	0.00236404	0.01118873
1.316661	0.09626712	-0.02120254	0.10339224	-0.00609330	0.00440398	0.01278555
1.333328	0.09613236	-0.02114498	0.10365446	-0.00572963	0.00521961	0.01300713
1.349995	0.09604403	-0.02099090	0.10392567	-0.00498006	0.00463517	0.01157382
1.366661	0.09600476	-0.02086309	0.10413191	-0.00344468	0.00329095	0.00899486
1.383328	0.09593936	-0.02085174	0.10422193	-0.00145805	0.00181210	0.00599677
1.399994	0.09592123	-0.02087815	0.10425863	0.00023645	0.00016277	0.00307893
1.416661	0.09591509	-0.02092653	0.10427485	0.00115850	-0.00065270	0.00073847
1.433328	0.09601127	-0.02090906	0.10430658	0.00170109	-0.00043517	-0.00096001
1.449994	0.09605840	-0.02089757	0.10427831	0.00163086	-0.00005557	-0.00271996
1.466661	0.09606649	-0.02090151	0.10421376	0.00077140	-0.00056747	-0.00469876
1.483327	0.09606101	-0.02089715	0.10410700	-0.00005361	-0.00217462	-0.00631421
1.499994	0.09602877	-0.02093832	0.10396978	0.00021387	-0.00429955	-0.00732507
1.516661	0.09602755	-0.02101924	0.10383736	0.00073307	-0.00680983	-0.00853970
1.533327	0.09605705	-0.02116487	0.10370864	0.00083432	-0.00829295	-0.00958558
1.549994	0.09611096	-0.02135744	0.10356071	0.00146434	-0.00794894	-0.00997935
1.566660	0.09613285	-0.02154998	0.10334170	0.00376043	-0.00640043	-0.01064890
1.583327	0.09611118	-0.02162239	0.10315058	0.00681850	-0.00471029	-0.01286176
1.599994	0.09622836	-0.02162868	0.10298467	0.00960093	-0.00373034	-0.01609824
1.616660	0.09650326	-0.02161767	0.10274983	0.01232867	-0.00416240	-0.01976427
1.633327	0.09679721	-0.02170856	0.10234829	0.01379551	-0.00642032	-0.02404040
1.649993	0.09704076	-0.02185776	0.10185767	0.01259291	-0.00891400	-0.02660643
1.666660	0.09722295	-0.02205163	0.10133216	0.00998050	-0.00962854	-0.02492687
1.683327	0.09735116	-0.02227439	0.10084427	0.00752962	-0.00815128	-0.01933642
1.699993	0.09744196	-0.02241424	0.10056260	0.00596220	-0.00543912	-0.01271704
1.716660	0.09752305	-0.02246132	0.10047986	0.00463387	-0.00208932	-0.00673930
1.733326	0.09758952	-0.02242900	0.10053527	0.00384776	0.00051167	-0.00244488
1.749993	0.09767690	-0.02237184	0.10051990	0.00303381	0.00100329	-0.00089765
1.766660	0.09768200	-0.02232263	0.10048757	0.00208137	-0.00027096	-0.00154980
1.783326	0.09775306	-0.02233278	0.10044177	0.00109129	-0.00185713	-0.00272163
1.799993	0.09771468	-0.02242018	0.10039435	0.00008516	-0.00290666	-0.00341022
1.816659	0.09774369	-0.02252579	0.10034572	-0.00059948	-0.00300641	-0.00355618
1.833326	0.09770522	-0.02257187	0.10026552	-0.00072681	-0.00276268	-0.00343119
1.849993	0.09767661	-0.02258440	0.10018709	0.00011575	-0.00249703	-0.00336809
1.866659	0.09767407	-0.02256198	0.10015706	0.00106544	-0.00257952	-0.00282088
1.883326	0.09769517	-0.02265058	0.10010846	0.00185725	-0.00258234	-0.00134130
1.899992	0.09778669	-0.02271854	0.10008346	0.00139542	-0.00242990	0.00095904
1.916659	0.09783300	-0.02280768	0.10008129	-0.00075862	-0.00210159	0.00325253
1.933326	0.09782599	-0.02277439	0.10016850	-0.00399297	-0.00003288	0.00650267
1.949992	0.09771425	-0.02276750	0.10034098	-0.00778991	0.00344042	0.01102523
1.966659	0.09749905	-0.02275349	0.10049094	-0.01088758	0.00719219	0.01563805
1.983325	0.09730404	-0.02258595	0.10081428	-0.01279758	0.00936439	0.01834299
1.999992	0.09703431	-0.02236144	0.10118783	-0.01292975	0.00976670	0.01911003
2.016659	0.09684255	-0.02206010	0.10162256	-0.01197324	0.00821863	0.01946565
2.033325	0.09660941	-0.02196867	0.10189644	-0.01101208	0.00635755	0.02068997
2.049992	0.09647755	-0.02197230	0.10210832	-0.01031839	0.00549224	0.02285121
2.066658	0.09633294	-0.02200676	0.10246035	-0.00990935	0.00633253	0.02461790
2.083325	0.09616397	-0.02185631	0.10301080	-0.00963546	0.00812623	0.02527079
2.099992	0.09598597	-0.02160870	0.10359819	-0.00959527	0.00832688	0.02292404
2.116658	0.09581035	-0.02134440	0.10398951	-0.00880696	0.00643132	0.01691005
2.133325	0.09566752	-0.02128017	0.10414868	-0.00732738	0.00118364	0.00868126
2.149991	0.09556124	-0.02136958	0.10414778	-0.00525968	-0.00520200	0.00179828
2.166658	0.09548622	-0.02150237	0.10408801	-0.00327916	-0.01005024	-0.00142877
2.183325	0.09545690	-0.02179426	0.10400041	-0.00165281	-0.01132726	-0.00167624
2.199991	0.09546145	-0.02198647	0.10397714	-0.00095267	-0.01013251	-0.00028554
2.216658	0.09545911	-0.02222548	0.10400190	-0.00197873	-0.00776307	0.00120372
2.233324	0.09546836	-0.02224544	0.10405980	-0.00387178	-0.00518665	0.00167650
2.249991	0.09537879	-0.02228131	0.10413300	-0.00416996	-0.00234427	0.00108295
2.266658	0.09521586	-0.02230009	0.10413186	-0.00270573	-0.00031036	-0.00061676
2.283324	0.09509356	-0.02234094	0.10409639	-0.00074487	0.00025120	-0.00268691
2.299991	0.09517552	-0.02228208	0.10403541	0.00183136	0.00127002	-0.00394297
2.316657	0.09531870	-0.02227288	0.10391488	0.00477703	0.00305244	-0.00368280
2.333324	0.09541992	-0.02220478	0.10385026	0.00617585	0.00388636	-0.00354355
2.349991	0.09548502	-0.02215106	0.10379139	0.00570523	0.00302817	-0.00437992
2.366657	0.09558348	-0.02200455	0.10382163	0.00517054	0.00102858	-0.00671211
2.383324	0.09567087	-0.02201308	0.10369405	0.00578715	-0.00223776	-0.01078379
