Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.06987713	-0.02341433	0.11103829	0.00446843	-0.01746858	-0.02797511
0.016667	0.06999850	-0.02375075	0.11047829	0.00054896	-0.00908507	-0.02446363
0.033333	0.06999533	-0.02392238	0.11012049	-0.00337051	-0.00070156	-0.02095216
0.050000	0.06986957	-0.02380919	0.10992942	-0.00136685	-0.00167749	-0.02550966
0.066666	0.06973663	-0.02368919	0.10954771	-0.00043664	0.00029843	-0.02648502
0.083333	0.06974600	-0.02361543	0.10899922	0.00160870	0.00018229	-0.02809908
0.100000	0.06989761	-0.02379670	0.10831981	0.00351676	-0.00021882	-0.02859917
0.116666	0.07004587	-0.02386758	0.10786179	0.00470376	-0.00059674	-0.02728734
0.133333	0.07008477	-0.02384464	0.10753334	0.00484334	-0.00072846	-0.02508840
0.149999	0.07008896	-0.02369018	0.10722157	0.00420788	0.00001777	-0.02277614
0.166666	0.07015102	-0.02370658	0.10680176	0.00355048	0.00005691	-0.02176312
0.183333	0.07027987	-0.02380946	0.10633804	0.00277342	-0.00031790	-0.02050956
0.199999	0.07036139	-0.02386542	0.10602144	0.00139684	-0.00010948	-0.01803592
0.216666	0.07035634	-0.02384547	0.10575183	-0.00016648	0.00223748	-0.01469409
0.233332	0.07026593	-0.02372494	0.10561328	-0.00142612	0.00573514	-0.01226784
0.249999	0.07020232	-0.02363994	0.10542282	-0.00184440	0.00807117	-0.01216655
0.266666	0.07020944	-0.02347608	0.10524444	-0.00096567	0.00910657	-0.01293117
0.283332	0.07021684	-0.02326797	0.10501620	0.00093442	0.00906221	-0.01292491
0.299999	0.07022624	-0.02313142	0.10470702	0.00216440	0.00876078	-0.01061913
0.316665	0.07025842	-0.02294898	0.10452320	0.00153449	0.00860252	-0.00662676
0.333332	0.07034899	-0.02291382	0.10441466	-0.00028875	0.00927894	-0.00229836
0.349999	0.07037885	-0.02273779	0.10452619	-0.00211474	0.01019420	0.00141811
0.366665	0.07027237	-0.02255386	0.10464083	-0.00364909	0.01063337	0.00473717
0.383332	0.07011960	-0.02229324	0.10468643	-0.00467191	0.01032523	0.00743034
0.399998	0.07002026	-0.02210014	0.10476805	-0.00436282	0.00825167	0.00911474
0.416665	0.06999476	-0.02201290	0.10494206	-0.00288819	0.00515940	0.01132392
0.433332	0.06998778	-0.02196098	0.10521542	-0.00128765	0.00139036	0.01432380
0.449998	0.06996519	-0.02198385	0.10548162	-0.00064977	-0.00135791	0.01828428
0.466665	0.06994879	-0.02201804	0.10575422	-0.00105255	-0.00286832	0.02344241
0.483331	0.06995331	-0.02211977	0.10611475	-0.00253775	-0.00234556	0.03109587
0.499998	0.06992508	-0.02218425	0.10667882	-0.00524143	-0.00008765	0.04069315
0.516665	0.06985215	-0.02221520	0.10744796	-0.00843126	0.00304338	0.04956634
0.533331	0.06964754	-0.02207482	0.10847766	-0.01013488	0.00629943	0.05547151
0.549998	0.06938341	-0.02191736	0.10952161	-0.00992682	0.00892889	0.05818469
0.566664	0.06914934	-0.02171000	0.11053311	-0.00854522	0.00956304	0.05705484
0.583331	0.06908824	-0.02156344	0.11141703	-0.00667716	0.00713992	0.05261930
0.599998	0.06906673	-0.02140113	0.11230531	-0.00479093	0.00348373	0.04712820
0.616664	0.06902284	-0.02136930	0.11304378	-0.00388426	0.00112027	0.04206518
0.633331	0.06889449	-0.02146402	0.11369327	-0.00406714	0.00135284	0.03708720
0.649997	0.06881613	-0.02155192	0.11422110	-0.00402463	0.00277929	0.03137925
0.666664	0.06874899	-0.02147272	0.11474044	-0.00300837	0.00435831	0.02595461
0.683331	0.06873247	-0.02123312	0.11514874	-0.00154474	0.00513522	0.02137994
0.699997	0.06870843	-0.02106910	0.11543690	-0.00065077	0.00518537	0.01745440
0.716664	0.06871786	-0.02105660	0.11564666	-0.00081379	0.00391460	0.01389729
0.733330	0.06872152	-0.02112489	0.11584881	-0.00157655	0.00220356	0.01145874
0.749997	0.06870945	-0.02106693	0.11603505	-0.00223079	0.00165955	0.00964139
0.766664	0.06862082	-0.02099611	0.11619709	-0.00250687	0.00276569	0.00728998
0.783330	0.06855860	-0.02091113	0.11631314	-0.00287027	0.00350910	0.00414422
0.799997	0.06850386	-0.02090106	0.11636577	-0.00319095	0.00271851	0.00091963
0.816663	0.06851730	-0.02082678	0.11632651	-0.00281428	0.00131701	-0.00137378
0.833330	0.06843816	-0.02081512	0.11624689	-0.00213169	0.00020800	-0.00275047
0.849997	0.06837637	-0.02081137	0.11616088	-0.00110772	-0.00068919	-0.00322809
0.866663	0.06834369	-0.02087189	0.11614530	0.00060924	-0.00205821	-0.00288808
0.883330	0.06837384	-0.02090205	0.11609945	0.00257005	-0.00400344	-0.00274160
0.899996	0.06847897	-0.02095185	0.11607415	0.00351706	-0.00638955	-0.00392282
0.916663	0.06858236	-0.02104755	0.11601210	0.00387640	-0.00776700	-0.00647577
0.933330	0.06863828	-0.02125458	0.11590515	0.00482177	-0.00897657	-0.01149044
0.949996	0.06865467	-0.02147295	0.11570565	0.00681329	-0.01047168	-0.02082624
0.966663	0.06872245	-0.02158993	0.11538976	0.00885453	-0.01172611	-0.03321959
0.983329	0.06895762	-0.02176426	0.11476060	0.01012966	-0.01158074	-0.04496928
0.999996	0.06924060	-0.02197204	0.11377942	0.00979450	-0.01115214	-0.05302745
1.016663	0.06943461	-0.02225327	0.11261719	0.00722095	-0.01156389	-0.05611055
1.033329	0.06950329	-0.02239668	0.11159433	0.00293774	-0.01210025	-0.05370408
1.049996	0.06944915	-0.02254168	0.11079681	-0.00051610	-0.01169193	-0.04714739
1.066662	0.06939433	-0.02274183	0.11014605	-0.00108373	-0.01072137	-0.04056112
1.083329	0.06931493	-0.02298969	0.10954826	0.00160747	-0.00916301	-0.03735408
1.099996	0.06934713	-0.02316793	0.10899383	0.00535419	-0.00718071	-0.03839702
1.116662	0.06949066	-0.02325338	0.10837456	0.00771045	-0.00560327	-0.04106039
1.133329	0.06975787	-0.02320219	0.10768668	0.00824093	-0.00380673	-0.04223207
1.149995	0.06994691	-0.02328473	0.10681402	0.00807285	-0.00167194	-0.04090009
1.166662	0.07000264	-0.02337616	0.10607020	0.00731713	-0.00002434	-0.03855430
1.183329	0.07001033	-0.02340974	0.10549347	0.00515064	0.00106763	-0.03547508
1.199995	0.07015373	-0.02330172	0.10508972	0.00252266	0.00111024	-0.03130121
1.216662	0.07028128	-0.02317486	0.10456821	0.00124500	-0.00123542	-0.02738319
1.233328	0.07027188	-0.02316564	0.10404519	0.00080604	-0.00576100	-0.02394578
1.249995	0.07012748	-0.02337055	0.10361918	-0.00029180	-0.01040603	-0.01928393
1.266662	0.07011282	-0.02367445	0.10337415	-0.00126448	-0.01265341	-0.01239215
1.283328	0.07017499	-0.02399904	0.10324901	-0.00076410	-0.01243453	-0.00581438
1.299995	0.07021667	-0.02415369	0.10324454	0.00005301	-0.00951975	-0.00112247
1.316661	0.07015790	-0.02422804	0.10329751	-0.00048068	-0.00418411	0.00195534
1.333328	0.07012081	-0.02430852	0.10335237	-0.00207913	0.00116607	0.00387264
1.349995	0.07009714	-0.02426372	0.10341091	-0.00507595	0.00378977	0.00566913
1.366661	0.07007947	-0.02410761	0.10350889	-0.01024925	0.00369227	0.01001600
1.383328	0.06992563	-0.02391644	0.10363251	-0.01748714	0.00201346	0.01921464
1.399994	0.06954670	-0.02390400	0.10392315	-0.02387537	-0.00034521	0.03245862
1.416661	0.06897639	-0.02406068	0.10451896	-0.02733871	-0.00107674	0.04757800
1.433328	0.06834811	-0.02419015	0.10555262	-0.02767652	0.00185758	0.06199992
1.449994	0.06792346	-0.02419523	0.10682660	-0.02504910	0.00776225	0.07272828
1.466661	0.06760982	-0.02391746	0.10822362	-0.01954113	0.01326327	0.07723650
1.483327	0.06733147	-0.02352127	0.10956541	-0.01255346	0.01574371	0.07542775
1.499994	0.06709161	-0.02315857	0.11083513	-0.00691521	0.01454150	0.06950130
1.516661	0.06701282	-0.02295753	0.11194288	-0.00260693	0.01087850	0.06155583
1.533327	0.06713898	-0.02289806	0.11289354	0.00163165	0.00709900	0.05258343
1.549994	0.06720968	-0.02285462	0.11368025	0.00553934	0.00545019	0.04355355
1.566660	0.06728972	-0.02277527	0.11433896	0.00695883	0.00545903	0.03559116
1.583327	0.06738975	-0.02267237	0.11482411	0.00568001	0.00550530	0.02935391
1.599994	0.06757591	-0.02249389	0.11524063	0.00403182	0.00565188	0.02510561
1.616660	0.06767017	-0.02244536	0.11557355	0.00356191	0.00615814	0.02232859
1.633327	0.06761287	-0.02238553	0.11594448	0.00502462	0.00754927	0.01992580
1.649993	0.06758724	-0.02229168	0.11629738	0.00710524	0.00976351	0.01683380
1.666660	0.06773181	-0.02210818	0.11659740	0.00865578	0.00974825	0.01196993
1.683327	0.06808825	-0.02178667	0.11677001	0.00885501	0.00706431	0.00634904
1.699993	0.06832903	-0.02157836	0.11680825	0.00822473	0.00342342	0.00164241
1.716660	0.06836424	-0.02169363	0.11668606	0.00763814	-0.00025280	-0.00245293
1.733326	0.06829058	-0.02183472	0.11663222	0.00808201	-0.00362048	-0.00728591
1.749993	0.06840073	-0.02199737	0.11654888	0.01005050	-0.00526612	-0.01383660
1.766660	0.06871847	-0.02192758	0.11639061	0.01241249	-0.00336220	-0.02167401
1.783326	0.06908192	-0.02199323	0.11593053	0.01354733	-0.00082190	-0.03109330
1.799993	0.06929520	-0.02207441	0.11522051	0.01228341	-0.00062664	-0.04130767
1.816659	0.06939669	-0.02199725	0.11444553	0.00993550	-0.00198125	-0.05076746
1.833326	0.06949487	-0.02202346	0.11353457	0.00771522	-0.00311760	-0.05757403
1.849993	0.06964187	-0.02204518	0.11254216	0.00596224	-0.00562002	-0.06164724
1.866659	0.06981497	-0.02220986	0.11138540	0.00491263	-0.00827286	-0.06221290
1.883326	0.06986078	-0.02240665	0.11024685	0.00639411	-0.00952494	-0.06022410
1.899992	0.06984853	-0.02260412	0.10923630	0.00927422	-0.00895135	-0.05625766
1.916659	0.06992178	-0.02276067	0.10844646	0.01122073	-0.00693148	-0.05105959
1.933326	0.07031497	-0.02284864	0.10764682	0.01206362	-0.00523718	-0.04672900
1.949992	0.07066905	-0.02286268	0.10693443	0.01270687	-0.00373600	-0.04421349
1.966659	0.07084999	-0.02291217	0.10616821	0.01199157	-0.00274856	-0.04251419
1.983325	0.07085764	-0.02297767	0.10548403	0.00836357	-0.00262260	-0.03985242
1.999992	0.07099243	-0.02302414	0.10481002	0.00460641	-0.00351985	-0.03650661
2.016659	0.07117698	-0.02306623	0.10421732	0.00319434	-0.00497725	-0.03329581
2.033325	0.07119668	-0.02310812	0.10373861	0.00331884	-0.00609731	-0.02996401
2.049992	0.07114310	-0.02326735	0.10327944	0.00269045	-0.00642894	-0.02575289
2.066658	0.07113428	-0.02344455	0.10282820	0.00226536	-0.00697180	-0.02220312
2.083325	0.07125873	-0.02355602	0.10248927	0.00304153	-0.00665040	-0.01896098
2.099992	0.07136549	-0.02360521	0.10223340	0.00455024	-0.00473024	-0.01553095
2.116658	0.07141335	-0.02370835	0.10201415	0.00467116	-0.00244429	-0.01257715
2.133325	0.07144784	-0.02373819	0.10184491	0.00261189	-0.00118307	-0.01108509
2.149992	0.07155424	-0.02375269	0.10166027	-0.00015032	-0.00070803	-0.01027894
2.166658	0.07156486	-0.02367827	0.10152689	-0.00309945	-0.00103487	-0.00861484
2.183325	0.07147225	-0.02370271	0.10133268	-0.00682342	-0.00370547	-0.00481358
2.199991	0.07127193	-0.02375537	0.10122522	-0.01250753	-0.00765275	0.00297298
2.216658	0.07104922	-0.02391957	0.10125871	-0.01985495	-0.01061932	0.01545644
2.233325	0.07076655	-0.02421917	0.10155004	-0.02793510	-0.01057139	0.03109207
2.249991	0.07022549	-0.02446086	0.10225398	-0.03397255	-0.00700522	0.04698605
2.266658	0.06948862	-0.02461203	0.10326372	-0.03617625	0.00029941	0.06144381
2.283324	0.06865326	-0.02451296	0.10448638	-0.03381620	0.00946331	0.07157023
2.299991	0.06810752	-0.02423401	0.10578534	-0.02757285	0.01711443	0.07533472
2.316658	0.06780001	-0.02380877	0.10714739	-0.01803364	0.02120823	0.07276147
2.333324	0.06766260	-0.02333094	0.10841700	-0.00764015	0.02228158	0.06631327
2.349991	0.06754053	-0.02297866	0.10948977	0.00005860	0.02078230	0.05761974
2.366657	0.06761555	-0.02269474	0.11027794	0.00300535	0.01652646	0.04862376
2.383324	0.06780350	-0.02241104	0.11098435	0.00295186	0.01220158	0.04126364
