Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.08492731	-0.06877357	0.08309156	0.02871283	-0.02873980	-0.08607113
0.016667	0.08534353	-0.06920766	0.08180137	0.03126037	-0.01628152	-0.09990843
0.033333	0.08590398	-0.06957486	0.08008361	0.03380792	-0.00382324	-0.11374574
0.050000	0.08655348	-0.06966059	0.07797419	0.03161070	0.00539115	-0.11133341
0.066666	0.08711829	-0.06936471	0.07585575	0.03159468	0.01796271	-0.11245086
0.083333	0.08757857	-0.06881724	0.07395985	0.03081364	0.02735253	-0.10399945
0.100000	0.08799286	-0.06821305	0.07237384	0.03038646	0.03071007	-0.08934823
0.116666	0.08850909	-0.06765476	0.07098963	0.02970972	0.02834607	-0.07078236
0.133333	0.08908878	-0.06717637	0.06990574	0.02775155	0.02247175	-0.04954562
0.149999	0.08963834	-0.06688137	0.06914548	0.02369249	0.01476074	-0.02626891
0.166666	0.08997475	-0.06667463	0.06895047	0.01586045	0.00683683	-0.00033111
0.183333	0.09016126	-0.06666180	0.06918655	0.00375123	0.00017103	0.02781849
0.199999	0.09018952	-0.06675278	0.06986861	-0.01073052	-0.00459729	0.05591184
0.216666	0.08994228	-0.06690715	0.07102557	-0.02511239	-0.00727410	0.08035997
0.233332	0.08934687	-0.06707106	0.07265554	-0.03804509	-0.00673025	0.09906461
0.249999	0.08847706	-0.06719088	0.07466244	-0.04799090	-0.00369789	0.10987411
0.266666	0.08751426	-0.06727539	0.07670932	-0.05268516	-0.00032656	0.11182281
0.283332	0.08658049	-0.06719766	0.07864202	-0.05142135	0.00107408	0.10474406
0.299999	0.08569269	-0.06706968	0.08032227	-0.04525258	-0.00005636	0.08959090
0.316665	0.08497433	-0.06701148	0.08174997	-0.03494154	-0.00416541	0.06814585
0.333332	0.08441601	-0.06714021	0.08280458	-0.02070536	-0.01117569	0.04229391
0.349999	0.08414971	-0.06741532	0.08332448	-0.00384507	-0.01930710	0.01273775
0.366665	0.08422636	-0.06782565	0.08325809	0.01324853	-0.02554077	-0.01983416
0.383332	0.08466452	-0.06833050	0.08265345	0.02844572	-0.02713199	-0.05088140
0.399998	0.08536826	-0.06891748	0.08147182	0.03892441	-0.02421139	-0.07507271
0.416665	0.08617586	-0.06937274	0.07982212	0.04321834	-0.01769427	-0.09071710
0.433332	0.08700582	-0.06958362	0.07800319	0.04304251	-0.00855893	-0.09960344
0.449998	0.08769836	-0.06959359	0.07629123	0.04145490	0.00191693	-0.10225206
0.466665	0.08827696	-0.06944042	0.07469118	0.03998128	0.01141586	-0.09943897
0.483331	0.08888492	-0.06920026	0.07300561	0.03860448	0.01828659	-0.09368721
0.499998	0.08956543	-0.06879507	0.07139259	0.03771834	0.02229174	-0.08603632
0.516665	0.09028234	-0.06832636	0.06994712	0.03593962	0.02324039	-0.07450967
0.533331	0.09086305	-0.06788184	0.06879682	0.03118721	0.02089300	-0.05718254
0.549998	0.09137154	-0.06752148	0.06795390	0.02360674	0.01569020	-0.03494604
0.566664	0.09170540	-0.06733452	0.06747585	0.01382192	0.00896819	-0.00851180
0.583331	0.09186661	-0.06725443	0.06752735	0.00172493	0.00212193	0.02072342
0.599998	0.09185213	-0.06729333	0.06810172	-0.01293955	-0.00290797	0.05074480
0.616664	0.09153289	-0.06742217	0.06929796	-0.02822343	-0.00546458	0.07745546
0.633331	0.09092572	-0.06758147	0.07092101	-0.04223307	-0.00497641	0.09726268
0.649997	0.08997871	-0.06769161	0.07287562	-0.05189923	-0.00136793	0.10751636
0.666664	0.08892868	-0.06772602	0.07484983	-0.05475315	0.00439616	0.10823654
0.683331	0.08786889	-0.06756958	0.07673538	-0.05106432	0.00864956	0.10194509
0.699997	0.08704451	-0.06732365	0.07832902	-0.04326629	0.00866860	0.09123596
0.716664	0.08646143	-0.06698611	0.07973571	-0.03379064	0.00385893	0.07798199
0.733330	0.08604604	-0.06695411	0.08092604	-0.02338992	-0.00423277	0.06269349
0.749997	0.08570226	-0.06714397	0.08192975	-0.01416931	-0.01368055	0.04657089
0.766664	0.08548553	-0.06759679	0.08259746	-0.00778775	-0.02160528	0.03044844
0.783330	0.08549909	-0.06803618	0.08289114	-0.00336280	-0.02539555	0.01446022
0.799997	0.08557607	-0.06851324	0.08293208	0.00095465	-0.02543068	-0.00266698
0.816663	0.08558314	-0.06892394	0.08280253	0.00569908	-0.02247778	-0.02282979
0.833330	0.08559763	-0.06930505	0.08242945	0.01151209	-0.01708082	-0.04679821
0.849997	0.08576082	-0.06959047	0.08157445	0.01888983	-0.00906665	-0.07167658
0.866663	0.08620194	-0.06971923	0.08001828	0.02654790	-0.00047591	-0.09180075
0.883330	0.08682867	-0.06961173	0.07799097	0.03263702	0.00691990	-0.10240595
0.899996	0.08748417	-0.06932017	0.07592598	0.03603696	0.01205650	-0.10258789
0.916663	0.08808056	-0.06901828	0.07425493	0.03682583	0.01504975	-0.09408171
0.933330	0.08864783	-0.06878221	0.07295850	0.03640517	0.01561331	-0.08130426
0.949996	0.08925350	-0.06857781	0.07176700	0.03583505	0.01485864	-0.06833535
0.966663	0.08987942	-0.06830730	0.07068244	0.03382819	0.01452973	-0.05546405
0.983329	0.09048770	-0.06805699	0.06970473	0.02744753	0.01476923	-0.03837172
0.999996	0.09100381	-0.06779937	0.06910175	0.01621849	0.01393230	-0.01390455
1.016663	0.09124971	-0.06757039	0.06898111	0.00107244	0.01106851	0.01724119
1.033329	0.09109779	-0.06735545	0.06953805	-0.01664802	0.00738221	0.05038125
1.049996	0.09063198	-0.06725582	0.07076288	-0.03513395	0.00441870	0.07941229
1.066662	0.08984520	-0.06728444	0.07254695	-0.05056803	0.00348845	0.09965537
1.083329	0.08885714	-0.06732239	0.07454803	-0.06057480	0.00538638	0.10969835
1.099996	0.08762071	-0.06725726	0.07653920	-0.06393275	0.00923704	0.11015145
1.116662	0.08644457	-0.06701574	0.07831459	-0.05995964	0.01222835	0.10155345
1.133329	0.08537095	-0.06665123	0.08000415	-0.04915249	0.01138651	0.08524545
1.149995	0.08464917	-0.06637393	0.08141592	-0.03352633	0.00568634	0.06310555
1.166662	0.08424361	-0.06629356	0.08239208	-0.01549585	-0.00415461	0.03570488
1.183329	0.08417401	-0.06651494	0.08273610	0.00293252	-0.01488188	0.00277237
1.199995	0.08437133	-0.06691490	0.08248720	0.01929708	-0.02201357	-0.03259359
1.216662	0.08487131	-0.06746433	0.08164123	0.03140235	-0.02254242	-0.06504319
1.233328	0.08558153	-0.06794758	0.08018224	0.03792938	-0.01703217	-0.09019823
1.249995	0.08641346	-0.06821988	0.07827075	0.03987656	-0.00848103	-0.10710944
1.266662	0.08709200	-0.06818797	0.07620700	0.03912684	0.00095241	-0.11468522
1.283328	0.08765171	-0.06799431	0.07421064	0.03724672	0.00922698	-0.11286459
1.299995	0.08816105	-0.06777293	0.07232096	0.03489415	0.01496526	-0.10323770
1.316661	0.08877788	-0.06750962	0.07064261	0.03219204	0.01738991	-0.08841288
1.333328	0.08940888	-0.06718721	0.06921290	0.02802402	0.01757122	-0.06911677
1.349995	0.08989786	-0.06681189	0.06820939	0.02105859	0.01585136	-0.04550739
1.366661	0.09016980	-0.06653636	0.06759957	0.01145125	0.01205837	-0.01837339
1.383328	0.09024119	-0.06635707	0.06753079	-0.00019196	0.00620289	0.01230010
1.399994	0.09013607	-0.06633997	0.06794798	-0.01398472	0.00001375	0.04495046
1.416661	0.08990083	-0.06639799	0.06893717	-0.02920579	-0.00415055	0.07564541
1.433328	0.08931766	-0.06657398	0.07058041	-0.04353999	-0.00476999	0.09910015
1.449994	0.08838581	-0.06671891	0.07266119	-0.05424655	-0.00128720	0.11255927
1.466661	0.08718433	-0.06677259	0.07488456	-0.05870324	0.00496158	0.11450138
1.483328	0.08603617	-0.06661347	0.07683983	-0.05554593	0.01119059	0.10583543
1.499994	0.08512755	-0.06626844	0.07849535	-0.04588536	0.01407949	0.08902950
1.516661	0.08450846	-0.06587890	0.07981819	-0.03238214	0.01222146	0.06762866
1.533327	0.08411130	-0.06563454	0.08084036	-0.01776512	0.00519866	0.04359605
1.549994	0.08391735	-0.06563676	0.08140981	-0.00397311	-0.00520138	0.01642193
1.566661	0.08394024	-0.06584656	0.08150364	0.00778410	-0.01536208	-0.01412423
1.583327	0.08424357	-0.06625511	0.08101123	0.01824014	-0.02137982	-0.04610024
1.599994	0.08468093	-0.06675185	0.07995482	0.02807040	-0.02197047	-0.07432102
1.616660	0.08519989	-0.06721707	0.07832207	0.03609373	-0.01812838	-0.09443153
1.633327	0.08584487	-0.06747620	0.07634626	0.04098376	-0.01112462	-0.10482762
1.649994	0.08664045	-0.06754800	0.07439431	0.04338796	-0.00254170	-0.10670700
1.666660	0.08747862	-0.06748871	0.07264041	0.04351186	0.00585163	-0.10134271
1.683327	0.08820651	-0.06732911	0.07108877	0.04109689	0.01272095	-0.09134705
1.699993	0.08884065	-0.06706685	0.06960044	0.03629527	0.01766629	-0.07845034
1.716660	0.08938697	-0.06669018	0.06830954	0.02976038	0.01978524	-0.06274576
1.733327	0.08988332	-0.06626838	0.06729412	0.02180857	0.01880426	-0.04251851
1.749993	0.09023569	-0.06590038	0.06675047	0.01248026	0.01428189	-0.01655116
1.766660	0.09036897	-0.06570598	0.06664466	0.00178688	0.00631029	0.01393998
1.783326	0.09027433	-0.06565134	0.06710765	-0.01080342	-0.00277390	0.04544242
1.799993	0.08999435	-0.06581243	0.06815954	-0.02392968	-0.00943832	0.07294475
1.816660	0.08952804	-0.06612088	0.06978976	-0.03520711	-0.01177792	0.09288072
1.833326	0.08877949	-0.06644919	0.07172271	-0.04333461	-0.01012706	0.10352346
1.849993	0.08788453	-0.06661887	0.07362776	-0.04805904	-0.00482502	0.10508344
1.866659	0.08697470	-0.06659246	0.07535499	-0.04819215	0.00243955	0.09904759
1.883326	0.08616874	-0.06646350	0.07691997	-0.04259037	0.00815506	0.08840249
1.899993	0.08547018	-0.06622604	0.07833831	-0.03298542	0.00976518	0.07657338
1.916659	0.08495376	-0.06597674	0.07955537	-0.02264754	0.00715203	0.06516713
1.933326	0.08471710	-0.06583639	0.08048840	-0.01310369	0.00173230	0.05292895
1.949992	0.08467066	-0.06585801	0.08125708	-0.00504175	-0.00503471	0.03809672
1.966659	0.08467960	-0.06608278	0.08185314	0.00022251	-0.01136874	0.01980860
1.983325	0.08473318	-0.06635438	0.08215742	0.00271679	-0.01579514	-0.00269451
1.999992	0.08477854	-0.06667646	0.08199044	0.00514945	-0.01674066	-0.03066581
2.016659	0.08486244	-0.06697885	0.08123809	0.01020715	-0.01374097	-0.06099069
2.033325	0.08497628	-0.06725640	0.07992294	0.01787264	-0.00856619	-0.08793727
2.049992	0.08529492	-0.06737350	0.07802162	0.02666275	-0.00328687	-0.10684368
2.066658	0.08588491	-0.06729508	0.07591365	0.03468274	0.00082318	-0.11666928
2.083325	0.08663493	-0.06715705	0.07378810	0.04093384	0.00465648	-0.11610729
2.099992	0.08743122	-0.06707086	0.07188429	0.04394500	0.00822559	-0.10434929
2.116658	0.08813831	-0.06703716	0.07011698	0.04408302	0.01110882	-0.08421782
2.133325	0.08887184	-0.06682557	0.06877415	0.04231227	0.01358492	-0.05900395
2.149992	0.08955469	-0.06648919	0.06800023	0.03862784	0.01538417	-0.02909724
2.166658	0.09025496	-0.06612523	0.06781650	0.03034786	0.01450909	0.00571011
2.183325	0.09080033	-0.06586354	0.06815393	0.01474502	0.00907522	0.04171589
2.199991	0.09108030	-0.06575348	0.06912018	-0.00647469	0.00052728	0.07464587
2.216658	0.09080175	-0.06580463	0.07075245	-0.02799809	-0.00675726	0.10071075
2.233325	0.08994111	-0.06607324	0.07289079	-0.04430539	-0.01056806	0.11691418
2.249991	0.08878250	-0.06642590	0.07517947	-0.05218355	-0.01192064	0.12046619
2.266658	0.08774256	-0.06660494	0.07730472	-0.04975457	-0.01168468	0.11162098
2.283324	0.08698010	-0.06670672	0.07911561	-0.03948272	-0.01194452	0.09267907
2.299991	0.08647377	-0.06679843	0.08049941	-0.02624280	-0.01473392	0.06697636
2.316658	0.08618475	-0.06704012	0.08147136	-0.01328269	-0.02028522	0.03747686
2.333324	0.08604652	-0.06751264	0.08185618	-0.00131265	-0.02676211	0.00580142
2.349991	0.08610686	-0.06804218	0.08168011	0.00950977	-0.03208829	-0.02692770
2.366657	0.08637751	-0.06867392	0.08092406	0.01843035	-0.03369877	-0.05855389
2.383324	0.08682425	-0.06925782	0.07963276	0.02525548	-0.02921678	-0.08505717
2.399991	0.08736821	-0.06982713	0.07788712	0.02973151	-0.01853347	-0.10385677
