Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.09087305	-0.05089772	0.08412544	0.03538493	0.00486288	-0.06241388
0.016667	0.09145871	-0.05081865	0.08318973	0.03212830	0.00479458	-0.06831636
0.033333	0.09202425	-0.05072969	0.08198082	0.02887167	0.00472628	-0.07421885
0.050000	0.09248231	-0.05064697	0.08063517	0.02680435	0.00467749	-0.07121636
0.066666	0.09288159	-0.05059649	0.07931001	0.02169413	0.00406077	-0.06816594
0.083333	0.09324212	-0.05049836	0.07819851	0.01641753	0.00328864	-0.05928797
0.100000	0.09349525	-0.05045060	0.07728820	0.01343680	0.00363092	-0.04994249
0.116666	0.09359925	-0.05042256	0.07664978	0.01351649	0.00476480	-0.04423282
0.133333	0.09370041	-0.05038060	0.07610007	0.01522212	0.00556507	-0.04210288
0.149999	0.09397936	-0.05023862	0.07543629	0.01709889	0.00639315	-0.04131952
0.166666	0.09444112	-0.05006681	0.07461021	0.01775473	0.00691888	-0.03998430
0.183333	0.09483802	-0.04995588	0.07382209	0.01543748	0.00633939	-0.03581747
0.199999	0.09507180	-0.04986167	0.07324541	0.00969734	0.00468038	-0.02767071
0.216666	0.09510984	-0.04981607	0.07291435	0.00215174	0.00269125	-0.01627310
0.233332	0.09505536	-0.04977432	0.07275601	-0.00634442	-0.00042854	-0.00201196
0.249999	0.09492901	-0.04976524	0.07276996	-0.01608065	-0.00536420	0.01625265
0.266666	0.09467846	-0.04983958	0.07303470	-0.02646259	-0.01072649	0.03876452
0.283332	0.09414219	-0.05009216	0.07380527	-0.03684238	-0.01447721	0.06426323
0.299999	0.09334252	-0.05048849	0.07517406	-0.04539828	-0.01512688	0.08839401
0.316665	0.09241704	-0.05084684	0.07702775	-0.04932978	-0.01197889	0.10562645
0.333332	0.09148134	-0.05102305	0.07916556	-0.04612885	-0.00536122	0.11091590
0.349999	0.09068599	-0.05100235	0.08118311	-0.03685754	0.00256629	0.10380153
0.366665	0.09009757	-0.05083689	0.08294775	-0.02423773	0.00869745	0.08747631
0.383332	0.08986018	-0.05060435	0.08418874	-0.01080964	0.01164149	0.06656424
0.399998	0.08984925	-0.05034680	0.08506412	0.00101690	0.01167447	0.04511769
0.416665	0.09003238	-0.05015514	0.08557939	0.00864844	0.00953574	0.02613380
0.433332	0.09028924	-0.05000832	0.08584394	0.01135510	0.00604600	0.01178076
0.449998	0.09055506	-0.04994481	0.08587026	0.01084801	0.00223412	0.00183598
0.466665	0.09071721	-0.04994388	0.08574086	0.00978384	-0.00089350	-0.00517810
0.483331	0.09079970	-0.05000864	0.08559174	0.01027983	-0.00249841	-0.01207062
0.499998	0.09087241	-0.05010299	0.08543418	0.01307411	-0.00272521	-0.02065711
0.516665	0.09111731	-0.05017095	0.08513296	0.01739561	-0.00234897	-0.03167705
0.533331	0.09149759	-0.05016276	0.08452746	0.02143522	-0.00165910	-0.04440787
0.549998	0.09199180	-0.05016167	0.08357981	0.02364611	-0.00016283	-0.05635750
0.566664	0.09241761	-0.05017091	0.08243275	0.02373541	0.00215615	-0.06500714
0.583331	0.09278157	-0.05019643	0.08121382	0.02318596	0.00463013	-0.06918085
0.599998	0.09309677	-0.05008424	0.08004647	0.02281843	0.00684672	-0.06969748
0.616664	0.09345420	-0.04988512	0.07889598	0.02232933	0.00868521	-0.06750350
0.633331	0.09390008	-0.04967402	0.07778132	0.02063171	0.00919580	-0.06362288
0.649997	0.09430642	-0.04953055	0.07669000	0.01824781	0.00765791	-0.05897255
0.666664	0.09458589	-0.04942476	0.07575379	0.01522309	0.00534419	-0.05326035
0.683331	0.09471101	-0.04937312	0.07492855	0.01156007	0.00330524	-0.04595823
0.699997	0.09486358	-0.04934165	0.07421565	0.00841044	0.00206727	-0.03746342
0.716664	0.09501373	-0.04932132	0.07362587	0.00614191	0.00148934	-0.02862953
0.733330	0.09513055	-0.04931278	0.07321749	0.00335937	0.00149752	-0.01893658
0.749997	0.09518120	-0.04928013	0.07299659	-0.00183870	0.00118157	-0.00768706
0.766664	0.09512337	-0.04925629	0.07293941	-0.00936344	-0.00064899	0.00615320
0.783330	0.09495109	-0.04921868	0.07309334	-0.01860745	-0.00402134	0.02390837
0.799997	0.09455808	-0.04928487	0.07353951	-0.02859645	-0.00773008	0.04578903
0.816663	0.09397995	-0.04949519	0.07443294	-0.03739763	-0.01031617	0.06932677
0.833330	0.09321348	-0.04977595	0.07586940	-0.04314354	-0.01075190	0.09002978
0.849997	0.09235805	-0.05001915	0.07773546	-0.04422560	-0.00812379	0.10303918
0.866663	0.09156689	-0.05011685	0.07977120	-0.04007210	-0.00315012	0.10442347
0.883330	0.09087691	-0.05010001	0.08165770	-0.03101443	0.00231477	0.09377841
0.899996	0.09043091	-0.04997369	0.08318000	-0.01965654	0.00620228	0.07477194
0.916663	0.09021147	-0.04980967	0.08420920	-0.00866078	0.00746708	0.05321550
0.933330	0.09025390	-0.04963948	0.08480201	-0.00004139	0.00600601	0.03333183
0.949996	0.09038752	-0.04953146	0.08509056	0.00504138	0.00240562	0.01802217
0.966663	0.09055080	-0.04951316	0.08524770	0.00667716	-0.00159084	0.00823725
0.983329	0.09065726	-0.04961476	0.08526377	0.00592137	-0.00484124	0.00297153
0.999996	0.09073391	-0.04978047	0.08527421	0.00428798	-0.00662464	0.00044968
1.016663	0.09078012	-0.04991496	0.08523126	0.00355428	-0.00661547	-0.00177414
1.033329	0.09082474	-0.05002368	0.08522967	0.00503289	-0.00409540	-0.00678002
1.049996	0.09085107	-0.05007496	0.08518945	0.00870768	-0.00023907	-0.01761738
1.066662	0.09100527	-0.05009264	0.08495069	0.01327770	0.00316738	-0.03354689
1.083329	0.09128037	-0.04995052	0.08431019	0.01703228	0.00539761	-0.05096367
1.099996	0.09170832	-0.04979337	0.08312973	0.01964927	0.00678725	-0.06573234
1.116662	0.09209195	-0.04964599	0.08170126	0.02184240	0.00727548	-0.07553947
1.133329	0.09239494	-0.04957729	0.08029081	0.02363006	0.00659277	-0.07909196
1.149995	0.09272229	-0.04948437	0.07902630	0.02436804	0.00590923	-0.07724894
1.166662	0.09319026	-0.04937395	0.07780933	0.02440783	0.00606251	-0.07300801
1.183329	0.09371049	-0.04927254	0.07659076	0.02334943	0.00610622	-0.06761485
1.199995	0.09412924	-0.04916524	0.07543831	0.02024912	0.00472590	-0.06006191
1.216662	0.09439322	-0.04905200	0.07442655	0.01468765	0.00233826	-0.04902114
1.233328	0.09456143	-0.04902531	0.07368264	0.00843748	0.00002405	-0.03551721
1.249995	0.09466529	-0.04907045	0.07323148	0.00271675	-0.00155580	-0.02047785
1.266662	0.09466235	-0.04918576	0.07306624	-0.00322544	-0.00237451	-0.00475513
1.283328	0.09459095	-0.04923045	0.07308643	-0.01084086	-0.00329803	0.01118657
1.299995	0.09437565	-0.04922856	0.07338648	-0.01972795	-0.00568932	0.02826985
1.316661	0.09400174	-0.04924885	0.07394128	-0.02827060	-0.00929583	0.04753311
1.333328	0.09338812	-0.04943138	0.07486856	-0.03451000	-0.01290256	0.06700572
1.349995	0.09266265	-0.04980255	0.07618988	-0.03705297	-0.01495665	0.08275951
1.366661	0.09194064	-0.05016165	0.07788291	-0.03538667	-0.01487121	0.09193520
1.383328	0.09137344	-0.05040776	0.07965732	-0.02913450	-0.01145844	0.09196821
1.399994	0.09094352	-0.05050232	0.08128342	-0.01984887	-0.00569435	0.08218530
1.416661	0.09066839	-0.05057229	0.08260357	-0.01043085	-0.00035877	0.06527655
1.433328	0.09060565	-0.05051282	0.08352423	-0.00303262	0.00300846	0.04657499
1.449994	0.09069593	-0.05040798	0.08405846	0.00193470	0.00474488	0.02993368
1.466661	0.09083018	-0.05026872	0.08430647	0.00432288	0.00529416	0.01711159
1.483327	0.09091568	-0.05018429	0.08444560	0.00401692	0.00420233	0.00931267
1.499994	0.09094780	-0.05013504	0.08453257	0.00173145	0.00206823	0.00616110
1.516661	0.09097520	-0.05010973	0.08457993	-0.00101209	-0.00006400	0.00574606
1.533327	0.09094381	-0.05013770	0.08467794	-0.00342590	-0.00119489	0.00669367
1.549994	0.09085585	-0.05019462	0.08479114	-0.00504205	-0.00135035	0.00827260
1.566660	0.09072951	-0.05024477	0.08495781	-0.00442101	-0.00027174	0.00734492
1.583327	0.09058864	-0.05024604	0.08514503	0.00062425	0.00248491	0.00003614
1.599994	0.09055800	-0.05018928	0.08527400	0.00980143	0.00633050	-0.01554648
1.616660	0.09073729	-0.05006056	0.08503889	0.01994309	0.01037840	-0.03833346
1.633327	0.09126995	-0.04982885	0.08421937	0.02783231	0.01371037	-0.06399031
1.649993	0.09197545	-0.04954981	0.08275188	0.03327283	0.01623654	-0.08765081
1.666660	0.09261424	-0.04922861	0.08088639	0.03530326	0.01701854	-0.10315798
1.683327	0.09310174	-0.04894672	0.07892713	0.03267081	0.01489558	-0.10608473
1.699993	0.09364442	-0.04864581	0.07699618	0.02711176	0.01045688	-0.09611325
1.716660	0.09412785	-0.04848151	0.07540124	0.02091800	0.00487110	-0.07702292
1.733326	0.09448386	-0.04847603	0.07423038	0.01456304	-0.00061840	-0.05384418
1.749993	0.09460035	-0.04859088	0.07363606	0.00747825	-0.00499694	-0.03116013
1.766660	0.09459388	-0.04877049	0.07345525	0.00134178	-0.00659351	-0.01269122
1.783326	0.09456597	-0.04889296	0.07348491	-0.00346800	-0.00567824	0.00052612
1.799993	0.09447459	-0.04899720	0.07361341	-0.00814162	-0.00383816	0.00981528
1.816659	0.09439143	-0.04899528	0.07376817	-0.01424560	-0.00334354	0.01940690
1.833326	0.09411700	-0.04899484	0.07408826	-0.02212444	-0.00533246	0.03344139
1.849993	0.09368497	-0.04903899	0.07464711	-0.03169806	-0.00898601	0.05364972
1.866659	0.09305417	-0.04924273	0.07564013	-0.04118206	-0.01239923	0.07703044
1.883326	0.09225861	-0.04957761	0.07718408	-0.04787822	-0.01358112	0.09810383
1.899992	0.09133051	-0.04990553	0.07921650	-0.05014663	-0.01169854	0.11221565
1.916659	0.09038805	-0.05009354	0.08141652	-0.04720956	-0.00646067	0.11627654
1.933326	0.08955356	-0.05012212	0.08348244	-0.03836181	0.00041951	0.10792753
1.949992	0.08897060	-0.05002423	0.08523347	-0.02510785	0.00587030	0.08872340
1.966659	0.08862916	-0.04983260	0.08664133	-0.01119119	0.00752245	0.06366446
1.983325	0.08868040	-0.04961719	0.08745936	0.00086606	0.00577674	0.03730394
1.999992	0.08887625	-0.04949816	0.08779720	0.01089957	0.00264700	0.01157944
2.016659	0.08915723	-0.04955139	0.08766701	0.01838643	-0.00053449	-0.01151239
2.033325	0.08945496	-0.04967237	0.08728292	0.02276903	-0.00291494	-0.02969489
2.049992	0.08989110	-0.04974658	0.08659492	0.02482234	-0.00323584	-0.04233035
2.066658	0.09040133	-0.04976966	0.08571704	0.02531706	-0.00198395	-0.05006877
2.083325	0.09088568	-0.04978077	0.08473917	0.02420543	-0.00053877	-0.05339957
2.099992	0.09123882	-0.04976802	0.08380580	0.02153632	0.00034770	-0.05280266
2.116658	0.09154906	-0.04977863	0.08292099	0.01935292	0.00133291	-0.05055928
2.133325	0.09179474	-0.04974039	0.08215959	0.01917910	0.00306004	-0.04926105
2.149991	0.09209844	-0.04971495	0.08139662	0.01993925	0.00525948	-0.04974340
2.166658	0.09246037	-0.04959597	0.08061372	0.02022312	0.00753382	-0.05094947
2.183325	0.09288477	-0.04943049	0.07967914	0.01970243	0.00962272	-0.05186549
2.199991	0.09321731	-0.04923696	0.07873718	0.01957253	0.01164301	-0.05290194
2.216658	0.09348030	-0.04903036	0.07785486	0.02079022	0.01338845	-0.05481235
2.233324	0.09370635	-0.04882438	0.07705265	0.02223217	0.01403203	-0.05694379
2.249991	0.09414420	-0.04855604	0.07612187	0.02206319	0.01255489	-0.05731803
2.266658	0.09466896	-0.04827012	0.07503477	0.01889080	0.00892605	-0.05409501
2.283324	0.09509515	-0.04811392	0.07393988	0.01173084	0.00362472	-0.04540789
2.299991	0.09519836	-0.04811836	0.07319878	0.00045434	-0.00270303	-0.02997887
2.316657	0.09503048	-0.04829409	0.07284149	-0.01238873	-0.00892948	-0.00874217
2.333324	0.09467090	-0.04850901	0.07294329	-0.02411200	-0.01420876	0.01546799
2.349991	0.09417596	-0.04876556	0.07337029	-0.03242204	-0.01755409	0.03977020
2.366657	0.09355271	-0.04907994	0.07422863	-0.03633514	-0.01778848	0.06120423
2.383324	0.09281205	-0.04946624	0.07548951	-0.03474901	-0.01406994	0.07515650
2.399990	0.09213433	-0.04978729	0.07709429	-0.02797853	-0.00691759	0.07834879
