Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.07919911	-0.02145877	0.09940544	0.01345733	0.00398109	-0.03809262
0.016667	0.07945440	-0.02137766	0.09877563	0.00588099	0.00070436	-0.02786178
0.033333	0.07955148	-0.02136787	0.09828734	-0.00169535	-0.00257237	-0.01763094
0.050000	0.07946484	-0.02142064	0.09801049	-0.00540702	-0.00385197	-0.00748328
0.066666	0.07930591	-0.02155152	0.09790468	-0.01224549	-0.00571932	0.00937074
0.083333	0.07902367	-0.02167703	0.09821282	-0.01589416	-0.00620541	0.02417764
0.100000	0.07868086	-0.02180484	0.09885833	-0.01842637	-0.00647614	0.03590345
0.116666	0.07834823	-0.02186474	0.09973165	-0.02200668	-0.00729254	0.04592083
0.133333	0.07804790	-0.02195134	0.10052136	-0.02612728	-0.00854135	0.05539350
0.149999	0.07763232	-0.02211197	0.10133069	-0.02918523	-0.00973380	0.06529368
0.166666	0.07701945	-0.02234229	0.10242341	-0.02980814	-0.01054108	0.07437229
0.183333	0.07635957	-0.02256162	0.10388289	-0.02737205	-0.00993436	0.07945253
0.199999	0.07587047	-0.02271714	0.10555839	-0.02064575	-0.00682297	0.07656892
0.216666	0.07564373	-0.02281663	0.10697637	-0.00967588	-0.00137237	0.06415977
0.233332	0.07558820	-0.02283802	0.10790620	0.00325465	0.00465970	0.04363439
0.249999	0.07573136	-0.02269490	0.10835797	0.01438135	0.00887860	0.01972333
0.266666	0.07608403	-0.02242393	0.10843012	0.02181345	0.01044251	-0.00093766
0.283332	0.07664482	-0.02212311	0.10819632	0.02484961	0.00902374	-0.01495278
0.299999	0.07716887	-0.02200173	0.10770361	0.02322273	0.00505006	-0.02267709
0.316665	0.07757930	-0.02199181	0.10719191	0.01775357	-0.00004325	-0.02584036
0.333332	0.07775747	-0.02210364	0.10674819	0.01150825	-0.00356558	-0.02576693
0.349999	0.07782979	-0.02220031	0.10638691	0.00692933	-0.00411119	-0.02560741
0.366665	0.07783410	-0.02231533	0.10601673	0.00380037	-0.00270487	-0.02784938
0.383332	0.07793430	-0.02233003	0.10559427	0.00194703	0.00027422	-0.03146248
0.399998	0.07800820	-0.02229353	0.10497975	0.00179988	0.00398002	-0.03471169
0.416665	0.07799947	-0.02221039	0.10428435	0.00425743	0.00812495	-0.03681500
0.433332	0.07796045	-0.02202644	0.10361362	0.00755719	0.01107334	-0.03843222
0.449998	0.07806693	-0.02181793	0.10303168	0.01094405	0.01192936	-0.03893059
0.466665	0.07843676	-0.02150427	0.10246103	0.01338942	0.01009689	-0.03750704
0.483331	0.07876695	-0.02133015	0.10173975	0.01373766	0.00570321	-0.03345332
0.499998	0.07903787	-0.02125715	0.10108887	0.01014084	-0.00053101	-0.02645786
0.516665	0.07909405	-0.02136513	0.10062920	0.00333720	-0.00699054	-0.01672427
0.533331	0.07912305	-0.02157631	0.10051968	-0.00406803	-0.01189577	-0.00568396
0.549998	0.07898881	-0.02184022	0.10063455	-0.01083635	-0.01474708	0.00433294
0.566664	0.07874974	-0.02212071	0.10081236	-0.01738596	-0.01519362	0.01292100
0.583331	0.07838841	-0.02239389	0.10104795	-0.02421538	-0.01447096	0.02164808
0.599998	0.07794353	-0.02262460	0.10136114	-0.02915018	-0.01236129	0.03398540
0.616664	0.07737693	-0.02281218	0.10195119	-0.03142358	-0.00859741	0.05010241
0.633331	0.07674769	-0.02297736	0.10289875	-0.03050116	-0.00390079	0.06681126
0.649997	0.07620477	-0.02300148	0.10430272	-0.02662684	0.00047120	0.07780069
0.666664	0.07578186	-0.02292212	0.10591288	-0.02009892	0.00401979	0.07910515
0.683331	0.07554750	-0.02275300	0.10748128	-0.01239156	0.00648583	0.07085411
0.699997	0.07540486	-0.02262706	0.10854562	-0.00438338	0.00728130	0.05592115
0.716664	0.07540435	-0.02252324	0.10923537	0.00313786	0.00657161	0.03834121
0.733330	0.07549189	-0.02241816	0.10959502	0.00969529	0.00520598	0.02220450
0.749997	0.07575166	-0.02233105	0.10986722	0.01450902	0.00387163	0.01005631
0.766664	0.07607261	-0.02226773	0.10995026	0.01587032	0.00212337	0.00121173
0.783330	0.07644453	-0.02224758	0.10987592	0.01359166	0.00017535	-0.00517132
0.799997	0.07669265	-0.02226700	0.10967126	0.00882868	-0.00148733	-0.00901762
0.816663	0.07675359	-0.02232507	0.10943261	0.00437276	-0.00295272	-0.00969809
0.833330	0.07669200	-0.02238858	0.10923960	0.00149206	-0.00351862	-0.00881742
0.849997	0.07660706	-0.02245034	0.10915522	0.00038605	-0.00316029	-0.00795990
0.866663	0.07667781	-0.02253434	0.10909738	0.00038471	-0.00215840	-0.00798791
0.883330	0.07675377	-0.02254241	0.10898197	0.00070509	-0.00116051	-0.00960119
0.899996	0.07678795	-0.02255901	0.10877042	0.00386500	0.00161147	-0.01662123
0.916663	0.07674104	-0.02250692	0.10851783	0.00948053	0.00610831	-0.02794348
0.933330	0.07674480	-0.02248252	0.10814423	0.01570488	0.01017345	-0.03951874
0.949996	0.07724589	-0.02219355	0.10723107	0.02008647	0.01228040	-0.04758601
0.966663	0.07778058	-0.02187518	0.10618331	0.02208182	0.01255069	-0.05140273
0.983329	0.07833377	-0.02157894	0.10506955	0.02078180	0.01133135	-0.04951180
0.999996	0.07847669	-0.02148999	0.10440615	0.01609403	0.00810407	-0.04161363
1.016663	0.07860208	-0.02145104	0.10384122	0.01092908	0.00439576	-0.03201270
1.033329	0.07876881	-0.02138548	0.10343216	0.00757958	0.00141073	-0.02508591
1.049996	0.07892475	-0.02134671	0.10309345	0.00605660	-0.00058326	-0.02123778
1.066662	0.07905211	-0.02135871	0.10276459	0.00337930	-0.00296202	-0.01846313
1.083329	0.07906222	-0.02145297	0.10245389	0.00023879	-0.00508461	-0.01744266
1.099996	0.07900535	-0.02158949	0.10221658	-0.00334652	-0.00611219	-0.01694954
1.116662	0.07891525	-0.02173232	0.10193669	-0.00666941	-0.00557708	-0.01568268
1.133329	0.07880785	-0.02181873	0.10166793	-0.00919361	-0.00448704	-0.01309936
1.149995	0.07861711	-0.02186767	0.10138480	-0.01274565	-0.00441497	-0.00706869
1.166662	0.07839924	-0.02186075	0.10126177	-0.01985547	-0.00704578	0.00490250
1.183329	0.07810567	-0.02195765	0.10132170	-0.02977864	-0.01237623	0.02229316
1.199995	0.07760505	-0.02216800	0.10180663	-0.03745243	-0.01803892	0.04180739
1.216662	0.07674704	-0.02262283	0.10275387	-0.03858157	-0.02080488	0.05911456
1.233328	0.07577477	-0.02313213	0.10406833	-0.03284043	-0.01909953	0.07005299
1.249995	0.07516615	-0.02352875	0.10548507	-0.02145832	-0.01358379	0.07054357
1.266662	0.07509132	-0.02364196	0.10677644	-0.00659830	-0.00553165	0.06084273
1.283328	0.07529677	-0.02356493	0.10775481	0.00582980	0.00262691	0.04562020
1.299995	0.07556207	-0.02342414	0.10829811	0.01005583	0.00771511	0.03092260
1.316661	0.07579467	-0.02325187	0.10851718	0.00734634	0.00876578	0.02066747
1.333328	0.07591709	-0.02304760	0.10864609	0.00381121	0.00793180	0.01610975
1.349995	0.07584238	-0.02293769	0.10888103	0.00183285	0.00669433	0.01619908
1.366661	0.07573507	-0.02286222	0.10924265	0.00080582	0.00482931	0.01784056
1.383328	0.07579046	-0.02282215	0.10961633	0.00078995	0.00237838	0.01895357
1.399994	0.07589915	-0.02275495	0.10994487	0.00235022	0.00055835	0.01823563
1.416661	0.07597592	-0.02275221	0.11018097	0.00377448	-0.00053962	0.01590914
1.433328	0.07595142	-0.02282285	0.11046030	0.00382961	-0.00131368	0.01273082
1.449994	0.07601564	-0.02286591	0.11066055	0.00351326	-0.00170229	0.00948183
1.466661	0.07610882	-0.02289780	0.11082619	0.00362625	-0.00100812	0.00577288
1.483328	0.07620834	-0.02288561	0.11085074	0.00311074	0.00019907	0.00118278
1.499994	0.07625841	-0.02287913	0.11084224	0.00259557	0.00201488	-0.00414422
1.516661	0.07626138	-0.02284794	0.11073846	0.00361999	0.00442786	-0.01047835
1.533327	0.07622725	-0.02279113	0.11055800	0.00597323	0.00687971	-0.01778189
1.549994	0.07636663	-0.02262216	0.11021116	0.00910103	0.00874563	-0.02591792
1.566660	0.07658906	-0.02242245	0.10969330	0.01310343	0.00984633	-0.03383076
1.583327	0.07689670	-0.02221015	0.10901570	0.01794774	0.01062647	-0.04187761
1.599994	0.07716318	-0.02207831	0.10824735	0.02159273	0.01113007	-0.04956146
1.616660	0.07752604	-0.02192972	0.10740976	0.02298353	0.01144990	-0.05564589
1.633327	0.07802920	-0.02172018	0.10639264	0.02293417	0.01167679	-0.05943650
1.649993	0.07846925	-0.02147473	0.10529442	0.02152887	0.01150487	-0.06033035
1.666660	0.07880479	-0.02125376	0.10420348	0.01733895	0.01005433	-0.05771783
1.683327	0.07903513	-0.02110139	0.10323372	0.01095638	0.00744320	-0.05122771
1.699993	0.07917213	-0.02102098	0.10246389	0.00478489	0.00469015	-0.04276680
1.716660	0.07921872	-0.02098179	0.10181826	-0.00014667	0.00290801	-0.03450549
1.733326	0.07910743	-0.02097605	0.10138398	-0.00328136	0.00262172	-0.02801146
1.749993	0.07899629	-0.02094614	0.10098328	-0.00398697	0.00369064	-0.02322564
1.766660	0.07886864	-0.02088573	0.10066040	-0.00245892	0.00537885	-0.01917362
1.783326	0.07885557	-0.02076470	0.10032520	-0.00042211	0.00649561	-0.01487626
1.799993	0.07892717	-0.02060749	0.10006569	0.00067905	0.00625425	-0.01025115
1.816659	0.07900406	-0.02046821	0.09994436	0.00054445	0.00465553	-0.00576439
1.833326	0.07900740	-0.02040628	0.09995037	-0.00140854	0.00128971	-0.00181165
1.849993	0.07893609	-0.02042170	0.09998126	-0.00547828	-0.00360538	0.00180782
1.866659	0.07882957	-0.02049959	0.10003174	-0.01134493	-0.00957341	0.00700514
1.883326	0.07866217	-0.02069893	0.10005474	-0.01830924	-0.01593607	0.01696195
1.899992	0.07830824	-0.02100629	0.10030437	-0.02474687	-0.02164112	0.03240535
1.916659	0.07778582	-0.02147272	0.10087973	-0.02807435	-0.02435551	0.04920871
1.933326	0.07712446	-0.02198854	0.10201254	-0.02569909	-0.02211717	0.06242412
1.949992	0.07660188	-0.02245830	0.10343456	-0.01888510	-0.01497807	0.06858328
1.966659	0.07635462	-0.02267025	0.10475927	-0.01083386	-0.00525402	0.06591972
1.983325	0.07644741	-0.02259428	0.10581594	-0.00429353	0.00426324	0.05542923
1.999992	0.07653443	-0.02231203	0.10656587	-0.00144542	0.01076270	0.04162448
2.016659	0.07653177	-0.02203030	0.10710944	-0.00165180	0.01282419	0.02927565
2.033325	0.07638755	-0.02178372	0.10748504	-0.00265514	0.01147699	0.02031603
2.049992	0.07625020	-0.02166440	0.10767571	-0.00209694	0.00898844	0.01437413
2.066658	0.07625441	-0.02155216	0.10786317	-0.00022955	0.00708321	0.01061958
2.083325	0.07631852	-0.02147496	0.10798597	0.00147496	0.00603874	0.00917081
2.099992	0.07642910	-0.02135880	0.10814851	0.00161220	0.00537829	0.00942651
2.116658	0.07644765	-0.02125428	0.10827768	0.00013661	0.00422282	0.01055971
2.133325	0.07639756	-0.02117813	0.10845786	-0.00229214	0.00266410	0.01200778
2.149992	0.07633433	-0.02115247	0.10867713	-0.00438252	0.00087744	0.01296972
2.166658	0.07623747	-0.02118096	0.10894014	-0.00476005	-0.00003389	0.01305865
2.183325	0.07613730	-0.02121200	0.10918330	-0.00407999	0.00044114	0.01130775
2.199991	0.07604979	-0.02123244	0.10937851	-0.00220769	0.00246947	0.00711816
2.216658	0.07603350	-0.02116900	0.10948350	0.00135284	0.00525415	-0.00008673
2.233325	0.07605264	-0.02104848	0.10946905	0.00629804	0.00827463	-0.00991822
2.249991	0.07619485	-0.02085212	0.10925427	0.01084526	0.01030526	-0.02217857
2.266658	0.07643878	-0.02066083	0.10878204	0.01442680	0.01051361	-0.03550369
2.283324	0.07679074	-0.02043050	0.10806394	0.01696798	0.00883985	-0.04742597
2.299991	0.07707525	-0.02030074	0.10707667	0.01782078	0.00596320	-0.05502954
2.316658	0.07738482	-0.02021349	0.10599885	0.01644011	0.00314585	-0.05709716
2.333324	0.07764472	-0.02024487	0.10493327	0.01423234	0.00144187	-0.05458384
2.349991	0.07790375	-0.02027332	0.10407639	0.01218890	0.00138535	-0.04931824
2.366657	0.07804154	-0.02026538	0.10337669	0.00967208	0.00200171	-0.04264633
2.383324	0.07819547	-0.02018535	0.10274424	0.00665962	0.00243815	-0.03613226
2.399991	0.07828485	-0.02007934	0.10215039	0.00428853	0.00229190	-0.03068716
