Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.07183502	-0.00162041	0.11207610	-0.00668774	0.00274642	-0.00118632
0.016667	0.07173034	-0.00158052	0.11205771	-0.00656652	0.00382108	0.00007264
0.033333	0.07162164	-0.00151834	0.11205518	-0.00644530	0.00489574	0.00133161
0.050000	0.07149838	-0.00141963	0.11206985	-0.00561918	0.00497860	0.00235845
0.066666	0.07139531	-0.00132630	0.11213379	-0.00510642	0.00509830	0.00414295
0.083333	0.07133907	-0.00122588	0.11221755	-0.00491219	0.00444208	0.00589027
0.100000	0.07128394	-0.00114935	0.11232495	-0.00505531	0.00348512	0.00762406
0.116666	0.07120869	-0.00111721	0.11247978	-0.00501638	0.00339465	0.00980210
0.133333	0.07108498	-0.00108631	0.11262824	-0.00482621	0.00424673	0.01254862
0.149999	0.07096948	-0.00105841	0.11285726	-0.00439444	0.00587030	0.01562531
0.166666	0.07093295	-0.00090363	0.11314203	-0.00427494	0.00690744	0.01852240
0.183333	0.07089018	-0.00074634	0.11350026	-0.00497999	0.00694174	0.02142363
0.199999	0.07086139	-0.00055505	0.11390577	-0.00669180	0.00613216	0.02377695
0.216666	0.07069830	-0.00052261	0.11428735	-0.00905000	0.00463255	0.02546090
0.233332	0.07050049	-0.00048779	0.11475538	-0.01131718	0.00382084	0.02774961
0.249999	0.07027029	-0.00046726	0.11519289	-0.01280063	0.00456501	0.03128687
0.266666	0.07004699	-0.00039316	0.11570733	-0.01292338	0.00716639	0.03508485
0.283332	0.06983925	-0.00023127	0.11635213	-0.01224441	0.00990497	0.03761556
0.299999	0.06962053	-0.00004106	0.11706054	-0.01170487	0.01194942	0.03861488
0.316665	0.06944492	0.00023137	0.11779872	-0.01206235	0.01298226	0.03788222
0.333332	0.06928246	0.00044758	0.11837745	-0.01222429	0.01345301	0.03614209
0.349999	0.06906560	0.00065834	0.11891375	-0.01120717	0.01349469	0.03389856
0.366665	0.06881528	0.00086457	0.11943110	-0.00990905	0.01323965	0.03184864
0.383332	0.06863337	0.00109329	0.11999161	-0.00880424	0.01299193	0.03008583
0.399998	0.06857289	0.00133825	0.12052046	-0.00800680	0.01248229	0.02797995
0.416665	0.06849900	0.00154566	0.12096937	-0.00760737	0.01172078	0.02580686
0.433332	0.06837316	0.00171906	0.12132939	-0.00855744	0.01060896	0.02361445
0.449998	0.06816006	0.00187734	0.12167674	-0.00981353	0.01002345	0.02220174
0.466665	0.06798999	0.00202736	0.12204875	-0.01012713	0.01028155	0.02137830
0.483331	0.06778247	0.00218468	0.12241726	-0.00967018	0.01008218	0.02045610
0.499998	0.06767508	0.00238750	0.12278704	-0.00869516	0.00862663	0.01871675
0.516665	0.06752982	0.00257945	0.12307198	-0.00715538	0.00580487	0.01630112
0.533331	0.06740673	0.00266504	0.12332380	-0.00560498	0.00143578	0.01330858
0.549998	0.06730773	0.00264004	0.12350278	-0.00491569	-0.00370624	0.01030319
0.566664	0.06727184	0.00250036	0.12366579	-0.00410026	-0.00779252	0.00812653
0.583331	0.06723359	0.00229355	0.12375702	-0.00323267	-0.00946224	0.00675752
0.599998	0.06715258	0.00208314	0.12383901	-0.00229844	-0.00889005	0.00569405
0.616664	0.06710174	0.00192373	0.12393158	-0.00192483	-0.00708243	0.00457415
0.633331	0.06707399	0.00186308	0.12403029	-0.00152488	-0.00458867	0.00388616
0.649997	0.06711072	0.00183094	0.12408820	-0.00102930	-0.00236747	0.00284874
0.666664	0.06707307	0.00180021	0.12410455	-0.00088279	-0.00183505	-0.00000596
0.683331	0.06705997	0.00180323	0.12412727	-0.00080787	-0.00242668	-0.00448326
0.699997	0.06701551	0.00176908	0.12407359	-0.00048805	-0.00340160	-0.00971813
0.716664	0.06701161	0.00168194	0.12384561	0.00060361	-0.00449828	-0.01400029
0.733330	0.06704566	0.00159535	0.12350734	0.00205350	-0.00572656	-0.01707609
0.749997	0.06707510	0.00146441	0.12308721	0.00381509	-0.00683840	-0.01895059
0.766664	0.06716918	0.00138619	0.12284276	0.00528315	-0.00812062	-0.02075003
0.783330	0.06725558	0.00123307	0.12254139	0.00651642	-0.00992920	-0.02335200
0.799997	0.06740135	0.00107294	0.12222183	0.00753674	-0.01304949	-0.02768919
0.816663	0.06753018	0.00083571	0.12165099	0.00871990	-0.01595681	-0.03337434
0.833330	0.06767192	0.00054057	0.12100872	0.01033485	-0.01766407	-0.03862687
0.849997	0.06783243	0.00014000	0.12027430	0.01176731	-0.01731829	-0.04223542
0.866663	0.06805465	-0.00014806	0.11955784	0.01276774	-0.01530028	-0.04358548
0.883330	0.06832069	-0.00043764	0.11881013	0.01330862	-0.01254136	-0.04417240
0.899996	0.06856095	-0.00049607	0.11807923	0.01340071	-0.00980848	-0.04344686
0.916663	0.06875642	-0.00065668	0.11734330	0.01255923	-0.00753978	-0.04211107
0.933330	0.06895217	-0.00075245	0.11661095	0.01103987	-0.00614953	-0.03982318
0.949996	0.06914512	-0.00090292	0.11600019	0.00976622	-0.00608743	-0.03644850
0.966663	0.06930704	-0.00096314	0.11537525	0.00920270	-0.00590572	-0.03178866
0.983329	0.06941974	-0.00102636	0.11490643	0.00888306	-0.00594492	-0.02765722
0.999996	0.06954180	-0.00114287	0.11447028	0.00887342	-0.00567002	-0.02516045
1.016663	0.06970874	-0.00125488	0.11417345	0.00920210	-0.00607614	-0.02397487
1.033329	0.06987751	-0.00138720	0.11378821	0.00947539	-0.00694759	-0.02349040
1.049996	0.07006136	-0.00143902	0.11335909	0.00893246	-0.00799068	-0.02296647
1.066662	0.07019659	-0.00157506	0.11290764	0.00795405	-0.00815116	-0.02244124
1.083329	0.07032552	-0.00175451	0.11255249	0.00735494	-0.00732291	-0.02164607
1.099996	0.07040332	-0.00195381	0.11226380	0.00702965	-0.00608762	-0.02158881
1.116662	0.07051607	-0.00202188	0.11196131	0.00677104	-0.00427034	-0.02190807
1.133329	0.07065552	-0.00201160	0.11156223	0.00660683	-0.00265535	-0.02213863
1.149995	0.07077659	-0.00200410	0.11109710	0.00648822	-0.00221236	-0.02113619
1.166662	0.07087626	-0.00204356	0.11071641	0.00567941	-0.00352518	-0.01827556
1.183329	0.07095308	-0.00213757	0.11044233	0.00464292	-0.00477864	-0.01384055
1.199995	0.07103246	-0.00224719	0.11030769	0.00376271	-0.00459531	-0.00933740
1.216662	0.07107932	-0.00237364	0.11020894	0.00283049	-0.00397651	-0.00624294
1.233328	0.07112881	-0.00240658	0.11014597	0.00146747	-0.00264553	-0.00393739
1.249995	0.07114904	-0.00239130	0.11007974	-0.00019144	0.00007050	-0.00124667
1.266662	0.07114179	-0.00243179	0.11001869	-0.00196614	0.00291125	0.00114106
1.283328	0.07108044	-0.00236191	0.11007971	-0.00376144	0.00492848	0.00283730
1.299995	0.07099599	-0.00224295	0.11022127	-0.00549896	0.00617206	0.00406449
1.316661	0.07088405	-0.00207110	0.11030673	-0.00638819	0.00747184	0.00489159
1.333328	0.07077060	-0.00192465	0.11037816	-0.00658530	0.00717025	0.00435950
1.349995	0.07062414	-0.00187605	0.11038357	-0.00659919	0.00486374	0.00313235
1.366661	0.07055131	-0.00171271	0.11049802	-0.00623575	0.00163731	0.00278936
1.383328	0.07043494	-0.00174685	0.11051369	-0.00522359	-0.00071297	0.00391336
1.399994	0.07035580	-0.00177993	0.11055734	-0.00429841	-0.00292617	0.00582057
1.416661	0.07027399	-0.00192658	0.11062847	-0.00449451	-0.00421531	0.00827573
1.433328	0.07024686	-0.00198473	0.11080844	-0.00548611	-0.00341851	0.01163670
1.449994	0.07018568	-0.00206519	0.11106025	-0.00705457	-0.00170435	0.01515458
1.466661	0.07002969	-0.00204688	0.11135244	-0.00874128	0.00015226	0.01864217
1.483327	0.06983145	-0.00202353	0.11166386	-0.01041085	0.00180706	0.02171954
1.499994	0.06961842	-0.00196101	0.11204648	-0.01144917	0.00414038	0.02420148
1.516661	0.06944735	-0.00192652	0.11248679	-0.01188931	0.00676366	0.02613533
1.533327	0.06926528	-0.00180737	0.11298610	-0.01229217	0.00921597	0.02738964
1.549994	0.06905656	-0.00160731	0.11344429	-0.01269510	0.01113163	0.02738893
1.566660	0.06882569	-0.00134036	0.11390765	-0.01310022	0.01207759	0.02606402
1.583327	0.06857595	-0.00112333	0.11433493	-0.01321612	0.01139020	0.02470920
1.599994	0.06837491	-0.00093613	0.11473126	-0.01300836	0.00965945	0.02440000
1.616660	0.06816161	-0.00082564	0.11508398	-0.01228673	0.00789722	0.02477324
1.633327	0.06796660	-0.00071772	0.11548860	-0.01184167	0.00689445	0.02582397
1.649993	0.06775874	-0.00062167	0.11594963	-0.01187601	0.00710551	0.02776925
1.666660	0.06758929	-0.00050644	0.11644132	-0.01215999	0.00798726	0.03035174
1.683327	0.06737634	-0.00037382	0.11695212	-0.01256970	0.00926808	0.03322242
1.699993	0.06717370	-0.00018437	0.11750869	-0.01302516	0.01133259	0.03671504
1.716660	0.06692419	-0.00001499	0.11813217	-0.01345506	0.01293536	0.03979371
1.733326	0.06670498	0.00023678	0.11885551	-0.01362229	0.01332962	0.04069352
1.749993	0.06647354	0.00051243	0.11964049	-0.01315532	0.01241901	0.03875081
1.766660	0.06625742	0.00073213	0.12032869	-0.01169131	0.01017249	0.03423787
1.783326	0.06603959	0.00089566	0.12083921	-0.00953231	0.00658463	0.02707976
1.799993	0.06589104	0.00093843	0.12118877	-0.00693235	0.00284342	0.01866497
1.816659	0.06580862	0.00094601	0.12143764	-0.00450456	0.00082208	0.01228635
1.833326	0.06579230	0.00089854	0.12154326	-0.00255545	0.00069495	0.00955422
1.849993	0.06577948	0.00086148	0.12158686	-0.00137095	0.00151456	0.00908624
1.866659	0.06575391	0.00095125	0.12171882	-0.00079096	0.00234850	0.00970748
1.883326	0.06573129	0.00102482	0.12196396	-0.00042629	0.00330009	0.01084448
1.899992	0.06572399	0.00111554	0.12220896	-0.00011653	0.00305227	0.01161412
1.916659	0.06573830	0.00111980	0.12240333	-0.00013489	0.00177998	0.01098600
1.933326	0.06575960	0.00116213	0.12252408	-0.00004597	0.00082699	0.00964236
1.949992	0.06574744	0.00113504	0.12268449	0.00026442	0.00020501	0.00835444
1.966659	0.06571747	0.00114241	0.12280989	0.00108954	-0.00000488	0.00660124
1.983325	0.06573692	0.00114462	0.12296702	0.00299325	0.00007407	0.00361366
1.999992	0.06578445	0.00113573	0.12302364	0.00593359	0.00089864	-0.00064105
2.016659	0.06592259	0.00115460	0.12297217	0.00898998	0.00106731	-0.00609378
2.033325	0.06610895	0.00116959	0.12280408	0.01164568	-0.00012139	-0.01280384
2.049992	0.06634944	0.00124152	0.12255008	0.01411976	-0.00256777	-0.02015055
2.066658	0.06659486	0.00118913	0.12217868	0.01660544	-0.00536125	-0.02764620
2.083325	0.06686249	0.00103924	0.12166073	0.01904022	-0.00785318	-0.03346825
2.099992	0.06719693	0.00081304	0.12097707	0.02064463	-0.00924108	-0.03612004
2.116658	0.06759817	0.00062646	0.12023680	0.02081447	-0.00848612	-0.03527980
2.133325	0.06801102	0.00050641	0.11962220	0.01935956	-0.00666034	-0.03253264
2.149992	0.06833579	0.00043621	0.11917620	0.01610774	-0.00463796	-0.02934468
2.166658	0.06854618	0.00040717	0.11883587	0.01176086	-0.00384911	-0.02695601
2.183325	0.06869334	0.00033924	0.11839329	0.00756196	-0.00408696	-0.02568356
2.199991	0.06875841	0.00029864	0.11791131	0.00525924	-0.00514403	-0.02533312
2.216658	0.06881626	0.00016513	0.11742679	0.00472626	-0.00633519	-0.02450480
2.233325	0.06883682	0.00007536	0.11706959	0.00517434	-0.00700028	-0.02259990
2.249991	0.06896766	-0.00009303	0.11673054	0.00571398	-0.00669295	-0.02080739
2.266658	0.06908634	-0.00020282	0.11643806	0.00617901	-0.00546089	-0.01985126
2.283324	0.06923265	-0.00030119	0.11609813	0.00592566	-0.00416812	-0.01949337
2.299991	0.06929117	-0.00032770	0.11575264	0.00486093	-0.00296074	-0.01880452
2.316658	0.06937400	-0.00033828	0.11542125	0.00399040	-0.00242833	-0.01732155
2.333324	0.06939933	-0.00037758	0.11513756	0.00344505	-0.00279258	-0.01522581
2.349991	0.06946764	-0.00042921	0.11491612	0.00346189	-0.00416039	-0.01382889
2.366657	0.06952506	-0.00050339	0.11474634	0.00326113	-0.00552240	-0.01339434
2.383324	0.06958516	-0.00061492	0.11455099	0.00261140	-0.00620955	-0.01320926
2.399991	0.06965273	-0.00074521	0.11429527	0.00189890	-0.00595200	-0.01249665
2.416657	0.06965411	-0.00087400	0.11402468	0.00166048	-0.00485234	-0.01102891
