Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.09023644	-0.04323098	0.07493376	0.00378778	-0.01897708	-0.02898832
0.016667	0.09026334	-0.04356685	0.07451850	0.01031649	-0.02267660	-0.04160793
0.033333	0.09042976	-0.04389741	0.07383914	0.01684520	-0.02637613	-0.05422755
0.050000	0.09076612	-0.04435207	0.07281465	0.01649003	-0.02714688	-0.05463499
0.066666	0.09120594	-0.04488699	0.07162813	0.01623261	-0.02722524	-0.05659439
0.083333	0.09154470	-0.04545362	0.07057120	0.01202957	-0.02573465	-0.05101131
0.100000	0.09167536	-0.04584112	0.06979744	0.00536723	-0.02296030	-0.03972025
0.116666	0.09162939	-0.04612011	0.06930687	-0.00153151	-0.01926977	-0.02526059
0.133333	0.09150714	-0.04638305	0.06899810	-0.00752039	-0.01410440	-0.00836826
0.149999	0.09134925	-0.04665398	0.06891852	-0.01225961	-0.00677158	0.01077045
0.166666	0.09116797	-0.04685650	0.06914052	-0.01584182	0.00347267	0.03126775
0.183333	0.09083183	-0.04672951	0.06989248	-0.01721460	0.01510321	0.04961492
0.199999	0.09046496	-0.04628773	0.07103500	-0.01688666	0.02629119	0.06230510
0.216666	0.09008759	-0.04560066	0.07242075	-0.01537739	0.03425100	0.06664776
0.233332	0.08994671	-0.04493490	0.07361152	-0.01206977	0.03662468	0.06153254
0.249999	0.08979256	-0.04428170	0.07460725	-0.00679522	0.03203475	0.04877043
0.266666	0.08969226	-0.04374567	0.07528301	-0.00141141	0.02272606	0.03220266
0.283332	0.08964027	-0.04334723	0.07569551	0.00207745	0.01155955	0.01457094
0.299999	0.08978282	-0.04332972	0.07577912	0.00499228	0.00035916	-0.00361194
0.316665	0.08997488	-0.04347315	0.07558282	0.00773426	-0.00916336	-0.02065726
0.333332	0.09009247	-0.04381924	0.07505213	0.00977636	-0.01661125	-0.03513190
0.349999	0.09021620	-0.04410670	0.07426704	0.01076293	-0.02194005	-0.04591059
0.366665	0.09038678	-0.04445807	0.07333850	0.01208076	-0.02607930	-0.05267172
0.383332	0.09064170	-0.04493176	0.07238077	0.01314634	-0.02886493	-0.05416903
0.399998	0.09091255	-0.04549103	0.07144312	0.01292223	-0.02959805	-0.05090499
0.416665	0.09115899	-0.04610790	0.07055293	0.01058728	-0.02732899	-0.04502583
0.433332	0.09130580	-0.04657118	0.06986424	0.00607355	-0.02209900	-0.03765356
0.449998	0.09139545	-0.04684717	0.06933311	0.00013970	-0.01516456	-0.02889902
0.466665	0.09134062	-0.04702028	0.06892762	-0.00571179	-0.00864129	-0.01845531
0.483331	0.09118893	-0.04704123	0.06866170	-0.01120687	-0.00334752	-0.00476176
0.499998	0.09090403	-0.04709101	0.06856947	-0.01666247	0.00310374	0.01414621
0.516665	0.09061709	-0.04705133	0.06886192	-0.02008547	0.01125802	0.03560304
0.533331	0.09022525	-0.04689837	0.06966961	-0.01946677	0.02078406	0.05539428
0.549998	0.08979027	-0.04640903	0.07101204	-0.01473835	0.02959887	0.06915694
0.566664	0.08949596	-0.04574452	0.07246428	-0.00872932	0.03620196	0.07440481
0.583331	0.08945618	-0.04494216	0.07383911	-0.00270792	0.03938027	0.06995967
0.599998	0.08964836	-0.04432777	0.07488883	0.00213814	0.03646602	0.05746250
0.616664	0.08974033	-0.04368702	0.07578610	0.00457829	0.02778925	0.04123972
0.633331	0.08979190	-0.04321533	0.07634170	0.00469869	0.01539318	0.02348399
0.649997	0.08978964	-0.04301278	0.07660127	0.00506772	0.00254651	0.00488943
0.666664	0.08987005	-0.04314128	0.07652674	0.00763788	-0.00965925	-0.01387371
0.683331	0.09002153	-0.04358218	0.07609195	0.00999544	-0.01862638	-0.02983273
0.699997	0.09025756	-0.04398639	0.07540066	0.01029689	-0.02246476	-0.04147666
0.716664	0.09054297	-0.04443922	0.07448801	0.00914160	-0.02196745	-0.04837070
0.733330	0.09065656	-0.04476207	0.07359767	0.00831514	-0.02128984	-0.05153043
0.749997	0.09068318	-0.04502780	0.07274403	0.00734064	-0.02247948	-0.05128158
0.766664	0.09073411	-0.04534428	0.07191809	0.00658992	-0.02370632	-0.04846197
0.783330	0.09092917	-0.04581010	0.07107888	0.00768281	-0.02379606	-0.04488970
0.799997	0.09110414	-0.04636364	0.07033176	0.00880103	-0.02157037	-0.03984788
0.816663	0.09123302	-0.04675762	0.06970678	0.00758617	-0.01677747	-0.03184797
0.833330	0.09138535	-0.04693754	0.06919754	0.00337807	-0.00964096	-0.02043725
0.849997	0.09144057	-0.04696083	0.06890212	-0.00246459	-0.00129160	-0.00532726
0.866663	0.09141193	-0.04692842	0.06888019	-0.00849072	0.00650414	0.01314042
0.883330	0.09114046	-0.04682054	0.06922347	-0.01289671	0.01331713	0.03223641
0.899996	0.09078182	-0.04652670	0.07001106	-0.01487220	0.01902487	0.04771818
0.916663	0.09046267	-0.04610946	0.07109555	-0.01448890	0.02530676	0.05822373
0.933330	0.09027800	-0.04559499	0.07228598	-0.01085308	0.03054175	0.06253581
0.949996	0.09016345	-0.04511902	0.07331266	-0.00478787	0.03164362	0.05874017
0.966663	0.09005792	-0.04444665	0.07432207	0.00085973	0.02802413	0.04800533
0.983329	0.09011602	-0.04391614	0.07512123	0.00535952	0.02112015	0.03308220
0.999996	0.09032598	-0.04356929	0.07558901	0.00932209	0.01157804	0.01539955
1.016663	0.09053110	-0.04355722	0.07567304	0.01218748	0.00032729	-0.00446496
1.033329	0.09078470	-0.04370806	0.07536064	0.01185437	-0.00879284	-0.02228545
1.049996	0.09095563	-0.04396582	0.07479188	0.01010180	-0.01365749	-0.03517623
1.066662	0.09117351	-0.04428933	0.07395965	0.00804383	-0.01470788	-0.04267494
1.083329	0.09120356	-0.04455404	0.07316368	0.00561929	-0.01459962	-0.04545755
1.099996	0.09132454	-0.04475087	0.07238032	0.00305445	-0.01356441	-0.04385470
1.116662	0.09132258	-0.04492610	0.07167190	0.00158001	-0.01203730	-0.03950869
1.133329	0.09135340	-0.04515500	0.07102151	0.00107587	-0.01031097	-0.03448735
1.149995	0.09131032	-0.04534673	0.07049599	0.00036378	-0.00880880	-0.02882086
1.166662	0.09135323	-0.04549766	0.07006874	-0.00021197	-0.00800291	-0.02192145
1.183329	0.09135264	-0.04553144	0.06974901	-0.00181374	-0.00669352	-0.01171195
1.199995	0.09135456	-0.04562714	0.06953928	-0.00483791	-0.00387998	0.00324474
1.216662	0.09126028	-0.04577398	0.06958961	-0.00861402	0.00097469	0.02177799
1.233328	0.09106600	-0.04580341	0.07009684	-0.01173177	0.00806193	0.03953566
1.249995	0.09077297	-0.04563273	0.07109594	-0.01415270	0.01709910	0.05318238
1.266662	0.09051149	-0.04517484	0.07233226	-0.01474234	0.02557005	0.05978929
1.283328	0.09026290	-0.04459447	0.07343333	-0.01269547	0.03014357	0.05725642
1.299995	0.09004273	-0.04397590	0.07436813	-0.00828191	0.02853017	0.04584077
1.316661	0.08989540	-0.04344376	0.07503954	-0.00268934	0.02056601	0.02887614
1.333328	0.08988997	-0.04313115	0.07546137	0.00376438	0.00849293	0.00995383
1.349995	0.09004921	-0.04308781	0.07545444	0.01006708	-0.00474894	-0.00931546
1.366661	0.09029844	-0.04336394	0.07506301	0.01459671	-0.01526535	-0.02650123
1.383328	0.09062794	-0.04382036	0.07438979	0.01547428	-0.02071897	-0.03910621
1.399994	0.09093855	-0.04432121	0.07352298	0.01267677	-0.02073037	-0.04582446
1.416661	0.09118565	-0.04466625	0.07268292	0.00831432	-0.01772629	-0.04805875
1.433328	0.09123902	-0.04486579	0.07186894	0.00495369	-0.01460454	-0.04633483
1.449994	0.09117971	-0.04495905	0.07113769	0.00326888	-0.01153008	-0.04078609
1.466661	0.09115303	-0.04516682	0.07041653	0.00237488	-0.00839330	-0.03250947
1.483327	0.09127905	-0.04540822	0.06987697	0.00101678	-0.00575671	-0.02237951
1.499994	0.09140997	-0.04550093	0.06960806	-0.00179612	-0.00364173	-0.01002807
1.516661	0.09139887	-0.04544111	0.06958199	-0.00614478	0.00083283	0.00656589
1.533327	0.09115338	-0.04534892	0.06976067	-0.00965528	0.00642582	0.02458608
1.549994	0.09084651	-0.04533200	0.07022301	-0.00963423	0.01112201	0.03962451
1.566660	0.09058563	-0.04507666	0.07119785	-0.00627550	0.01494216	0.04979515
1.583327	0.09058142	-0.04477914	0.07231069	-0.00151598	0.01966643	0.05473714
1.599994	0.09070686	-0.04432818	0.07335404	0.00252695	0.02328223	0.05243903
1.616660	0.09083714	-0.04395938	0.07413810	0.00428954	0.02279743	0.04194288
1.633327	0.09089278	-0.04347866	0.07477178	0.00361694	0.01732496	0.02537954
1.649993	0.09090379	-0.04315574	0.07517260	0.00352190	0.00788023	0.00486033
1.666660	0.09092183	-0.04303098	0.07515918	0.00585767	-0.00379823	-0.01783203
1.683326	0.09098124	-0.04329547	0.07462522	0.00953268	-0.01588900	-0.03976469
1.699993	0.09120554	-0.04373920	0.07362176	0.01131114	-0.02446870	-0.05513724
1.716660	0.09152982	-0.04433678	0.07234666	0.01002889	-0.02772721	-0.06059041
1.733326	0.09180969	-0.04485580	0.07114323	0.00559440	-0.02556927	-0.05661223
1.749993	0.09182136	-0.04526944	0.07025874	-0.00082605	-0.02067690	-0.04608635
1.766659	0.09167133	-0.04553845	0.06967860	-0.00653132	-0.01552927	-0.03251432
1.783326	0.09139837	-0.04568206	0.06931191	-0.00947807	-0.01213041	-0.01868729
1.799993	0.09121643	-0.04582995	0.06906368	-0.01008358	-0.00962406	-0.00435380
1.816659	0.09110151	-0.04598831	0.06902610	-0.01037106	-0.00573952	0.01247635
1.833326	0.09100873	-0.04617712	0.06928175	-0.01087350	0.00223611	0.03143446
1.849993	0.09081708	-0.04619613	0.06999002	-0.01128637	0.01277131	0.04818455
1.866659	0.09052191	-0.04588297	0.07112394	-0.01085733	0.02267018	0.05821091
1.883326	0.09028520	-0.04519289	0.07242823	-0.00862211	0.02916208	0.06002376
1.899992	0.09017558	-0.04451364	0.07351651	-0.00451883	0.03005438	0.05296184
1.916659	0.09017158	-0.04396531	0.07427011	0.00022296	0.02412802	0.03783401
1.933326	0.09026414	-0.04369798	0.07476596	0.00420289	0.01310076	0.01782901
1.949992	0.09033896	-0.04354987	0.07496002	0.00766824	0.00020556	-0.00394156
1.966659	0.09048992	-0.04364032	0.07476237	0.01106509	-0.01308390	-0.02649798
1.983325	0.09065816	-0.04394009	0.07409808	0.01416115	-0.02527251	-0.04729171
1.999992	0.09096257	-0.04451600	0.07301509	0.01608468	-0.03443814	-0.06214573
2.016659	0.09130620	-0.04529617	0.07165918	0.01533742	-0.03895857	-0.06858872
2.033325	0.09162255	-0.04608172	0.07034350	0.01159673	-0.03960881	-0.06635585
2.049992	0.09181719	-0.04672735	0.06924575	0.00529880	-0.03612099	-0.05636365
2.066658	0.09180756	-0.04723630	0.06841847	-0.00209839	-0.02877742	-0.04055356
2.083325	0.09167867	-0.04770862	0.06784660	-0.00985049	-0.01933117	-0.02112594
2.099992	0.09144113	-0.04802209	0.06759453	-0.01612674	-0.00996283	0.00110671
2.116658	0.09113134	-0.04809431	0.06775432	-0.01978025	0.00063151	0.02525705
2.133325	0.09070549	-0.04792691	0.06839093	-0.01998813	0.01342503	0.04785136
2.149991	0.09030267	-0.04766420	0.06950133	-0.01644271	0.02643970	0.06415590
2.166658	0.08998031	-0.04712553	0.07092523	-0.00908870	0.03599349	0.07096282
2.183325	0.08991018	-0.04636779	0.07232253	-0.00024814	0.04096480	0.06785613
2.199991	0.09001886	-0.04542980	0.07346657	0.00740643	0.04050102	0.05598854
2.216658	0.09034251	-0.04471783	0.07423835	0.01191349	0.03342450	0.03863335
2.233324	0.09059425	-0.04419658	0.07472838	0.01239904	0.02088363	0.01930226
2.249991	0.09084102	-0.04401775	0.07487816	0.01033273	0.00552504	-0.00042662
2.266658	0.09093264	-0.04404980	0.07474631	0.00808510	-0.00879718	-0.02041721
2.283324	0.09099609	-0.04434137	0.07424346	0.00773619	-0.02049953	-0.03911086
2.299991	0.09108041	-0.04486434	0.07338810	0.00813145	-0.02837150	-0.05322712
2.316657	0.09124501	-0.04544612	0.07221770	0.00812310	-0.03184413	-0.06094585
2.333324	0.09149921	-0.04608140	0.07099226	0.00720411	-0.03114663	-0.06234973
2.349991	0.09162097	-0.04659624	0.06993112	0.00583793	-0.02773136	-0.05803441
2.366657	0.09163976	-0.04699104	0.06907343	0.00381605	-0.02266779	-0.04902863
2.383324	0.09162325	-0.04732932	0.06832325	0.00140824	-0.01662229	-0.03715470
