Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.08672702	-0.02536464	0.11627324	-0.00405172	0.02659791	0.03293311
0.016667	0.08664364	-0.02493573	0.11682572	-0.00451932	0.02101955	0.02756249
0.033333	0.08658617	-0.02453511	0.11730953	-0.00498692	0.01544118	0.02219187
0.050000	0.08651693	-0.02430320	0.11763962	-0.00545213	0.01286478	0.01938533
0.066666	0.08640812	-0.02418125	0.11791182	-0.00521178	0.00918793	0.01427101
0.083333	0.08627735	-0.02413584	0.11807485	-0.00484893	0.00697527	0.01081475
0.100000	0.08620029	-0.02403157	0.11821739	-0.00405675	0.00585084	0.00878241
0.116666	0.08616686	-0.02387504	0.11833125	-0.00263904	0.00579489	0.00855490
0.133333	0.08613964	-0.02377033	0.11846059	-0.00095994	0.00667240	0.01049739
0.149999	0.08612433	-0.02371014	0.11860393	-0.00016835	0.00729068	0.01319969
0.166666	0.08612604	-0.02361884	0.11886219	-0.00032686	0.00676281	0.01453417
0.183333	0.08617079	-0.02344243	0.11919807	-0.00076033	0.00567952	0.01387330
0.199999	0.08614479	-0.02327556	0.11951821	-0.00122805	0.00472759	0.01233903
0.216666	0.08609840	-0.02325759	0.11964700	-0.00149344	0.00342285	0.00998639
0.233332	0.08603764	-0.02327644	0.11970284	-0.00154805	0.00177320	0.00756196
0.249999	0.08601297	-0.02327270	0.11979925	-0.00107170	0.00096924	0.00601879
0.266666	0.08604158	-0.02322377	0.11992398	-0.00044253	0.00133511	0.00562894
0.283332	0.08602861	-0.02317850	0.12007382	0.00051536	0.00140123	0.00427021
0.299999	0.08604160	-0.02316690	0.12011854	0.00120625	0.00059658	0.00136048
0.316665	0.08602753	-0.02315004	0.12014783	0.00159644	-0.00057457	-0.00172821
0.333332	0.08610335	-0.02318529	0.12003050	0.00197348	-0.00076536	-0.00318029
0.349999	0.08614502	-0.02321913	0.11991597	0.00203532	-0.00024811	-0.00332010
0.366665	0.08618896	-0.02325710	0.11983140	0.00147481	0.00059055	-0.00347977
0.383332	0.08620127	-0.02319743	0.11986284	0.00021156	0.00095505	-0.00492627
0.399998	0.08619120	-0.02315326	0.11984933	-0.00026841	0.00069822	-0.00902008
0.416665	0.08617116	-0.02309477	0.11971353	0.00040349	-0.00052482	-0.01610703
0.433332	0.08613064	-0.02316804	0.11934301	0.00204873	-0.00289756	-0.02457230
0.449998	0.08618800	-0.02321767	0.11882631	0.00398537	-0.00561182	-0.03045821
0.466665	0.08629441	-0.02335256	0.11815364	0.00546733	-0.00758538	-0.03115562
0.483331	0.08644720	-0.02348950	0.11752956	0.00594778	-0.00857446	-0.02746243
0.499998	0.08656766	-0.02367613	0.11708796	0.00528774	-0.00847933	-0.02116670
0.516665	0.08661954	-0.02382427	0.11689278	0.00424133	-0.00671073	-0.01406981
0.533331	0.08666213	-0.02395935	0.11677085	0.00366004	-0.00393878	-0.00866562
0.549998	0.08669131	-0.02398210	0.11670159	0.00392282	-0.00123141	-0.00636848
0.566664	0.08676822	-0.02395246	0.11659414	0.00484454	0.00029303	-0.00656607
0.583331	0.08687778	-0.02387131	0.11650090	0.00599633	0.00073385	-0.00771745
0.599998	0.08698034	-0.02386293	0.11635295	0.00670372	0.00001353	-0.00934325
0.616664	0.08711425	-0.02390177	0.11618675	0.00645614	-0.00136898	-0.01055159
0.633331	0.08722696	-0.02394748	0.11598700	0.00534876	-0.00269439	-0.01123172
0.649997	0.08732572	-0.02400231	0.11576018	0.00389429	-0.00346375	-0.01208400
0.666664	0.08737425	-0.02404907	0.11558799	0.00284878	-0.00414477	-0.01334166
0.683331	0.08736654	-0.02412189	0.11539108	0.00245602	-0.00415547	-0.01342865
0.699997	0.08738668	-0.02421455	0.11512911	0.00282035	-0.00338999	-0.01270620
0.716664	0.08744664	-0.02430809	0.11484748	0.00393329	-0.00148614	-0.01159553
0.733330	0.08753552	-0.02431228	0.11468368	0.00488574	0.00124189	-0.00914331
0.749997	0.08765224	-0.02427491	0.11456199	0.00520336	0.00437233	-0.00487095
0.766664	0.08774100	-0.02412197	0.11451942	0.00494683	0.00639411	-0.00118293
0.783330	0.08781096	-0.02399983	0.11451744	0.00440570	0.00671803	0.00017613
0.799997	0.08787467	-0.02382157	0.11463336	0.00375038	0.00583058	0.00031538
0.816663	0.08792383	-0.02377584	0.11464608	0.00333515	0.00492325	0.00003200
0.833330	0.08799537	-0.02372304	0.11459455	0.00291665	0.00350694	-0.00163593
0.849997	0.08802757	-0.02370827	0.11452189	0.00226621	0.00090368	-0.00476172
0.866663	0.08808008	-0.02360785	0.11448508	0.00135072	-0.00215882	-0.00745545
0.883330	0.08808606	-0.02365700	0.11435966	0.00049915	-0.00450129	-0.00831648
0.899996	0.08808403	-0.02380061	0.11413698	-0.00013255	-0.00552888	-0.00663078
0.916663	0.08806120	-0.02404008	0.11390931	-0.00127882	-0.00515105	-0.00173253
0.933330	0.08804810	-0.02410672	0.11389097	-0.00296307	-0.00252696	0.00666375
0.949996	0.08802543	-0.02409031	0.11409761	-0.00501322	0.00123049	0.01648414
0.966663	0.08791389	-0.02397741	0.11454674	-0.00650040	0.00498461	0.02504303
0.983329	0.08775450	-0.02387104	0.11509722	-0.00779922	0.00678301	0.03022515
0.999996	0.08756687	-0.02376656	0.11566402	-0.00857386	0.00721298	0.03215669
1.016663	0.08746629	-0.02359521	0.11622453	-0.00837717	0.00652308	0.03084109
1.033329	0.08732221	-0.02350924	0.11671240	-0.00753126	0.00541248	0.02754248
1.049996	0.08721217	-0.02338591	0.11720566	-0.00713441	0.00433696	0.02322474
1.066662	0.08707541	-0.02338756	0.11752307	-0.00728953	0.00420018	0.01931183
1.083329	0.08698176	-0.02334582	0.11780122	-0.00714283	0.00530946	0.01601501
1.099996	0.08685029	-0.02326969	0.11796502	-0.00706273	0.00643783	0.01333562
1.116662	0.08672789	-0.02310585	0.11820629	-0.00735092	0.00621014	0.01103756
1.133329	0.08661432	-0.02290437	0.11839724	-0.00742997	0.00480934	0.00920277
1.149995	0.08648907	-0.02282806	0.11856580	-0.00644075	0.00309439	0.00809006
1.166662	0.08634946	-0.02289980	0.11861170	-0.00529239	0.00199542	0.00798895
1.183329	0.08626818	-0.02292262	0.11870847	-0.00413688	0.00164752	0.00915818
1.199995	0.08624306	-0.02292301	0.11883863	-0.00265078	0.00184076	0.01055394
1.216662	0.08621893	-0.02273538	0.11912718	-0.00107646	0.00249900	0.01163927
1.233328	0.08620210	-0.02270770	0.11936950	-0.00053462	0.00220031	0.01141333
1.249995	0.08619430	-0.02270468	0.11955711	-0.00093285	0.00056966	0.00944495
1.266662	0.08621953	-0.02272402	0.11966882	-0.00123241	-0.00139438	0.00623456
1.283328	0.08618010	-0.02278641	0.11973616	-0.00088528	-0.00203850	0.00349024
1.299995	0.08612740	-0.02278446	0.11977362	-0.00048541	-0.00237954	0.00191075
1.316661	0.08610220	-0.02286328	0.11977191	-0.00006478	-0.00270450	0.00191391
1.333328	0.08614956	-0.02287945	0.11976648	0.00025340	-0.00481002	0.00163664
1.349995	0.08618382	-0.02294884	0.11981453	0.00026092	-0.00651316	0.00152372
1.366661	0.08620188	-0.02304840	0.11990896	-0.00034932	-0.00572250	0.00253608
1.383328	0.08613911	-0.02331282	0.11988020	-0.00124652	-0.00303163	0.00412756
1.399994	0.08611926	-0.02336089	0.11994508	-0.00148737	0.00023887	0.00455422
1.416661	0.08606843	-0.02328621	0.12002778	-0.00084360	0.00387186	0.00352134
1.433328	0.08607290	-0.02302866	0.12021325	0.00027262	0.00562557	0.00056375
1.449994	0.08608680	-0.02292522	0.12022884	0.00102807	0.00340936	-0.00452498
1.466661	0.08612552	-0.02284139	0.12009521	0.00211281	-0.00076108	-0.01067650
1.483328	0.08617309	-0.02299065	0.11976910	0.00332059	-0.00552480	-0.01798898
1.499994	0.08619250	-0.02314309	0.11941740	0.00436338	-0.00952728	-0.02426336
1.516661	0.08630384	-0.02331583	0.11901911	0.00518078	-0.01320013	-0.02859514
1.533327	0.08640560	-0.02354281	0.11845005	0.00623523	-0.01345843	-0.02953679
1.549994	0.08652905	-0.02379298	0.11788423	0.00651858	-0.01220005	-0.02873805
1.566661	0.08663481	-0.02416046	0.11729795	0.00535755	-0.01142802	-0.02701901
1.583327	0.08674990	-0.02417533	0.11701630	0.00385372	-0.01023408	-0.02367797
1.599994	0.08679899	-0.02432018	0.11666115	0.00270271	-0.00698487	-0.01919635
1.616660	0.08679313	-0.02442911	0.11634570	0.00244935	-0.00372035	-0.01580289
1.633327	0.08679282	-0.02456739	0.11606813	0.00327816	-0.00162837	-0.01404686
1.649993	0.08684498	-0.02454708	0.11589053	0.00545873	0.00123155	-0.01212833
1.666660	0.08697748	-0.02443134	0.11575247	0.00783193	0.00365687	-0.01051594
1.683327	0.08715015	-0.02432386	0.11558159	0.00900604	0.00483284	-0.00929851
1.699993	0.08735611	-0.02423196	0.11539583	0.00861447	0.00396494	-0.00870522
1.716660	0.08750588	-0.02418861	0.11525430	0.00747378	0.00274946	-0.00813115
1.733326	0.08759402	-0.02416875	0.11514013	0.00622230	0.00179016	-0.00716853
1.749993	0.08764321	-0.02416154	0.11505073	0.00531415	0.00110767	-0.00631096
1.766660	0.08772622	-0.02413069	0.11493579	0.00509234	0.00085228	-0.00565658
1.783326	0.08782577	-0.02411896	0.11484502	0.00516048	0.00119426	-0.00510460
1.799993	0.08793826	-0.02410529	0.11474854	0.00508512	0.00178465	-0.00426208
1.816659	0.08801810	-0.02409526	0.11470114	0.00471873	0.00232433	-0.00333996
1.833326	0.08807630	-0.02402920	0.11464497	0.00420024	0.00234955	-0.00277222
1.849993	0.08813375	-0.02396737	0.11463264	0.00375276	0.00183441	-0.00250352
1.866659	0.08820088	-0.02390742	0.11458336	0.00347221	0.00131612	-0.00233796
1.883326	0.08826472	-0.02393802	0.11454044	0.00328076	0.00144898	-0.00227348
1.899992	0.08832122	-0.02395654	0.11448849	0.00343823	0.00215009	-0.00235272
1.916659	0.08835521	-0.02393324	0.11446504	0.00350615	0.00280199	-0.00248523
1.933326	0.08840912	-0.02380796	0.11443010	0.00340672	0.00360466	-0.00259326
1.949992	0.08849705	-0.02370754	0.11439224	0.00307993	0.00409808	-0.00287094
1.966659	0.08854830	-0.02366900	0.11431729	0.00217684	0.00316705	-0.00329533
1.983325	0.08859809	-0.02363554	0.11427592	0.00032552	0.00037122	-0.00259836
1.999992	0.08857564	-0.02360763	0.11419951	-0.00246787	-0.00227082	0.00037406
2.016659	0.08852663	-0.02364879	0.11417744	-0.00595371	-0.00335659	0.00635418
2.033325	0.08840880	-0.02380211	0.11427283	-0.00966255	-0.00231865	0.01464946
2.049992	0.08820707	-0.02391358	0.11457664	-0.01283695	-0.00032546	0.02306780
2.066658	0.08794200	-0.02389795	0.11513372	-0.01464268	0.00139197	0.02868157
2.083325	0.08763648	-0.02370543	0.11578453	-0.01417806	0.00341629	0.03122111
2.099992	0.08736395	-0.02360708	0.11636823	-0.01192966	0.00516818	0.03022273
2.116658	0.08718883	-0.02360696	0.11677770	-0.00926722	0.00488797	0.02559113
2.133325	0.08711023	-0.02354976	0.11717975	-0.00652029	0.00492224	0.02040733
2.149992	0.08706513	-0.02344314	0.11747801	-0.00444842	0.00728098	0.01746196
2.166658	0.08697017	-0.02333831	0.11768891	-0.00360170	0.00937079	0.01614749
2.183325	0.08692582	-0.02310535	0.11791468	-0.00368191	0.00900921	0.01457123
2.199991	0.08685490	-0.02290204	0.11818177	-0.00374788	0.00656418	0.01329714
2.216658	0.08682045	-0.02275128	0.11846755	-0.00358736	0.00411154	0.01304263
2.233325	0.08673915	-0.02279184	0.11862767	-0.00358274	0.00093602	0.01202279
2.249991	0.08667570	-0.02290401	0.11877581	-0.00334622	-0.00193572	0.01000684
2.266658	0.08662032	-0.02286882	0.11898568	-0.00292693	-0.00178184	0.00908874
2.283324	0.08656853	-0.02296896	0.11909468	-0.00224617	0.00102327	0.00902839
2.299991	0.08655453	-0.02293431	0.11924500	-0.00120190	0.00330225	0.00759616
2.316658	0.08652471	-0.02284239	0.11938207	0.00047390	0.00438210	0.00547869
2.333324	0.08652608	-0.02269021	0.11949707	0.00211515	0.00301319	0.00249752
2.349991	0.08658393	-0.02256622	0.11950981	0.00309033	-0.00153160	-0.00093364
2.366657	0.08668287	-0.02260594	0.11946196	0.00317269	-0.00643613	-0.00351062
2.383324	0.08677577	-0.02287081	0.11928473	0.00234985	-0.00958314	-0.00402311
2.399991	0.08679499	-0.02317248	0.11920965	0.00133381	-0.00962230	-0.00321457
