Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11386931	-0.07413004	0.07504952	-0.01133864	-0.00656876	0.05192189
0.016667	0.11364694	-0.07423978	0.07587645	-0.01142044	0.00430094	0.05171745
0.033333	0.11347672	-0.07421852	0.07676794	-0.01150225	0.01517063	0.05151300
0.050000	0.11333405	-0.07394101	0.07768039	-0.01421357	0.02023944	0.04904923
0.066666	0.11311612	-0.07340403	0.07849285	-0.01586693	0.02719547	0.04667014
0.083333	0.11277861	-0.07276838	0.07920954	-0.01604921	0.02949644	0.04268846
0.100000	0.11238942	-0.07221777	0.07988235	-0.01357468	0.02703979	0.03789727
0.116666	0.11213135	-0.07181930	0.08050331	-0.00902083	0.02076630	0.03349608
0.133333	0.11207164	-0.07154956	0.08103926	-0.00436732	0.01344045	0.02986689
0.149999	0.11216801	-0.07138781	0.08145818	-0.00192125	0.00758770	0.02709444
0.166666	0.11222503	-0.07135371	0.08184647	-0.00226022	0.00369465	0.02433567
0.183333	0.11216102	-0.07135928	0.08224347	-0.00325845	0.00110101	0.02076344
0.199999	0.11197262	-0.07136372	0.08265772	-0.00259244	-0.00066158	0.01506845
0.216666	0.11183654	-0.07135323	0.08291674	0.00058685	-0.00196718	0.00638413
0.233332	0.11190001	-0.07137748	0.08298466	0.00460068	-0.00383982	-0.00417603
0.249999	0.11212074	-0.07146356	0.08275633	0.00688753	-0.00673576	-0.01379164
0.266666	0.11238265	-0.07159055	0.08235198	0.00620647	-0.00948746	-0.02054759
0.283332	0.11247514	-0.07179477	0.08187582	0.00385860	-0.01064499	-0.02523552
0.299999	0.11240960	-0.07203980	0.08146920	0.00227087	-0.01043328	-0.02932326
0.316665	0.11231982	-0.07223385	0.08106165	0.00298498	-0.00955124	-0.03382648
0.333332	0.11236157	-0.07234567	0.08049200	0.00532868	-0.00852499	-0.03806912
0.349999	0.11257526	-0.07242842	0.07972382	0.00694110	-0.00793568	-0.04133561
0.366665	0.11281855	-0.07254494	0.07887469	0.00601380	-0.00848464	-0.04209338
0.383332	0.11293610	-0.07272260	0.07815511	0.00265074	-0.00997126	-0.03974562
0.399998	0.11288748	-0.07290184	0.07755247	-0.00119340	-0.01156886	-0.03518648
0.416665	0.11273619	-0.07311537	0.07706555	-0.00302249	-0.01282887	-0.03073187
0.433332	0.11263125	-0.07332496	0.07658195	-0.00165303	-0.01385940	-0.02818503
0.449998	0.11261409	-0.07356917	0.07615135	0.00154827	-0.01445087	-0.02733152
0.466665	0.11271546	-0.07382938	0.07571140	0.00390334	-0.01472669	-0.02671688
0.483331	0.11287833	-0.07409392	0.07525673	0.00416895	-0.01499990	-0.02547084
0.499998	0.11298523	-0.07432364	0.07479753	0.00323755	-0.01516628	-0.02376562
0.516665	0.11298300	-0.07456957	0.07441089	0.00220147	-0.01491914	-0.02154076
0.533331	0.11292532	-0.07482067	0.07409049	0.00142761	-0.01388216	-0.01847059
0.549998	0.11293846	-0.07509392	0.07382663	0.00117235	-0.01202167	-0.01453625
0.566664	0.11302844	-0.07529525	0.07357382	0.00087854	-0.00956070	-0.00996512
0.583331	0.11308442	-0.07541427	0.07342537	-0.00005197	-0.00685072	-0.00421317
0.599998	0.11307777	-0.07546654	0.07338065	-0.00195187	-0.00443695	0.00327905
0.616664	0.11296038	-0.07551084	0.07349274	-0.00472775	-0.00268058	0.01254202
0.633331	0.11286956	-0.07555278	0.07376824	-0.00807274	-0.00103396	0.02270648
0.649997	0.11274862	-0.07559080	0.07422426	-0.01195216	0.00117340	0.03244320
0.666664	0.11255992	-0.07556774	0.07488824	-0.01579816	0.00458261	0.04032371
0.683331	0.11224386	-0.07547019	0.07569007	-0.01899816	0.00913199	0.04567630
0.699997	0.11180398	-0.07528131	0.07654177	-0.02006703	0.01357591	0.04824512
0.716664	0.11141379	-0.07499138	0.07737152	-0.01808155	0.01679733	0.04792572
0.733330	0.11109488	-0.07463306	0.07815757	-0.01359755	0.01798212	0.04559539
0.749997	0.11094767	-0.07429528	0.07891922	-0.00905417	0.01716967	0.04248752
0.766664	0.11090492	-0.07399614	0.07959221	-0.00623933	0.01503529	0.03935248
0.783330	0.11088073	-0.07381103	0.08021503	-0.00494382	0.01251233	0.03522477
0.799997	0.11078767	-0.07363565	0.08077294	-0.00414951	0.01041789	0.03017099
0.816663	0.11064256	-0.07349438	0.08129071	-0.00300289	0.00875465	0.02551599
0.833330	0.11056148	-0.07333990	0.08163563	-0.00189108	0.00691502	0.02195415
0.849997	0.11060511	-0.07320577	0.08191312	-0.00069209	0.00435581	0.01890931
0.866663	0.11068049	-0.07314706	0.08217210	0.00093144	0.00105735	0.01511669
0.883330	0.11067612	-0.07316519	0.08248644	0.00349191	-0.00301690	0.00998050
0.899996	0.11065108	-0.07325881	0.08270999	0.00710013	-0.00699821	0.00278630
0.916663	0.11073281	-0.07341728	0.08269879	0.01184643	-0.00925943	-0.00639743
0.933330	0.11104394	-0.07362607	0.08245990	0.01634288	-0.00933085	-0.01553188
0.949996	0.11145101	-0.07384966	0.08204210	0.01826484	-0.00806320	-0.02165535
0.966663	0.11186984	-0.07395005	0.08155446	0.01662622	-0.00591232	-0.02439937
0.983329	0.11211528	-0.07399111	0.08112682	0.01313822	-0.00321129	-0.02650868
0.999996	0.11222462	-0.07400404	0.08075472	0.01122744	-0.00081502	-0.03023465
1.016663	0.11227790	-0.07401139	0.08035631	0.01169992	-0.00017505	-0.03565404
1.033329	0.11244125	-0.07400961	0.07969104	0.01349049	-0.00107978	-0.04159136
1.049996	0.11280884	-0.07396893	0.07882500	0.01451174	-0.00292239	-0.04660886
1.066662	0.11315847	-0.07404244	0.07790130	0.01308450	-0.00571950	-0.04901332
1.083329	0.11340985	-0.07416062	0.07707474	0.00832077	-0.00948489	-0.04748788
1.099996	0.11344749	-0.07436805	0.07633850	0.00198663	-0.01304334	-0.04292405
1.116662	0.11337017	-0.07462881	0.07564066	-0.00262902	-0.01495907	-0.03715977
1.133329	0.11322889	-0.07492400	0.07504099	-0.00401294	-0.01525937	-0.03158973
1.149995	0.11311089	-0.07522079	0.07456626	-0.00238081	-0.01418093	-0.02629425
1.166662	0.11310145	-0.07543220	0.07421576	0.00053242	-0.01252135	-0.02174982
1.183329	0.11316487	-0.07560352	0.07392414	0.00367974	-0.01091708	-0.01858849
1.199995	0.11329330	-0.07574048	0.07365166	0.00584657	-0.01037024	-0.01646060
1.216662	0.11340106	-0.07590136	0.07337052	0.00687919	-0.01044907	-0.01383895
1.233328	0.11352850	-0.07608726	0.07311442	0.00653012	-0.01035467	-0.00954487
1.249995	0.11362714	-0.07631031	0.07293695	0.00478340	-0.01108055	-0.00295659
1.266662	0.11374881	-0.07646804	0.07294045	0.00293446	-0.01333331	0.00570829
1.283328	0.11376389	-0.07662383	0.07310455	0.00299228	-0.01711144	0.01516419
1.299995	0.11372691	-0.07690396	0.07347805	0.00468070	-0.02094981	0.02347330
1.316661	0.11373614	-0.07734370	0.07397769	0.00613301	-0.02346022	0.02925110
1.333328	0.11395685	-0.07790682	0.07457123	0.00552180	-0.02255363	0.03187911
1.349995	0.11419261	-0.07832466	0.07515132	0.00223917	-0.01792751	0.03128593
1.366661	0.11428989	-0.07858952	0.07568432	-0.00314077	-0.01164113	0.02877113
1.383328	0.11405258	-0.07860339	0.07612736	-0.00830236	-0.00654566	0.02605009
1.399994	0.11373232	-0.07858943	0.07649112	-0.01056526	-0.00445729	0.02417444
1.416661	0.11344473	-0.07862993	0.07684451	-0.00833079	-0.00469634	0.02273178
1.433328	0.11339629	-0.07876609	0.07723793	-0.00337297	-0.00550090	0.02191139
1.449994	0.11343701	-0.07895011	0.07764015	0.00064153	-0.00368593	0.02186609
1.466661	0.11358534	-0.07903714	0.07797698	0.00204136	0.00054930	0.02157708
1.483327	0.11361845	-0.07901178	0.07831101	0.00159395	0.00554370	0.02053258
1.499994	0.11360312	-0.07876129	0.07866402	0.00190151	0.00970807	0.01949169
1.516661	0.11353364	-0.07852226	0.07899828	0.00344531	0.01239264	0.01929134
1.533327	0.11357922	-0.07828949	0.07930222	0.00575198	0.01334915	0.01943350
1.549994	0.11378988	-0.07811855	0.07958195	0.00767666	0.01329494	0.01883928
1.566660	0.11400687	-0.07790907	0.07992834	0.00920787	0.01366386	0.01687008
1.583327	0.11416626	-0.07766511	0.08026677	0.00988812	0.01400487	0.01379868
1.599994	0.11423831	-0.07739748	0.08050060	0.01023278	0.01333864	0.00983600
1.616660	0.11438870	-0.07714024	0.08058143	0.01028572	0.01093414	0.00573373
1.633327	0.11461759	-0.07696039	0.08057982	0.00971589	0.00767398	0.00263338
1.649993	0.11487478	-0.07688652	0.08056697	0.00762306	0.00442253	0.00058320
1.666660	0.11499354	-0.07688793	0.08060727	0.00386985	0.00305874	-0.00174631
1.683327	0.11499102	-0.07689226	0.08062283	-0.00063714	0.00444697	-0.00575940
1.699993	0.11486448	-0.07685991	0.08054846	-0.00493413	0.00774677	-0.01128399
1.716660	0.11476651	-0.07666116	0.08028096	-0.00825662	0.01162802	-0.01708339
1.733326	0.11462488	-0.07639398	0.07986812	-0.00993613	0.01499547	-0.02270387
1.749993	0.11444768	-0.07607278	0.07941540	-0.00935171	0.01654721	-0.02821420
1.766660	0.11420599	-0.07578412	0.07897050	-0.00640194	0.01535332	-0.03317608
1.783326	0.11405437	-0.07551736	0.07842138	-0.00101004	0.01173117	-0.03735110
1.799993	0.11408252	-0.07531727	0.07772066	0.00539771	0.00651321	-0.03997662
1.816659	0.11430342	-0.07524402	0.07692282	0.00935238	0.00050299	-0.04008160
1.833326	0.11462171	-0.07531158	0.07617944	0.00852033	-0.00533859	-0.03660656
1.849993	0.11486814	-0.07548116	0.07561313	0.00401074	-0.00967626	-0.03057831
1.866659	0.11483140	-0.07573105	0.07519016	-0.00158471	-0.01250965	-0.02383629
1.883326	0.11463024	-0.07595640	0.07491821	-0.00582589	-0.01446916	-0.01763556
1.899992	0.11439396	-0.07617827	0.07465092	-0.00676411	-0.01527174	-0.01198773
1.916659	0.11430177	-0.07643530	0.07446825	-0.00471396	-0.01504800	-0.00696148
1.933326	0.11429934	-0.07673815	0.07437024	-0.00284155	-0.01455358	-0.00249271
1.949992	0.11434524	-0.07699276	0.07441896	-0.00329056	-0.01363655	0.00291174
1.966659	0.11432957	-0.07719194	0.07451854	-0.00507208	-0.01151142	0.01023092
1.983325	0.11416869	-0.07735410	0.07465925	-0.00554992	-0.00766195	0.01912862
1.999992	0.11394791	-0.07749945	0.07499275	-0.00421138	-0.00193355	0.02743318
2.016659	0.11383692	-0.07754599	0.07558799	-0.00151247	0.00606569	0.03390914
2.033325	0.11392856	-0.07740954	0.07637544	0.00154161	0.01591730	0.03760591
2.049992	0.11407939	-0.07703818	0.07708519	0.00325752	0.02486686	0.03838335
2.066658	0.11417441	-0.07645375	0.07767063	0.00297529	0.03093210	0.03759872
2.083325	0.11416616	-0.07576960	0.07817370	0.00191212	0.03358407	0.03686268
2.099992	0.11411346	-0.07520556	0.07876183	0.00218530	0.03346654	0.03649529
2.116658	0.11412912	-0.07468462	0.07946435	0.00343730	0.03103567	0.03547128
2.133325	0.11422580	-0.07424255	0.08014509	0.00418136	0.02727758	0.03317954
2.149992	0.11441455	-0.07373427	0.08067595	0.00330040	0.02260180	0.02913982
2.166658	0.11448607	-0.07335548	0.08104615	0.00087832	0.01669838	0.02410634
2.183325	0.11444993	-0.07310152	0.08137538	-0.00262358	0.00962906	0.01938712
2.199991	0.11430217	-0.07305428	0.08168193	-0.00597800	0.00264452	0.01561164
2.216658	0.11417207	-0.07311773	0.08195120	-0.00787448	-0.00261595	0.01194724
2.233325	0.11403497	-0.07325060	0.08212195	-0.00862959	-0.00583152	0.00781346
2.249991	0.11390385	-0.07335530	0.08220594	-0.00904199	-0.00722143	0.00401890
2.266658	0.11374933	-0.07348372	0.08219835	-0.00937019	-0.00773761	0.00065264
2.283324	0.11357623	-0.07359596	0.08216827	-0.00848721	-0.00774722	-0.00312505
2.299991	0.11339819	-0.07375355	0.08214298	-0.00594425	-0.00743616	-0.00834349
2.316658	0.11327893	-0.07388945	0.08202689	-0.00139129	-0.00693715	-0.01490908
2.333324	0.11329037	-0.07399858	0.08174417	0.00443464	-0.00664539	-0.02240037
2.349991	0.11342338	-0.07407536	0.08123413	0.00960875	-0.00669683	-0.02960560
2.366657	0.11370067	-0.07416555	0.08062504	0.01156290	-0.00750351	-0.03531541
2.383324	0.11399273	-0.07430190	0.07996129	0.00940278	-0.00937436	-0.03794387
