Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10367794	-0.05429801	0.09766879	0.01466757	-0.00896925	-0.03536782
0.016667	0.10394528	-0.05438956	0.09710362	0.00837322	-0.00802677	-0.03162583
0.033333	0.10408960	-0.05457312	0.09653772	0.00207887	-0.00708428	-0.02788384
0.050000	0.10409520	-0.05476353	0.09604864	0.00065044	-0.00508072	-0.02526610
0.066666	0.10397725	-0.05480362	0.09571422	-0.00184414	-0.00502532	-0.02171656
0.083333	0.10386156	-0.05473456	0.09544431	-0.00182957	-0.00411402	-0.01759998
0.100000	0.10386736	-0.05483676	0.09513569	-0.00079375	-0.00369887	-0.01353754
0.116666	0.10391558	-0.05495187	0.09490079	0.00023276	-0.00488592	-0.00884469
0.133333	0.10399261	-0.05508323	0.09475564	0.00050016	-0.00482338	-0.00153069
0.149999	0.10394878	-0.05513148	0.09477246	0.00031982	-0.00170723	0.00777516
0.166666	0.10391164	-0.05518980	0.09497537	-0.00010073	0.00293370	0.01668296
0.183333	0.10388813	-0.05511282	0.09539851	-0.00096158	0.00710829	0.02507164
0.199999	0.10394020	-0.05491970	0.09593040	-0.00185189	0.01229677	0.03396692
0.216666	0.10394060	-0.05462801	0.09649634	-0.00328512	0.01885461	0.04278051
0.233332	0.10383679	-0.05437758	0.09721894	-0.00571510	0.02422985	0.04997773
0.249999	0.10370046	-0.05386654	0.09818459	-0.00824797	0.02637723	0.05598765
0.266666	0.10352954	-0.05332454	0.09928063	-0.00817485	0.02656079	0.06056676
0.283332	0.10334910	-0.05274756	0.10034280	-0.00573790	0.02577609	0.06207979
0.299999	0.10321934	-0.05245828	0.10137115	-0.00226290	0.02414875	0.06064521
0.316665	0.10325655	-0.05214977	0.10235994	0.00195064	0.02342001	0.05874765
0.333332	0.10335612	-0.05181662	0.10331669	0.00679958	0.02494876	0.05725913
0.349999	0.10351688	-0.05132615	0.10423784	0.00865724	0.02890885	0.05531098
0.366665	0.10369320	-0.05078569	0.10518178	0.00591985	0.03211709	0.05290310
0.383332	0.10393340	-0.05020642	0.10606492	0.00222870	0.03264265	0.05033722
0.399998	0.10387683	-0.04960085	0.10687263	0.00073053	0.02982097	0.04640687
0.416665	0.10369509	-0.04908159	0.10761162	0.00099790	0.02462820	0.03987664
0.433332	0.10359757	-0.04870732	0.10829467	0.00254990	0.01773772	0.03151031
0.449998	0.10378184	-0.04850015	0.10879445	0.00601357	0.01060442	0.02253217
0.466665	0.10404909	-0.04843161	0.10904961	0.00891939	0.00493862	0.01361588
0.483331	0.10422854	-0.04842538	0.10912099	0.00831782	0.00137579	0.00541052
0.499998	0.10432874	-0.04845295	0.10912023	0.00452047	-0.00018569	-0.00086129
0.516665	0.10436592	-0.04845778	0.10907653	0.00157554	-0.00019983	-0.00503553
0.533331	0.10432482	-0.04846693	0.10896371	0.00191410	-0.00030510	-0.00859059
0.549998	0.10427730	-0.04845679	0.10878881	0.00365080	-0.00110815	-0.01301499
0.566664	0.10433815	-0.04843304	0.10855941	0.00470242	-0.00369448	-0.01885891
0.583331	0.10457517	-0.04851621	0.10822945	0.00501109	-0.00773204	-0.02621382
0.599998	0.10471576	-0.04862388	0.10776130	0.00428935	-0.01314169	-0.03428145
0.616664	0.10473832	-0.04895658	0.10709786	0.00255902	-0.01857644	-0.04069337
0.633331	0.10467198	-0.04928916	0.10627129	0.00089672	-0.02180864	-0.04416528
0.649997	0.10463405	-0.04978890	0.10540507	0.00023533	-0.02259193	-0.04603795
0.666664	0.10470652	-0.05020248	0.10467349	-0.00100371	-0.02197356	-0.04774798
0.683331	0.10475313	-0.05050990	0.10399999	-0.00364938	-0.02128077	-0.04891274
0.699997	0.10472670	-0.05079820	0.10319652	-0.00621698	-0.02083466	-0.05024349
0.716664	0.10448549	-0.05110478	0.10222672	-0.00752862	-0.02243217	-0.05298613
0.733330	0.10421360	-0.05153023	0.10129234	-0.00841517	-0.02450700	-0.05472846
0.749997	0.10411905	-0.05197902	0.10038598	-0.00852506	-0.02566998	-0.05235365
0.766664	0.10410115	-0.05248501	0.09948634	-0.00669132	-0.02559955	-0.04742973
0.783330	0.10399961	-0.05288643	0.09868663	-0.00499269	-0.02515976	-0.04273797
0.799997	0.10383490	-0.05326472	0.09807714	-0.00502514	-0.02387718	-0.03735706
0.816663	0.10374703	-0.05362243	0.09754287	-0.00490630	-0.02126972	-0.03039443
0.833330	0.10371744	-0.05405646	0.09703222	-0.00352753	-0.01767961	-0.02289934
0.849997	0.10366720	-0.05435292	0.09665138	-0.00231327	-0.01280965	-0.01555501
0.866663	0.10364191	-0.05453440	0.09647172	-0.00223831	-0.00641991	-0.00750776
0.883330	0.10360119	-0.05452877	0.09647597	-0.00281145	-0.00058113	0.00014510
0.899996	0.10356881	-0.05445917	0.09656458	-0.00361276	0.00282712	0.00553185
0.916663	0.10350475	-0.05430424	0.09674583	-0.00502048	0.00446612	0.00913955
0.933330	0.10340299	-0.05426053	0.09690739	-0.00549989	0.00480497	0.01237934
0.949996	0.10329319	-0.05420438	0.09709217	-0.00451220	0.00416875	0.01560121
0.966663	0.10313594	-0.05415110	0.09736542	-0.00196338	0.00246867	0.01914084
0.983329	0.10315542	-0.05406355	0.09773809	0.00012416	0.00211288	0.02509772
0.999996	0.10320257	-0.05402605	0.09818678	0.00173167	0.00550660	0.03415352
1.016663	0.10337134	-0.05409011	0.09871817	0.00285038	0.01257814	0.04438072
1.033329	0.10333293	-0.05392845	0.09954027	0.00319024	0.02024759	0.05314792
1.049996	0.10337055	-0.05341802	0.10063913	0.00285090	0.02753056	0.05971821
1.066662	0.10337605	-0.05267758	0.10182668	0.00312359	0.03395966	0.06295468
1.083329	0.10349884	-0.05204651	0.10289414	0.00457751	0.03683994	0.06052101
1.099996	0.10356413	-0.05151207	0.10386852	0.00515873	0.03390365	0.05349438
1.116662	0.10368484	-0.05094185	0.10473794	0.00478866	0.02882552	0.04650403
1.133329	0.10376401	-0.05040463	0.10541380	0.00526196	0.02640619	0.04252417
1.149995	0.10382318	-0.05009564	0.10596243	0.00843424	0.02632465	0.03993367
1.166662	0.10387248	-0.04976915	0.10657568	0.01195398	0.02498015	0.03690705
1.183329	0.10412788	-0.04933572	0.10731104	0.01407260	0.02235759	0.03386667
1.199995	0.10453746	-0.04875402	0.10794657	0.01471253	0.02041316	0.03143267
1.216662	0.10487092	-0.04845726	0.10835694	0.01405617	0.01874348	0.02869279
1.233328	0.10502227	-0.04830575	0.10867556	0.01199336	0.01562196	0.02524200
1.249995	0.10508926	-0.04815373	0.10909458	0.00984565	0.01166332	0.02214411
1.266662	0.10521948	-0.04785901	0.10955944	0.00845108	0.00991065	0.01965668
1.283328	0.10544059	-0.04764247	0.10991209	0.00716022	0.00956198	0.01651972
1.299995	0.10562409	-0.04757677	0.11009373	0.00495853	0.00828210	0.01201944
1.316661	0.10567918	-0.04750142	0.11019899	0.00211705	0.00609348	0.00756297
1.333328	0.10560547	-0.04738218	0.11029375	0.00068277	0.00456512	0.00348819
1.349995	0.10551804	-0.04727020	0.11036145	0.00125498	0.00240655	-0.00086002
1.366661	0.10552875	-0.04720632	0.11037759	0.00230276	-0.00079623	-0.00541600
1.383328	0.10569787	-0.04726708	0.11020403	0.00360945	-0.00413509	-0.01010858
1.399994	0.10583140	-0.04743446	0.10993954	0.00504149	-0.00759571	-0.01571427
1.416661	0.10584446	-0.04758821	0.10964440	0.00502916	-0.01136417	-0.02167837
1.433328	0.10587981	-0.04775712	0.10930561	0.00345168	-0.01410224	-0.02585451
1.449994	0.10597259	-0.04798894	0.10880933	0.00249178	-0.01502133	-0.02885800
1.466661	0.10605659	-0.04835214	0.10819894	0.00227445	-0.01545160	-0.03347809
1.483327	0.10605794	-0.04865726	0.10766003	0.00071388	-0.01768509	-0.04112040
1.499994	0.10604602	-0.04885852	0.10707485	-0.00262798	-0.02125736	-0.04954049
1.516661	0.10602584	-0.04910259	0.10622520	-0.00599912	-0.02510461	-0.05621482
1.533327	0.10590431	-0.04962498	0.10501680	-0.00790115	-0.02841380	-0.06016919
1.549994	0.10568544	-0.05026731	0.10377786	-0.00873383	-0.03096222	-0.06064640
1.566660	0.10546389	-0.05091298	0.10278584	-0.00744454	-0.03147358	-0.05708363
1.583327	0.10535657	-0.05131422	0.10201562	-0.00442656	-0.02935166	-0.05074253
1.599994	0.10531329	-0.05175362	0.10128126	-0.00155669	-0.02602513	-0.04542164
1.616660	0.10541811	-0.05215422	0.10051510	-0.00129570	-0.02397722	-0.04314645
1.633327	0.10542806	-0.05259995	0.09980114	-0.00377817	-0.02310921	-0.04187727
1.649993	0.10539804	-0.05294367	0.09912304	-0.00767364	-0.02071192	-0.03871442
1.666660	0.10513672	-0.05330346	0.09846266	-0.01108450	-0.01706154	-0.03452523
1.683327	0.10486653	-0.05358343	0.09789408	-0.01311807	-0.01390740	-0.03126239
1.699993	0.10459591	-0.05374783	0.09747369	-0.01341404	-0.01276027	-0.02926481
1.716660	0.10443866	-0.05386263	0.09706831	-0.01181842	-0.01267656	-0.02759162
1.733326	0.10424776	-0.05404620	0.09661563	-0.00970796	-0.01356151	-0.02508561
1.749993	0.10409881	-0.05435869	0.09608479	-0.00730398	-0.01440924	-0.02100294
1.766660	0.10395258	-0.05466476	0.09569495	-0.00455195	-0.01400242	-0.01493642
1.783326	0.10390148	-0.05492478	0.09553382	-0.00094664	-0.01138971	-0.00757615
1.799993	0.10392599	-0.05505384	0.09555879	0.00111375	-0.00699627	0.00051085
1.816659	0.10401616	-0.05513272	0.09567183	0.00105888	-0.00188996	0.00917505
1.833326	0.10413543	-0.05512353	0.09578776	-0.00070669	0.00362262	0.01863640
1.849993	0.10404757	-0.05504353	0.09609457	-0.00245684	0.01003217	0.02902978
1.866659	0.10394058	-0.05484726	0.09668493	-0.00266408	0.01629916	0.03957709
1.883326	0.10376903	-0.05450777	0.09753621	-0.00065387	0.02113818	0.04904379
1.899992	0.10380254	-0.05401139	0.09853534	0.00211925	0.02509716	0.05689104
1.916659	0.10395873	-0.05356139	0.09949331	0.00431763	0.02942946	0.06422538
1.933326	0.10413656	-0.05310425	0.10052370	0.00625464	0.03451627	0.07129634
1.949992	0.10419419	-0.05259649	0.10172070	0.00692728	0.03979634	0.07759025
1.966659	0.10422476	-0.05183657	0.10319404	0.00755522	0.04427922	0.08188113
1.983325	0.10436150	-0.05092640	0.10473597	0.00920802	0.04739264	0.08361977
1.999992	0.10455366	-0.05003508	0.10617069	0.01388198	0.04720301	0.08216339
2.016659	0.10483063	-0.04929272	0.10742220	0.01909524	0.04323217	0.07679400
2.033325	0.10510293	-0.04859566	0.10867024	0.02188866	0.03669595	0.06762297
2.049992	0.10564175	-0.04806876	0.10983308	0.02089442	0.02854075	0.05588964
2.066658	0.10606591	-0.04756052	0.11079460	0.01646827	0.01919639	0.04276662
2.083325	0.10639966	-0.04733207	0.11131128	0.01055837	0.00839801	0.02846454
2.099992	0.10637804	-0.04727398	0.11155502	0.00453467	-0.00256418	0.01429742
2.116658	0.10625799	-0.04744981	0.11163626	0.00041306	-0.01158937	0.00250281
2.133325	0.10624482	-0.04781590	0.11161814	-0.00085812	-0.01619413	-0.00529269
2.149991	0.10626755	-0.04818636	0.11145518	0.00126396	-0.01648509	-0.01051002
2.166658	0.10634277	-0.04852472	0.11116768	0.00425121	-0.01382911	-0.01476704
2.183325	0.10637522	-0.04866688	0.11088639	0.00626280	-0.01137230	-0.01900949
2.199991	0.10649697	-0.04872866	0.11058272	0.00636010	-0.01027404	-0.02258448
2.216658	0.10669125	-0.04884056	0.11021655	0.00512121	-0.01028831	-0.02551130
2.233324	0.10681731	-0.04908901	0.10970498	0.00249271	-0.01124519	-0.02888356
2.249991	0.10681450	-0.04936469	0.10916813	-0.00140548	-0.01262463	-0.03301697
2.266658	0.10671931	-0.04956653	0.10862428	-0.00555048	-0.01389775	-0.03746070
2.283324	0.10653660	-0.04971521	0.10801250	-0.00826172	-0.01550180	-0.04249620
2.299991	0.10641272	-0.04995891	0.10727319	-0.00892665	-0.01872189	-0.04846957
2.316657	0.10620667	-0.05029894	0.10638885	-0.00768784	-0.02365448	-0.05374300
2.333324	0.10610124	-0.05077833	0.10538272	-0.00617257	-0.02783736	-0.05616229
2.349991	0.10599226	-0.05131148	0.10435303	-0.00550242	-0.02941402	-0.05475804
2.366657	0.10599169	-0.05189351	0.10340118	-0.00549117	-0.02804615	-0.05027217
2.383324	0.10591003	-0.05235366	0.10262333	-0.00644429	-0.02390990	-0.04430640
