Column: 3
Axis: Z
Fallback Frames: 0

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	72	143	210	285	355	424	494	566	636
Troughs	98	168	242	309	379	451	520	589	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	8.919595	2.182432	9.802786
Point2	8.836023	2.105822	9.696005
Point3	8.96111	2.27661	9.7533
Point4	8.799542	2.348691	9.91065
Point5	8.831914	2.257015	9.997892
Point6	8.93914	2.405461	10.06147
Point7	8.967413	2.425719	10.050192
Point8	8.879759	2.184724	10.081188
Point9	8.718017	2.287382	10.137887

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	9.173239	1.368548	8.405723
Point2	8.956683	1.486886	8.433443
Point3	8.971227	1.692419	8.558317
Point4	8.893965	1.687739	8.646186
Point5	8.991567	1.6219	8.466104
Point6	8.914009	1.681753	8.531328
Point7	8.905846	1.766297	8.650014
Point8	8.987553	1.824084	8.821063
