Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.07743300	-0.03176064	0.12278309	0.00566969	0.01567748	-0.00285094
0.016667	0.07752843	-0.03147759	0.12273540	0.00362189	0.00888038	0.00271284
0.033333	0.07760264	-0.03130868	0.12276502	0.00157409	0.00208328	0.00827662
0.050000	0.07759335	-0.03135543	0.12291213	0.00101068	0.00093758	0.01282801
0.066666	0.07761121	-0.03142079	0.12317193	-0.00040073	-0.00219812	0.02050475
0.083333	0.07756285	-0.03155293	0.12358746	-0.00112784	-0.00190801	0.02755374
0.100000	0.07755472	-0.03154671	0.12413107	-0.00171126	0.00007125	0.03299581
0.116666	0.07752270	-0.03153138	0.12477590	-0.00285485	0.00134975	0.03566503
0.133333	0.07748844	-0.03140778	0.12544930	-0.00410547	0.00171154	0.03463338
0.149999	0.07741912	-0.03136881	0.12605846	-0.00548868	0.00101576	0.03008825
0.166666	0.07727517	-0.03140381	0.12654644	-0.00650386	0.00013966	0.02238506
0.183333	0.07715598	-0.03143651	0.12684789	-0.00719651	-0.00098370	0.01189564
0.199999	0.07701524	-0.03147966	0.12698649	-0.00719017	-0.00092890	-0.00045546
0.216666	0.07692187	-0.03143920	0.12689428	-0.00686462	-0.00078477	-0.01324778
0.233332	0.07680342	-0.03147670	0.12654611	-0.00623195	-0.00113760	-0.02573977
0.249999	0.07670274	-0.03144696	0.12596843	-0.00439869	-0.00136460	-0.03751386
0.266666	0.07659573	-0.03153348	0.12522574	-0.00146937	-0.00073709	-0.04619613
0.283332	0.07656679	-0.03156791	0.12434552	0.00212655	0.00162345	-0.04914628
0.299999	0.07666562	-0.03155488	0.12336990	0.00484841	0.00461862	-0.04517458
0.316665	0.07682959	-0.03144245	0.12252444	0.00617209	0.00778020	-0.03498926
0.333332	0.07701004	-0.03119170	0.12198349	0.00592435	0.01041056	-0.01998202
0.349999	0.07705956	-0.03101468	0.12185007	0.00449644	0.01282724	-0.00300669
0.366665	0.07709018	-0.03080218	0.12201753	0.00216042	0.01303762	0.01198848
0.383332	0.07709698	-0.03059876	0.12241844	-0.00023719	0.00989083	0.02259658
0.399998	0.07712439	-0.03031904	0.12292586	-0.00182957	0.00418312	0.02884955
0.416665	0.07707345	-0.03022788	0.12346816	-0.00274466	-0.00249867	0.03205781
0.433332	0.07697538	-0.03039765	0.12401589	-0.00336104	-0.00915334	0.03266888
0.449998	0.07688703	-0.03075048	0.12457304	-0.00384604	-0.01440385	0.03110447
0.466665	0.07685185	-0.03106459	0.12513334	-0.00369729	-0.01553687	0.02767053
0.483331	0.07681511	-0.03133631	0.12559485	-0.00324709	-0.01281700	0.02264222
0.499998	0.07675661	-0.03150808	0.12593105	-0.00304804	-0.00916333	0.01593358
0.516665	0.07668352	-0.03161031	0.12611927	-0.00314297	-0.00691245	0.00765982
0.533331	0.07663263	-0.03164645	0.12619764	-0.00320071	-0.00657464	-0.00115782
0.549998	0.07659186	-0.03172778	0.12612413	-0.00235056	-0.00779420	-0.00960272
0.566664	0.07655404	-0.03187422	0.12586561	-0.00061803	-0.00991011	-0.01679844
0.583331	0.07650635	-0.03210747	0.12547745	0.00152045	-0.01202594	-0.02224056
0.599998	0.07656462	-0.03233371	0.12500587	0.00370653	-0.01300122	-0.02514626
0.616664	0.07666005	-0.03257377	0.12456055	0.00576055	-0.01165397	-0.02519733
0.633331	0.07681967	-0.03277345	0.12412299	0.00728863	-0.00809330	-0.02290362
0.649997	0.07693931	-0.03293598	0.12375161	0.00710211	-0.00348014	-0.01958363
0.666664	0.07706419	-0.03293102	0.12345411	0.00504283	0.00069950	-0.01572705
0.683331	0.07717789	-0.03283118	0.12324321	0.00234974	0.00369126	-0.01136267
0.699997	0.07718404	-0.03266579	0.12307596	0.00086926	0.00510693	-0.00704910
0.716664	0.07712054	-0.03259621	0.12299902	0.00052769	0.00438467	-0.00301347
0.733330	0.07705719	-0.03254150	0.12298166	0.00123505	0.00241949	0.00106600
0.749997	0.07712183	-0.03252821	0.12304372	0.00267283	0.00104787	0.00589481
0.766664	0.07723621	-0.03253416	0.12315377	0.00416608	0.00127411	0.01114276
0.783330	0.07735024	-0.03254623	0.12336041	0.00455292	0.00257782	0.01641202
0.799997	0.07739975	-0.03250258	0.12370802	0.00334458	0.00440039	0.02143533
0.816663	0.07744434	-0.03239398	0.12413032	0.00139505	0.00561018	0.02494975
0.833330	0.07745419	-0.03223378	0.12462012	-0.00056856	0.00507288	0.02576406
0.849997	0.07744060	-0.03211197	0.12510842	-0.00239761	0.00268285	0.02403001
0.866663	0.07737570	-0.03207769	0.12549411	-0.00444455	-0.00038240	0.02069895
0.883330	0.07728134	-0.03217188	0.12580065	-0.00688537	-0.00246440	0.01613288
0.899996	0.07715762	-0.03229434	0.12599660	-0.00982370	-0.00286279	0.01080830
0.916663	0.07699015	-0.03237288	0.12616940	-0.01183302	-0.00055101	0.00479588
0.933330	0.07674854	-0.03233655	0.12622535	-0.01179879	0.00476053	-0.00220836
0.949996	0.07645527	-0.03225870	0.12615781	-0.00978418	0.01081465	-0.01101148
0.966663	0.07628158	-0.03200912	0.12590745	-0.00712480	0.01422927	-0.02090045
0.983329	0.07624123	-0.03164668	0.12547755	-0.00423005	0.01505986	-0.02967317
0.999996	0.07629635	-0.03127946	0.12482886	-0.00175127	0.01409101	-0.03525845
1.016663	0.07626119	-0.03112615	0.12411337	0.00024457	0.01209164	-0.03638140
1.033329	0.07622816	-0.03100878	0.12340951	0.00176147	0.00949595	-0.03277784
1.049996	0.07620408	-0.03094004	0.12289882	0.00331455	0.00753527	-0.02511042
1.066662	0.07634781	-0.03071495	0.12254946	0.00493666	0.00616483	-0.01536089
1.083329	0.07648255	-0.03061534	0.12240151	0.00584091	0.00478509	-0.00592115
1.099996	0.07662663	-0.03052021	0.12241191	0.00602766	0.00356916	0.00180770
1.116662	0.07666826	-0.03058523	0.12254618	0.00598344	0.00223653	0.00787660
1.133329	0.07671989	-0.03056252	0.12273350	0.00712167	0.00139432	0.01251546
1.149995	0.07683290	-0.03049850	0.12297142	0.00892531	0.00002481	0.01612230
1.166662	0.07702094	-0.03045017	0.12325331	0.01058415	-0.00124562	0.01900207
1.183329	0.07729155	-0.03046294	0.12361694	0.01060006	-0.00301437	0.02119270
1.199995	0.07748471	-0.03063887	0.12400672	0.00853494	-0.00485678	0.02219220
1.216662	0.07762577	-0.03072699	0.12441866	0.00491599	-0.00602519	0.02114774
1.233328	0.07764005	-0.03083704	0.12478404	0.00089776	-0.00593657	0.01778833
1.249995	0.07759573	-0.03090336	0.12508468	-0.00243497	-0.00524342	0.01232301
1.266662	0.07752457	-0.03098378	0.12524770	-0.00517434	-0.00552401	0.00458846
1.283328	0.07741642	-0.03109333	0.12528136	-0.00694516	-0.00577087	-0.00506187
1.299995	0.07730602	-0.03116435	0.12513712	-0.00700778	-0.00405094	-0.01517067
1.316661	0.07712581	-0.03131557	0.12478148	-0.00418419	0.00069239	-0.02381949
1.333328	0.07700078	-0.03133621	0.12423261	0.00087679	0.00578686	-0.03006839
1.349995	0.07702497	-0.03115525	0.12360860	0.00658235	0.00956562	-0.03327581
1.366661	0.07727646	-0.03079410	0.12301573	0.01097501	0.01215121	-0.03272532
1.383328	0.07760826	-0.03052945	0.12247546	0.01198122	0.01258890	-0.02856020
1.399994	0.07788454	-0.03039187	0.12199816	0.00961784	0.01085759	-0.02187052
1.416661	0.07798515	-0.03029074	0.12165866	0.00511317	0.00839182	-0.01324629
1.433328	0.07794946	-0.03015701	0.12149407	0.00050504	0.00747067	-0.00302443
1.449994	0.07789870	-0.03000053	0.12153965	-0.00274030	0.00805908	0.00780489
1.466661	0.07783325	-0.02988976	0.12178578	-0.00404181	0.00912296	0.01777935
1.483327	0.07777759	-0.02974903	0.12219881	-0.00410029	0.00977131	0.02563129
1.499994	0.07768424	-0.02957715	0.12273572	-0.00395255	0.00937381	0.03042226
1.516661	0.07760984	-0.02936072	0.12332278	-0.00381892	0.00710669	0.03181873
1.533327	0.07756378	-0.02919715	0.12390038	-0.00290831	0.00382314	0.02999787
1.549994	0.07751235	-0.02917695	0.12440351	-0.00172500	0.00021997	0.02551886
1.566660	0.07747918	-0.02930574	0.12479678	-0.00145611	-0.00375284	0.01963865
1.583327	0.07750303	-0.02939444	0.12506613	-0.00247126	-0.00760010	0.01340406
1.599994	0.07748156	-0.02951467	0.12520565	-0.00304167	-0.00870540	0.00681552
1.616660	0.07742094	-0.02965915	0.12527652	-0.00255675	-0.00826623	-0.00119910
1.633327	0.07725231	-0.02991860	0.12524781	-0.00102275	-0.00891926	-0.01060408
1.649993	0.07725873	-0.02997733	0.12505282	0.00086245	-0.01014782	-0.02004859
1.666660	0.07732379	-0.03011978	0.12457686	0.00264754	-0.00973157	-0.02793096
1.683327	0.07750059	-0.03028539	0.12392809	0.00376599	-0.00739194	-0.03257783
1.699993	0.07754253	-0.03054073	0.12325636	0.00350678	-0.00461338	-0.03240550
1.716660	0.07755350	-0.03061162	0.12270170	0.00261732	-0.00043164	-0.02709448
1.733326	0.07755195	-0.03049732	0.12229760	0.00146133	0.00361610	-0.01851708
1.749993	0.07759702	-0.03033734	0.12206525	0.00113715	0.00669151	-0.00927262
1.766659	0.07765791	-0.03014201	0.12201162	0.00093531	0.00756753	-0.00082877
1.783326	0.07764600	-0.03010843	0.12210917	0.00074968	0.00790552	0.00630929
1.799993	0.07764433	-0.02998025	0.12228511	0.00033036	0.00785360	0.01162563
1.816659	0.07761741	-0.02988642	0.12254053	0.00008665	0.00788990	0.01521117
1.833326	0.07765222	-0.02964117	0.12282569	0.00014015	0.00785247	0.01774057
1.849993	0.07766179	-0.02952935	0.12314279	0.00021342	0.00660856	0.01935773
1.866659	0.07766348	-0.02941113	0.12348204	0.00050776	0.00476215	0.01969107
1.883326	0.07765219	-0.02939655	0.12384176	0.00116904	0.00308388	0.01865342
1.899992	0.07765097	-0.02938454	0.12417532	0.00161995	0.00133901	0.01622534
1.916659	0.07771125	-0.02934796	0.12443511	0.00221875	-0.00036448	0.01262476
1.933326	0.07779444	-0.02930956	0.12460456	0.00262146	-0.00174680	0.00817988
1.949992	0.07780283	-0.02940588	0.12469260	0.00253123	-0.00245811	0.00381218
1.966659	0.07787707	-0.02945344	0.12471366	0.00144534	-0.00252224	-0.00037123
1.983325	0.07784908	-0.02960134	0.12466609	0.00018925	-0.00168618	-0.00448389
1.999992	0.07791180	-0.02952231	0.12458374	-0.00079695	-0.00026152	-0.00858117
2.016659	0.07782909	-0.02953259	0.12439606	-0.00154984	0.00130311	-0.01291433
2.033325	0.07780558	-0.02944842	0.12415367	-0.00172262	0.00216492	-0.01737911
2.049992	0.07774914	-0.02945189	0.12381741	-0.00087086	0.00187917	-0.02107491
2.066658	0.07773491	-0.02940371	0.12340949	0.00070840	0.00071241	-0.02257122
2.083325	0.07776415	-0.02938860	0.12296700	0.00111137	-0.00206613	-0.02134637
2.099992	0.07784694	-0.02937971	0.12255817	0.00123084	-0.00466240	-0.01750644
2.116658	0.07788207	-0.02951904	0.12230251	0.00140764	-0.00597432	-0.01142633
2.133325	0.07784890	-0.02972208	0.12218197	0.00131365	-0.00499131	-0.00383874
2.149991	0.07783965	-0.02987619	0.12218767	0.00115503	-0.00237256	0.00376014
2.166658	0.07788850	-0.02985446	0.12232367	0.00204270	0.00054817	0.01038727
2.183325	0.07794269	-0.02970364	0.12256390	0.00418031	0.00212088	0.01607551
2.199991	0.07800437	-0.02958366	0.12289998	0.00611349	0.00056933	0.02019168
2.216658	0.07809585	-0.02960337	0.12328757	0.00699888	-0.00460560	0.02163072
2.233324	0.07828566	-0.02972180	0.12371606	0.00736403	-0.00957741	0.01998924
2.249991	0.07843680	-0.02999907	0.12408882	0.00643874	-0.01140181	0.01562740
2.266658	0.07854250	-0.03032329	0.12432138	0.00346353	-0.00941449	0.00902209
2.283324	0.07859617	-0.03048229	0.12439940	-0.00114706	-0.00552691	0.00084877
2.299991	0.07852481	-0.03050935	0.12433166	-0.00594749	-0.00137093	-0.00720701
2.316657	0.07839251	-0.03033256	0.12413554	-0.00998836	0.00097935	-0.01388466
2.333324	0.07813215	-0.03030306	0.12381248	-0.01261895	0.00049971	-0.01895525
2.349991	0.07787589	-0.03029364	0.12343094	-0.01287495	-0.00245662	-0.02236912
2.366657	0.07763800	-0.03042105	0.12301958	-0.01006723	-0.00557763	-0.02345419
2.383324	0.07744428	-0.03054856	0.12260044	-0.00471799	-0.00657460	-0.02138247
2.399990	0.07740710	-0.03070772	0.12220370	0.00089441	-0.00598521	-0.01608360
