Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.08748100	-0.01874411	0.10483498	0.01103938	0.00803714	-0.02878178
0.016667	0.08771721	-0.01865625	0.10428656	0.00637720	0.00766556	-0.02336012
0.033333	0.08782014	-0.01847613	0.10394631	0.00171502	0.00729398	-0.01793846
0.050000	0.08772416	-0.01834095	0.10371803	0.00299988	0.00537827	-0.01580081
0.066666	0.08772535	-0.01822552	0.10349569	0.00102211	0.00328539	-0.00905152
0.083333	0.08778069	-0.01824638	0.10328585	0.00093717	0.00046027	-0.00377049
0.100000	0.08786842	-0.01826753	0.10328881	0.00093654	-0.00223709	0.00183177
0.116666	0.08787274	-0.01833374	0.10341714	-0.00068624	-0.00495668	0.00978135
0.133333	0.08782904	-0.01840625	0.10363051	-0.00342858	-0.00816235	0.02027907
0.149999	0.08773924	-0.01853492	0.10394684	-0.00661968	-0.01181042	0.03176631
0.166666	0.08762288	-0.01877457	0.10452837	-0.00954431	-0.01495394	0.04206160
0.183333	0.08744243	-0.01910873	0.10545073	-0.01217184	-0.01708167	0.04941740
0.199999	0.08720088	-0.01944782	0.10651799	-0.01350382	-0.01705126	0.05285779
0.216666	0.08692158	-0.01975459	0.10746139	-0.01233318	-0.01447342	0.05166968
0.233332	0.08665439	-0.01997682	0.10824551	-0.00908751	-0.01076919	0.04667885
0.249999	0.08652055	-0.02011067	0.10891720	-0.00501858	-0.00766078	0.04043971
0.266666	0.08654329	-0.02015508	0.10957474	-0.00121549	-0.00596753	0.03558612
0.283332	0.08660845	-0.02020966	0.11013922	0.00117586	-0.00609690	0.03254873
0.299999	0.08667040	-0.02030677	0.11061040	0.00179392	-0.00801942	0.03079594
0.316665	0.08666699	-0.02046780	0.11107385	0.00105068	-0.01128034	0.03059142
0.333332	0.08665822	-0.02068335	0.11155161	0.00028178	-0.01410923	0.03255637
0.349999	0.08667027	-0.02095161	0.11211644	0.00054274	-0.01557379	0.03501109
0.366665	0.08665473	-0.02128379	0.11274806	0.00167117	-0.01512697	0.03564800
0.383332	0.08669517	-0.02154837	0.11343855	0.00320067	-0.01310123	0.03327759
0.399998	0.08675545	-0.02177216	0.11403455	0.00542747	-0.00992846	0.02789825
0.416665	0.08686197	-0.02185727	0.11445346	0.00881437	-0.00651206	0.01955148
0.433332	0.08701986	-0.02193104	0.11467814	0.01290073	-0.00349955	0.00838622
0.449998	0.08723848	-0.02195162	0.11475476	0.01669905	-0.00158428	-0.00390274
0.466665	0.08759764	-0.02197684	0.11461736	0.01921192	-0.00087647	-0.01644454
0.483331	0.08799525	-0.02195485	0.11421989	0.02043419	-0.00036493	-0.02871007
0.499998	0.08837308	-0.02196803	0.11360969	0.02018806	0.00078688	-0.03876325
0.516665	0.08867475	-0.02197244	0.11279351	0.01830015	0.00221820	-0.04468615
0.533331	0.08894894	-0.02195765	0.11191501	0.01557956	0.00320100	-0.04758585
0.549998	0.08920989	-0.02183318	0.11110046	0.01314690	0.00441718	-0.04893300
0.566664	0.08941127	-0.02173684	0.11037109	0.01187579	0.00577541	-0.04872729
0.583331	0.08956028	-0.02164844	0.10957532	0.01108938	0.00666046	-0.04744042
0.599998	0.08970568	-0.02155391	0.10871422	0.01096510	0.00663067	-0.04623804
0.616664	0.08991285	-0.02142605	0.10790135	0.01110990	0.00613086	-0.04456817
0.633331	0.09011066	-0.02127727	0.10721137	0.01063157	0.00474446	-0.04047689
0.649997	0.09034386	-0.02120320	0.10657126	0.00952445	0.00240306	-0.03477367
0.666664	0.09046511	-0.02118381	0.10600468	0.00829864	-0.00066675	-0.02969761
0.683331	0.09055728	-0.02125273	0.10557786	0.00692579	-0.00320627	-0.02628106
0.699997	0.09064375	-0.02134340	0.10522876	0.00537968	-0.00453844	-0.02414672
0.716664	0.09075891	-0.02145818	0.10489343	0.00439146	-0.00458823	-0.02365364
0.733330	0.09084787	-0.02152548	0.10447149	0.00521889	-0.00309566	-0.02542118
0.749997	0.09087460	-0.02158255	0.10403423	0.00748488	-0.00116878	-0.02796676
0.766664	0.09092398	-0.02158062	0.10355096	0.00942394	0.00022129	-0.02896164
0.783330	0.09118142	-0.02151928	0.10300037	0.00968013	0.00042596	-0.02780664
0.799997	0.09146103	-0.02149018	0.10249770	0.00820569	0.00025319	-0.02482282
0.816663	0.09167477	-0.02148405	0.10209621	0.00560420	0.00078928	-0.01982447
0.833330	0.09161609	-0.02156198	0.10182679	0.00288003	0.00286469	-0.01342846
0.849997	0.09152048	-0.02154059	0.10167376	0.00067689	0.00612241	-0.00797655
0.866663	0.09151468	-0.02138969	0.10160600	0.00021786	0.00947392	-0.00568556
0.883330	0.09162369	-0.02111268	0.10162872	0.00192766	0.01173236	-0.00610183
0.899996	0.09166962	-0.02083910	0.10155813	0.00356653	0.01202459	-0.00730376
0.916663	0.09170849	-0.02065672	0.10134840	0.00395355	0.01076266	-0.00761706
0.933330	0.09175072	-0.02054047	0.10111318	0.00363072	0.00806201	-0.00562387
0.949996	0.09185043	-0.02042936	0.10097297	0.00296769	0.00408107	0.00011779
0.966663	0.09192665	-0.02031924	0.10105550	0.00073072	-0.00131772	0.00941727
0.983329	0.09195703	-0.02032535	0.10129197	-0.00346394	-0.00798847	0.02176830
0.999996	0.09187471	-0.02052874	0.10172989	-0.00926435	-0.01591777	0.03367146
1.016663	0.09165547	-0.02092288	0.10237593	-0.01487846	-0.02315906	0.04343948
1.033329	0.09132905	-0.02140631	0.10333145	-0.01894981	-0.02727280	0.05066184
1.049996	0.09090804	-0.02197430	0.10425476	-0.02041001	-0.02734190	0.05497567
1.066662	0.09053712	-0.02244932	0.10526245	-0.01896258	-0.02447801	0.05521200
1.083329	0.09020526	-0.02284594	0.10612044	-0.01589718	-0.02018075	0.05224245
1.099996	0.08999807	-0.02308333	0.10704231	-0.01236544	-0.01538020	0.04862588
1.116662	0.08987080	-0.02328409	0.10778398	-0.00938587	-0.01144823	0.04489048
1.133329	0.08973053	-0.02344681	0.10848485	-0.00739931	-0.00864880	0.04157239
1.149995	0.08964109	-0.02356032	0.10913208	-0.00571462	-0.00695989	0.03810015
1.166662	0.08951391	-0.02367263	0.10974016	-0.00299697	-0.00557444	0.03434269
1.183329	0.08944973	-0.02372647	0.11034776	0.00007749	-0.00493744	0.02925307
1.199995	0.08948852	-0.02381314	0.11081824	0.00262723	-0.00476749	0.02345355
1.216662	0.08962189	-0.02386565	0.11114297	0.00426659	-0.00505259	0.01778155
1.233328	0.08974968	-0.02397805	0.11133116	0.00461603	-0.00584468	0.01291355
1.249995	0.08981848	-0.02406220	0.11145320	0.00406338	-0.00669288	0.00973310
1.266662	0.08982336	-0.02419132	0.11162066	0.00320160	-0.00714250	0.00793229
1.283328	0.08986069	-0.02432373	0.11173949	0.00374501	-0.00661703	0.00550865
1.299995	0.08992168	-0.02445944	0.11187581	0.00559835	-0.00562208	0.00066854
1.316661	0.09001619	-0.02455096	0.11190392	0.00772680	-0.00350760	-0.00634662
1.333328	0.09020897	-0.02457593	0.11173867	0.01044747	-0.00078155	-0.01566841
1.349995	0.09037780	-0.02458707	0.11138628	0.01405371	0.00223048	-0.02664535
1.366661	0.09061022	-0.02449528	0.11085573	0.01720327	0.00546573	-0.03630187
1.383328	0.09093243	-0.02440924	0.11011017	0.01909118	0.00890899	-0.04285416
1.399994	0.09133652	-0.02422318	0.10926113	0.01961768	0.01195647	-0.04671823
1.416661	0.09172316	-0.02398907	0.10840915	0.01790195	0.01391722	-0.04822493
1.433328	0.09200562	-0.02370054	0.10764766	0.01379052	0.01435005	-0.04687428
1.449994	0.09219294	-0.02341829	0.10687572	0.00911392	0.01307578	-0.04339410
1.466661	0.09227430	-0.02320783	0.10612766	0.00621992	0.01046095	-0.03949494
1.483328	0.09227913	-0.02307811	0.10548714	0.00541797	0.00716122	-0.03520693
1.499994	0.09234146	-0.02299065	0.10496800	0.00558025	0.00425452	-0.03027358
1.516661	0.09247612	-0.02297322	0.10451804	0.00574442	0.00196975	-0.02632729
1.533327	0.09265196	-0.02294409	0.10414927	0.00467056	0.00034918	-0.02435411
1.549994	0.09274481	-0.02295681	0.10378361	0.00195526	-0.00079647	-0.02316573
1.566661	0.09273516	-0.02298347	0.10339643	-0.00142754	-0.00200554	-0.02162439
1.583327	0.09262363	-0.02301489	0.10297821	-0.00427561	-0.00297123	-0.01968004
1.599994	0.09250253	-0.02308057	0.10265297	-0.00583368	-0.00317497	-0.01715477
1.616660	0.09240065	-0.02316337	0.10242134	-0.00625769	-0.00269409	-0.01420015
1.633327	0.09231561	-0.02321348	0.10224641	-0.00645253	-0.00143828	-0.01124066
1.649994	0.09222089	-0.02323657	0.10208547	-0.00642336	0.00098355	-0.00830348
1.666660	0.09210428	-0.02318902	0.10192394	-0.00570828	0.00297734	-0.00540657
1.683327	0.09195431	-0.02312047	0.10183369	-0.00467708	0.00333651	-0.00190438
1.699993	0.09189482	-0.02297017	0.10185796	-0.00335225	0.00246112	0.00289911
1.716660	0.09187976	-0.02294983	0.10192567	-0.00147537	0.00142773	0.00904385
1.733327	0.09188533	-0.02297612	0.10212243	-0.00155807	-0.00062007	0.01616011
1.749993	0.09188744	-0.02304994	0.10240512	-0.00491647	-0.00421140	0.02267608
1.766660	0.09187572	-0.02304841	0.10288239	-0.00878427	-0.00747363	0.02725243
1.783326	0.09163756	-0.02318030	0.10348655	-0.01051665	-0.00948321	0.02908584
1.799993	0.09130356	-0.02343540	0.10402517	-0.01038146	-0.01075142	0.02881873
1.816660	0.09104619	-0.02370674	0.10449433	-0.00965774	-0.01189717	0.02721056
1.833326	0.09102149	-0.02387956	0.10482427	-0.00781811	-0.01163901	0.02648401
1.849993	0.09103284	-0.02400146	0.10523424	-0.00612250	-0.01045747	0.02869736
1.866659	0.09089608	-0.02417694	0.10569318	-0.00646318	-0.00987713	0.03359379
1.883326	0.09073636	-0.02435640	0.10630498	-0.00791583	-0.00928206	0.03891275
1.899992	0.09054658	-0.02453816	0.10706363	-0.00827293	-0.00772328	0.04200557
1.916659	0.09041804	-0.02469232	0.10786435	-0.00687993	-0.00522785	0.04269021
1.933326	0.09034174	-0.02471260	0.10862649	-0.00499116	-0.00288772	0.04114368
1.949992	0.09024968	-0.02473083	0.10923769	-0.00348171	-0.00094786	0.03843479
1.966659	0.09025055	-0.02467562	0.10981700	-0.00271418	0.00038073	0.03573074
1.983325	0.09019222	-0.02471100	0.11037721	-0.00232697	0.00058470	0.03413489
1.999992	0.09017440	-0.02469510	0.11095569	-0.00181195	-0.00011916	0.03287697
2.016659	0.09012340	-0.02467486	0.11151431	-0.00052616	-0.00082950	0.03112485
2.033325	0.09008411	-0.02469405	0.11204767	0.00178129	-0.00169068	0.02883055
2.049992	0.09013367	-0.02473592	0.11247545	0.00411654	-0.00324916	0.02594343
2.066658	0.09024539	-0.02479425	0.11289153	0.00589801	-0.00431154	0.02258220
2.083325	0.09041993	-0.02490725	0.11323054	0.00679660	-0.00410408	0.01864750
2.099992	0.09054992	-0.02499173	0.11354952	0.00704694	-0.00303024	0.01415411
2.116658	0.09061846	-0.02506479	0.11376035	0.00730834	-0.00146391	0.00866919
2.133325	0.09071591	-0.02502548	0.11385382	0.00846576	0.00040928	0.00224926
2.149992	0.09083868	-0.02499542	0.11384631	0.01095161	0.00246208	-0.00482360
2.166658	0.09106752	-0.02494134	0.11369578	0.01400130	0.00435016	-0.01177625
2.183325	0.09134562	-0.02488510	0.11344259	0.01665796	0.00587045	-0.01853324
2.199991	0.09166250	-0.02476511	0.11306465	0.01796607	0.00716959	-0.02458698
2.216658	0.09199462	-0.02460930	0.11259355	0.01726228	0.00770178	-0.02927564
2.233325	0.09230077	-0.02444123	0.11203770	0.01598953	0.00792280	-0.03244144
2.249991	0.09255127	-0.02431889	0.11144263	0.01514519	0.00766165	-0.03417245
2.266658	0.09272185	-0.02423441	0.11085770	0.01445355	0.00668663	-0.03449625
2.283324	0.09295802	-0.02410909	0.11028254	0.01256165	0.00487045	-0.03349593
2.299991	0.09322383	-0.02400754	0.10971881	0.01000785	0.00296608	-0.03217598
2.316658	0.09345288	-0.02394909	0.10919695	0.00614064	0.00095881	-0.03053450
2.333324	0.09347145	-0.02400419	0.10871243	0.00128985	-0.00157134	-0.02948553
2.349991	0.09343690	-0.02405869	0.10823155	-0.00265312	-0.00355904	-0.02948348
2.366657	0.09324463	-0.02413447	0.10780505	-0.00454320	-0.00387068	-0.02948907
2.383324	0.09317461	-0.02422863	0.10725839	-0.00509692	-0.00237799	-0.02853326
2.399991	0.09310988	-0.02427872	0.10674309	-0.00539439	-0.00043349	-0.02703409
