Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10596734	-0.03331465	0.10193895	0.01392005	-0.00919638	-0.04535880
0.016667	0.10620172	-0.03341490	0.10122373	0.01366569	-0.01620016	-0.04844469
0.033333	0.10642267	-0.03369940	0.10040083	0.01341132	-0.02320394	-0.05153058
0.050000	0.10663782	-0.03418028	0.09948152	0.01304006	-0.02326773	-0.04998935
0.066666	0.10688477	-0.03466405	0.09857560	0.01232681	-0.02556262	-0.04891847
0.083333	0.10707133	-0.03514772	0.09776672	0.01232763	-0.02334552	-0.04532776
0.100000	0.10726549	-0.03547584	0.09707408	0.01280820	-0.01833305	-0.04047664
0.116666	0.10742906	-0.03579801	0.09645532	0.01339322	-0.01347937	-0.03575857
0.133333	0.10769834	-0.03590154	0.09590588	0.01374943	-0.01003912	-0.03171702
0.149999	0.10796180	-0.03599682	0.09540461	0.01316732	-0.00767392	-0.02815087
0.166666	0.10821898	-0.03609433	0.09496218	0.01111054	-0.00585931	-0.02491063
0.183333	0.10838424	-0.03623102	0.09457932	0.00796917	-0.00467991	-0.02230653
0.199999	0.10846773	-0.03633882	0.09424784	0.00529396	-0.00351356	-0.02019756
0.216666	0.10848542	-0.03635282	0.09394545	0.00361180	-0.00204037	-0.01816213
0.233332	0.10851258	-0.03632693	0.09363474	0.00320019	-0.00044089	-0.01588079
0.249999	0.10857645	-0.03634344	0.09336355	0.00382455	0.00052205	-0.01305153
0.266666	0.10866159	-0.03632064	0.09315758	0.00442805	0.00024378	-0.00948664
0.283332	0.10874920	-0.03633941	0.09303765	0.00339923	-0.00037208	-0.00484685
0.299999	0.10883929	-0.03629429	0.09300105	0.00091158	-0.00034768	0.00065536
0.316665	0.10885789	-0.03635373	0.09302578	-0.00190996	0.00037387	0.00639009
0.333332	0.10876109	-0.03636446	0.09318703	-0.00441080	0.00081534	0.01188395
0.349999	0.10861828	-0.03634179	0.09345043	-0.00645290	0.00105851	0.01737222
0.366665	0.10848139	-0.03626011	0.09380569	-0.00715501	0.00210865	0.02299717
0.383332	0.10838664	-0.03624022	0.09421350	-0.00655322	0.00334804	0.02872531
0.399998	0.10826898	-0.03621436	0.09471184	-0.00553711	0.00399016	0.03438516
0.416665	0.10819080	-0.03614806	0.09533610	-0.00367691	0.00399796	0.03983264
0.433332	0.10811205	-0.03601417	0.09608702	-0.00054714	0.00358015	0.04497028
0.449998	0.10808824	-0.03593935	0.09689401	0.00325607	0.00223850	0.04925491
0.466665	0.10819844	-0.03590806	0.09775376	0.00662482	0.00142100	0.05236170
0.483331	0.10838275	-0.03596940	0.09864324	0.00935644	0.00125811	0.05334819
0.499998	0.10861029	-0.03600910	0.09957929	0.01066972	0.00221669	0.05189112
0.516665	0.10877741	-0.03589746	0.10051413	0.00986643	0.00463607	0.04848805
0.533331	0.10894353	-0.03581563	0.10129364	0.00741362	0.00914765	0.04389281
0.549998	0.10906693	-0.03562210	0.10194978	0.00398652	0.01312460	0.03838931
0.566664	0.10911413	-0.03543510	0.10249430	0.00022858	0.01593227	0.03306860
0.583331	0.10908741	-0.03502709	0.10302109	-0.00356694	0.01912145	0.02908353
0.599998	0.10895451	-0.03471690	0.10347543	-0.00661629	0.02237586	0.02614903
0.616664	0.10880474	-0.03433650	0.10387542	-0.00882622	0.02368219	0.02320776
0.633331	0.10862960	-0.03391847	0.10424133	-0.01015515	0.02250781	0.01986996
0.649997	0.10847138	-0.03345788	0.10456298	-0.01095650	0.02130705	0.01653857
0.666664	0.10828217	-0.03311605	0.10481223	-0.01144756	0.02015530	0.01320651
0.683331	0.10808244	-0.03288469	0.10499507	-0.01135324	0.01851870	0.01009528
0.699997	0.10786110	-0.03261889	0.10511279	-0.01057223	0.01675484	0.00752832
0.716664	0.10768107	-0.03228767	0.10521128	-0.00922099	0.01511055	0.00511857
0.733330	0.10754596	-0.03200620	0.10528826	-0.00740173	0.01301678	0.00268222
0.749997	0.10746147	-0.03177502	0.10534624	-0.00480065	0.00939822	-0.00048947
0.766664	0.10738028	-0.03172122	0.10531161	-0.00220139	0.00480721	-0.00504000
0.783330	0.10734772	-0.03164948	0.10522287	-0.00022508	0.00029156	-0.01163439
0.799997	0.10739480	-0.03171517	0.10498172	0.00133217	-0.00264050	-0.02010715
0.816663	0.10745104	-0.03177430	0.10462462	0.00274946	-0.00427313	-0.02903857
0.833330	0.10750778	-0.03192083	0.10402334	0.00404784	-0.00566639	-0.03734071
0.849997	0.10755137	-0.03198262	0.10326996	0.00537655	-0.00709773	-0.04384632
0.866663	0.10763210	-0.03209151	0.10244215	0.00724956	-0.00959491	-0.04810699
0.883330	0.10778692	-0.03222039	0.10158630	0.00953507	-0.01289075	-0.04971729
0.899996	0.10796772	-0.03247711	0.10077377	0.01163867	-0.01637154	-0.04943972
0.916663	0.10820888	-0.03283724	0.09992592	0.01304799	-0.01859855	-0.04773405
0.933330	0.10843452	-0.03321705	0.09913427	0.01347998	-0.01897805	-0.04490952
0.949996	0.10867041	-0.03355384	0.09837834	0.01296239	-0.01762371	-0.04101520
0.966663	0.10889740	-0.03380980	0.09772637	0.01170800	-0.01564604	-0.03649998
0.983329	0.10907841	-0.03400639	0.09717701	0.01007982	-0.01412207	-0.03250705
0.999996	0.10923878	-0.03422773	0.09670196	0.00850420	-0.01285895	-0.02899696
1.016663	0.10934585	-0.03444226	0.09626432	0.00738661	-0.01147938	-0.02594195
1.033329	0.10944028	-0.03468847	0.09581761	0.00661592	-0.00989605	-0.02308527
1.049996	0.10955574	-0.03481603	0.09544239	0.00602635	-0.00816598	-0.02053656
1.066662	0.10966041	-0.03490837	0.09513090	0.00550339	-0.00644247	-0.01784172
1.083329	0.10976440	-0.03497135	0.09489387	0.00443393	-0.00453774	-0.01437398
1.099996	0.10982482	-0.03505915	0.09465419	0.00251138	-0.00353433	-0.01039852
1.116662	0.10986441	-0.03514402	0.09447271	-0.00016671	-0.00312469	-0.00580689
1.133329	0.10984885	-0.03513691	0.09440677	-0.00254144	-0.00182780	-0.00027798
1.149995	0.10976835	-0.03518861	0.09445123	-0.00371566	0.00144797	0.00616385
1.166662	0.10963628	-0.03518926	0.09463009	-0.00426805	0.00496453	0.01221502
1.183329	0.10955764	-0.03510090	0.09489240	-0.00419011	0.00739846	0.01675314
1.199995	0.10953089	-0.03485366	0.09525146	-0.00390468	0.00834923	0.01967401
1.216662	0.10948714	-0.03462669	0.09562577	-0.00406896	0.00704522	0.02151863
1.233328	0.10943657	-0.03450744	0.09598239	-0.00528315	0.00349992	0.02297604
1.249995	0.10930543	-0.03453819	0.09634912	-0.00688708	-0.00095942	0.02507998
1.266662	0.10918567	-0.03463464	0.09675039	-0.00819612	-0.00412805	0.02899181
1.283328	0.10901222	-0.03475888	0.09724068	-0.00829815	-0.00517965	0.03444417
1.299995	0.10886657	-0.03485045	0.09786136	-0.00732835	-0.00432048	0.04036197
1.316661	0.10872099	-0.03491718	0.09861817	-0.00545828	-0.00180348	0.04609108
1.333328	0.10866718	-0.03493961	0.09946807	-0.00290067	0.00156260	0.05134968
1.349995	0.10862713	-0.03490938	0.10035430	-0.00024676	0.00472844	0.05523160
1.366661	0.10867865	-0.03476176	0.10130321	0.00169568	0.00774638	0.05616963
1.383328	0.10871840	-0.03458911	0.10231672	0.00198812	0.01019990	0.05360342
1.399994	0.10880819	-0.03439577	0.10329015	0.00070941	0.01149603	0.04836333
1.416661	0.10882061	-0.03418596	0.10406571	-0.00150983	0.01215727	0.04139686
1.433328	0.10876391	-0.03399183	0.10461728	-0.00372057	0.01144622	0.03340124
1.449994	0.10863499	-0.03378461	0.10505249	-0.00598686	0.00933634	0.02614535
1.466661	0.10850775	-0.03357570	0.10544166	-0.00698625	0.00687939	0.02060690
1.483327	0.10840122	-0.03353655	0.10574970	-0.00646523	0.00446692	0.01641906
1.499994	0.10826124	-0.03350089	0.10600608	-0.00531970	0.00165512	0.01259231
1.516661	0.10819679	-0.03353156	0.10614649	-0.00420263	-0.00025952	0.00920691
1.533327	0.10814245	-0.03350595	0.10627325	-0.00324195	-0.00039954	0.00630202
1.549994	0.10811500	-0.03355517	0.10633209	-0.00192889	0.00040444	0.00379761
1.566660	0.10809130	-0.03355742	0.10640658	-0.00064981	0.00067920	0.00139028
1.583327	0.10803796	-0.03352225	0.10640981	0.00084263	0.00181443	-0.00114892
1.599994	0.10809933	-0.03344816	0.10637844	0.00227266	0.00425860	-0.00424078
1.616660	0.10813595	-0.03345520	0.10626854	0.00358996	0.00652038	-0.00864975
1.633327	0.10826055	-0.03327395	0.10612881	0.00409344	0.00786777	-0.01492376
1.649993	0.10831956	-0.03313166	0.10586736	0.00399125	0.00876790	-0.02315441
1.666660	0.10838861	-0.03288280	0.10545789	0.00416962	0.00829620	-0.03221357
1.683327	0.10841653	-0.03279325	0.10479361	0.00447078	0.00495067	-0.04029368
1.699993	0.10848881	-0.03268825	0.10397399	0.00573906	0.00009442	-0.04619740
1.716660	0.10860860	-0.03272818	0.10307948	0.00752512	-0.00503041	-0.04937829
1.733326	0.10873921	-0.03289359	0.10225866	0.00933129	-0.00932803	-0.04996860
1.749993	0.10893895	-0.03311340	0.10143980	0.01013730	-0.01275582	-0.04843821
1.766660	0.10911936	-0.03338116	0.10065243	0.00975851	-0.01334518	-0.04548687
1.783326	0.10931634	-0.03362557	0.09984528	0.00853453	-0.01157495	-0.04125462
1.799993	0.10943997	-0.03384631	0.09917659	0.00700197	-0.00872047	-0.03573674
1.816659	0.10951176	-0.03393804	0.09861656	0.00569398	-0.00643463	-0.02930604
1.833326	0.10958011	-0.03396891	0.09824035	0.00452938	-0.00429632	-0.02282565
1.849993	0.10964921	-0.03398798	0.09791906	0.00332722	-0.00262299	-0.01763429
1.866659	0.10973894	-0.03409682	0.09769420	0.00209869	-0.00127497	-0.01423003
1.883326	0.10977194	-0.03410249	0.09749083	0.00120175	0.00017917	-0.01224266
1.899992	0.10973477	-0.03412702	0.09731744	0.00067741	0.00191378	-0.01043722
1.916659	0.10971496	-0.03399075	0.09713145	0.00012610	0.00297114	-0.00884447
1.933326	0.10972348	-0.03393252	0.09697860	-0.00024043	0.00250039	-0.00698916
1.949992	0.10977846	-0.03385182	0.09689039	-0.00093434	0.00061983	-0.00457549
1.966659	0.10975633	-0.03389118	0.09682740	-0.00232556	-0.00233517	-0.00115436
1.983325	0.10970153	-0.03395929	0.09683190	-0.00472004	-0.00547448	0.00327492
1.999992	0.10957374	-0.03408280	0.09688141	-0.00762156	-0.00763773	0.01006805
2.016659	0.10945231	-0.03423391	0.09706834	-0.01027525	-0.00830801	0.01956270
2.033325	0.10925024	-0.03443853	0.09740821	-0.01177614	-0.00859087	0.03016517
2.049992	0.10902172	-0.03454127	0.09805541	-0.01145803	-0.00789746	0.04062445
2.066658	0.10875439	-0.03467792	0.09889518	-0.00960033	-0.00583927	0.04911964
2.083325	0.10860489	-0.03476920	0.09984003	-0.00706240	-0.00259868	0.05451034
2.099992	0.10855159	-0.03482817	0.10082841	-0.00494769	0.00083804	0.05608510
2.116658	0.10856886	-0.03478725	0.10175136	-0.00387156	0.00463555	0.05553249
2.133325	0.10851613	-0.03461646	0.10269982	-0.00394242	0.00902090	0.05406044
2.149991	0.10840878	-0.03445258	0.10353821	-0.00459725	0.01387652	0.05223355
2.166658	0.10827590	-0.03420747	0.10442410	-0.00569566	0.01740634	0.04978498
2.183325	0.10820644	-0.03387893	0.10524140	-0.00645666	0.01899552	0.04686210
2.199991	0.10813743	-0.03345677	0.10602752	-0.00660251	0.01877241	0.04329785
2.216658	0.10800608	-0.03309652	0.10670655	-0.00579646	0.01731799	0.03795896
2.233324	0.10785942	-0.03285524	0.10732092	-0.00467638	0.01432583	0.03085216
2.249991	0.10774816	-0.03271268	0.10781205	-0.00303001	0.01063282	0.02189861
2.266658	0.10777934	-0.03252619	0.10813135	-0.00080474	0.00770723	0.01187411
2.283324	0.10779920	-0.03243928	0.10823126	0.00117727	0.00573080	0.00132926
2.299991	0.10785235	-0.03232547	0.10812277	0.00227169	0.00326640	-0.00837784
2.316657	0.10787285	-0.03232076	0.10787224	0.00254423	0.00103917	-0.01537519
2.333324	0.10790906	-0.03229870	0.10750704	0.00259319	-0.00020206	-0.01901716
2.349991	0.10797620	-0.03238882	0.10711037	0.00247215	-0.00102070	-0.02054051
2.366657	0.10801852	-0.03238061	0.10677584	0.00235134	-0.00202303	-0.02077878
2.383324	0.10806046	-0.03240631	0.10646818	0.00196771	-0.00266372	-0.02012894
2.399990	0.10807543	-0.03241136	0.10614043	0.00160319	-0.00289631	-0.01971849
