Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.07843202	-0.06157376	0.08769211	0.03689595	-0.04914516	-0.06193596
0.016667	0.07898393	-0.06234634	0.08663454	0.03358877	-0.04364330	-0.04863670
0.033333	0.07961556	-0.06312042	0.08578831	0.03028159	-0.03814143	-0.03533743
0.050000	0.08018783	-0.06382089	0.08525243	0.02311805	-0.02975271	-0.02679437
0.066666	0.08053887	-0.06428122	0.08498706	0.01058885	-0.01683283	-0.00951190
0.083333	0.08067516	-0.06444809	0.08489580	-0.00793397	-0.00138298	0.00783927
0.100000	0.08045182	-0.06431911	0.08514010	-0.02677221	0.01327364	0.02433422
0.116666	0.07976909	-0.06388898	0.08571807	-0.03984665	0.02426064	0.03909704
0.133333	0.07870568	-0.06330312	0.08660770	-0.04507903	0.03060927	0.05068059
0.149999	0.07770430	-0.06268100	0.08763728	-0.04245470	0.03296063	0.05656917
0.166666	0.07707647	-0.06212702	0.08867025	-0.03356396	0.03201611	0.05579722
0.183333	0.07674754	-0.06164821	0.08966039	-0.02252856	0.02939912	0.04973063
0.199999	0.07656164	-0.06115462	0.09045061	-0.01420854	0.02676820	0.04143240
0.216666	0.07637663	-0.06074795	0.09103416	-0.00990983	0.02466694	0.03272230
0.233332	0.07621671	-0.06034122	0.09143323	-0.00819418	0.02228644	0.02478327
0.249999	0.07609596	-0.05999583	0.09176454	-0.00684562	0.01934840	0.01667298
0.266666	0.07600852	-0.05967456	0.09203320	-0.00413531	0.01623056	0.00715534
0.283332	0.07592241	-0.05942748	0.09220212	-0.00101850	0.01176332	-0.00370832
0.299999	0.07590333	-0.05926019	0.09202683	0.00203685	0.00570812	-0.01556209
0.316665	0.07601313	-0.05915881	0.09159692	0.00583074	-0.00258020	-0.02929465
0.333332	0.07613236	-0.05926222	0.09095231	0.01057607	-0.01210985	-0.04330198
0.349999	0.07633001	-0.05951353	0.09020878	0.01500516	-0.02303912	-0.05388200
0.366665	0.07659406	-0.06005558	0.08914398	0.01869183	-0.03380201	-0.05953087
0.383332	0.07698841	-0.06068313	0.08795545	0.02251333	-0.04197678	-0.06102784
0.399998	0.07741278	-0.06156738	0.08681642	0.02637718	-0.04511109	-0.05817635
0.416665	0.07784843	-0.06241584	0.08592903	0.02911479	-0.04274501	-0.04966537
0.433332	0.07836325	-0.06322420	0.08518436	0.02993045	-0.03700981	-0.03731486
0.449998	0.07892644	-0.06372045	0.08461841	0.02789270	-0.02936627	-0.02429141
0.466665	0.07945436	-0.06404733	0.08430506	0.02107681	-0.02061573	-0.01162303
0.483331	0.07985342	-0.06431546	0.08427420	0.00975583	-0.01034853	0.00174724
0.499998	0.07993206	-0.06452732	0.08442093	-0.00405052	0.00031240	0.01647155
0.516665	0.07967446	-0.06451079	0.08477384	-0.01835395	0.01173453	0.03222676
0.533331	0.07917281	-0.06414343	0.08535317	-0.03158620	0.02329679	0.04629452
0.549998	0.07851800	-0.06355436	0.08633541	-0.04145353	0.03402701	0.05641431
0.566664	0.07776303	-0.06285130	0.08756889	-0.04541732	0.04070893	0.06092510
0.583331	0.07685219	-0.06213871	0.08873509	-0.04180974	0.04288881	0.05954808
0.599998	0.07600512	-0.06133106	0.08971150	-0.03164394	0.04173242	0.05163527
0.616664	0.07547202	-0.06065637	0.09040719	-0.01785755	0.03878645	0.04021031
0.633331	0.07542393	-0.05998425	0.09103812	-0.00478247	0.03453660	0.02987159
0.649997	0.07567796	-0.05951946	0.09138045	0.00362450	0.02900648	0.02275018
0.666664	0.07594293	-0.05904431	0.09164581	0.00533710	0.02249347	0.01737330
0.683331	0.07599653	-0.05870382	0.09185496	0.00209783	0.01640654	0.01251580
0.699997	0.07591414	-0.05847308	0.09210337	-0.00212525	0.01089920	0.00787891
0.716664	0.07574300	-0.05841124	0.09225465	-0.00427635	0.00508452	0.00208021
0.733330	0.07567812	-0.05834584	0.09225263	-0.00339200	-0.00113555	-0.00610503
0.749997	0.07563779	-0.05840744	0.09205477	0.00033040	-0.00745557	-0.01794059
0.766663	0.07566774	-0.05850283	0.09172747	0.00593132	-0.01364229	-0.03230995
0.783330	0.07575279	-0.05886646	0.09112107	0.01175848	-0.02029908	-0.04680131
0.799997	0.07600918	-0.05925942	0.09018237	0.01705486	-0.02729109	-0.05835412
0.816663	0.07641034	-0.05978225	0.08893874	0.02261756	-0.03497531	-0.06585301
0.833330	0.07685647	-0.06036383	0.08764393	0.02948103	-0.04098279	-0.06708206
0.849997	0.07729941	-0.06110504	0.08652776	0.03641531	-0.04390122	-0.06076774
0.866663	0.07791838	-0.06204931	0.08551505	0.04093697	-0.04262636	-0.04854900
0.883330	0.07875390	-0.06282331	0.08480587	0.04118202	-0.03760193	-0.03450710
0.899996	0.07966963	-0.06342433	0.08434251	0.03571368	-0.02885221	-0.02010663
0.916663	0.08030355	-0.06372165	0.08420847	0.02412977	-0.01731060	-0.00429923
0.933329	0.08056260	-0.06391454	0.08423122	0.00893649	-0.00560286	0.01221937
0.949996	0.08044901	-0.06397659	0.08449429	-0.00611598	0.00528125	0.02801970
0.966663	0.08014984	-0.06377083	0.08512681	-0.01824975	0.01571595	0.04204875
0.983329	0.07976276	-0.06342826	0.08603942	-0.02797190	0.02576950	0.05409636
0.999996	0.07925999	-0.06285159	0.08713481	-0.03605861	0.03275680	0.06252825
1.016662	0.07862956	-0.06218505	0.08825336	-0.04221170	0.03542265	0.06571607
1.033329	0.07776953	-0.06149177	0.08938795	-0.04504878	0.03386524	0.06354623
1.049996	0.07687738	-0.06091013	0.09051476	-0.04371136	0.02987671	0.05718258
1.066662	0.07609042	-0.06049568	0.09146062	-0.03778831	0.02559229	0.04802739
1.083329	0.07553771	-0.06020598	0.09218944	-0.02807200	0.02190381	0.03687997
1.099995	0.07518850	-0.05986373	0.09265016	-0.01766372	0.01949698	0.02569973
1.116662	0.07500946	-0.05953282	0.09294417	-0.00898890	0.01830222	0.01645948
1.133329	0.07497998	-0.05918615	0.09310400	-0.00322231	0.01724356	0.00960026
1.149995	0.07500137	-0.05894030	0.09320252	0.00068456	0.01556770	0.00446213
1.166662	0.07505620	-0.05870635	0.09325177	0.00334186	0.01295132	-0.00078082
1.183328	0.07508097	-0.05850470	0.09323123	0.00575403	0.00967050	-0.00721651
1.199995	0.07519750	-0.05832124	0.09310594	0.00852238	0.00551181	-0.01605305
1.216662	0.07534046	-0.05825919	0.09277932	0.01143132	-0.00009924	-0.02762407
1.233328	0.07560671	-0.05828092	0.09226163	0.01406411	-0.00680166	-0.04077887
1.249995	0.07587434	-0.05848429	0.09144763	0.01653838	-0.01417142	-0.05268577
1.266661	0.07616220	-0.05877334	0.09039377	0.01914438	-0.02254346	-0.06112425
1.283328	0.07645657	-0.05920732	0.08917958	0.02172572	-0.03238259	-0.06545414
1.299995	0.07684036	-0.05976273	0.08801543	0.02518239	-0.04221887	-0.06466095
1.316661	0.07730006	-0.06056830	0.08695266	0.02990765	-0.05004557	-0.05799213
1.333328	0.07782394	-0.06159121	0.08598778	0.03423906	-0.05400197	-0.04729931
1.349994	0.07843736	-0.06264741	0.08522990	0.03655117	-0.05250105	-0.03643788
1.366661	0.07915438	-0.06356818	0.08478327	0.03551159	-0.04483059	-0.02565793
1.383328	0.07979398	-0.06425489	0.08454595	0.02990567	-0.03251275	-0.01297867
1.399994	0.08034587	-0.06466366	0.08435506	0.01853023	-0.01789249	0.00061784
1.416661	0.08057118	-0.06484202	0.08435196	0.00245650	-0.00226588	0.01275403
1.433327	0.08052338	-0.06474795	0.08472328	-0.01495632	0.01368975	0.02422261
1.449994	0.08003558	-0.06441990	0.08536259	-0.02987114	0.02744190	0.03558900
1.466661	0.07928754	-0.06377741	0.08607293	-0.03888016	0.03764306	0.04444167
1.483327	0.07842668	-0.06291696	0.08685189	-0.04087118	0.04358293	0.04836236
1.499994	0.07766664	-0.06211068	0.08771699	-0.03625780	0.04513865	0.04834519
1.516660	0.07713506	-0.06132106	0.08864042	-0.02820772	0.04259822	0.04594867
1.533327	0.07678461	-0.06070211	0.08939939	-0.02057304	0.03831974	0.04141761
1.549994	0.07658806	-0.06007859	0.09002331	-0.01562948	0.03426011	0.03501761
1.566660	0.07641984	-0.05956596	0.09050024	-0.01291198	0.02998707	0.02805181
1.583327	0.07618105	-0.05907772	0.09092285	-0.01045179	0.02485390	0.02097716
1.599993	0.07596023	-0.05865151	0.09125198	-0.00708080	0.01878932	0.01299927
1.616660	0.07579798	-0.05839540	0.09145548	-0.00199617	0.01295244	0.00362197
1.633327	0.07585547	-0.05826482	0.09143922	0.00336436	0.00701959	-0.00685412
1.649993	0.07601156	-0.05824602	0.09121566	0.00714625	0.00212901	-0.01619051
1.666660	0.07626238	-0.05823766	0.09078700	0.00868119	-0.00211711	-0.02387768
1.683326	0.07640046	-0.05829770	0.09027117	0.00901435	-0.00634678	-0.03100933
1.699993	0.07649292	-0.05837774	0.08977756	0.00910494	-0.01082706	-0.03829279
1.716660	0.07657438	-0.05863348	0.08915438	0.00967581	-0.01502837	-0.04474137
1.733326	0.07678717	-0.05893973	0.08833431	0.01073398	-0.01969420	-0.04920089
1.749993	0.07701468	-0.05934507	0.08731079	0.01179804	-0.02626767	-0.05048374
1.766659	0.07727214	-0.05970987	0.08634588	0.01207491	-0.03410981	-0.04772418
1.783326	0.07740958	-0.06029293	0.08558942	0.01189941	-0.04047554	-0.04077932
1.799993	0.07760638	-0.06112356	0.08503734	0.01237483	-0.04366483	-0.03117481
1.816659	0.07775813	-0.06209686	0.08460700	0.01437383	-0.04338724	-0.02113433
1.833326	0.07804403	-0.06285063	0.08431251	0.01787480	-0.03830227	-0.01226877
1.849992	0.07834283	-0.06338333	0.08416286	0.01949102	-0.02900631	-0.00526602
1.866659	0.07876402	-0.06372434	0.08422213	0.01590810	-0.01748506	0.00185397
1.883326	0.07917890	-0.06396490	0.08431795	0.00667973	-0.00650427	0.01106133
1.899992	0.07930119	-0.06403057	0.08445225	-0.00555369	0.00332931	0.02223203
1.916659	0.07900768	-0.06383860	0.08482650	-0.01866952	0.01187825	0.03446217
1.933325	0.07840924	-0.06350868	0.08554293	-0.02925449	0.01912445	0.04632041
1.949992	0.07775185	-0.06307947	0.08657398	-0.03415781	0.02398901	0.05531792
1.966659	0.07714847	-0.06266980	0.08769519	-0.03189718	0.02553103	0.05820868
1.983325	0.07660578	-0.06220378	0.08871381	-0.02511005	0.02396018	0.05447216
1.999992	0.07619347	-0.06175473	0.08962590	-0.01692935	0.02090742	0.04714631
2.016658	0.07602995	-0.06141836	0.09027465	-0.00909965	0.01798071	0.03922065
2.033325	0.07598951	-0.06121772	0.09082181	-0.00314420	0.01517973	0.03152395
2.049992	0.07608126	-0.06104901	0.09128070	0.00011787	0.01290908	0.02467743
2.066658	0.07610758	-0.06082360	0.09166951	0.00074938	0.01155063	0.01901307
2.083325	0.07609731	-0.06059040	0.09194572	0.00101742	0.01127291	0.01293489
2.099991	0.07608080	-0.06040717	0.09209352	0.00286267	0.01111367	0.00478668
2.116658	0.07605249	-0.06027807	0.09215963	0.00656958	0.00979511	-0.00634218
2.133325	0.07622470	-0.06010793	0.09204478	0.01008593	0.00668134	-0.01907315
2.149991	0.07648431	-0.05994242	0.09162927	0.01212196	0.00134128	-0.03127159
2.166658	0.07681249	-0.05988773	0.09088799	0.01279762	-0.00633978	-0.04111731
2.183324	0.07701128	-0.06005616	0.08998563	0.01358727	-0.01511234	-0.04858912
2.199991	0.07710966	-0.06046471	0.08911377	0.01547127	-0.02169247	-0.05534541
2.216657	0.07730125	-0.06100109	0.08829766	0.01647501	-0.02415645	-0.06156697
2.233324	0.07769246	-0.06151224	0.08730362	0.01537680	-0.02331827	-0.06489661
2.249991	0.07816061	-0.06182979	0.08601362	0.01264428	-0.02121243	-0.06360635
2.266657	0.07835708	-0.06205381	0.08467754	0.00929695	-0.01932659	-0.05742819
2.283324	0.07828393	-0.06231657	0.08372877	0.00611326	-0.01831183	-0.04593537
2.299990	0.07821704	-0.06268743	0.08321664	0.00460764	-0.01891500	-0.02989252
2.316657	0.07833270	-0.06306956	0.08295538	0.00556747	-0.01827216	-0.01286516
2.333324	0.07858127	-0.06335696	0.08282200	0.00459561	-0.01451673	0.00140802
2.349990	0.07875426	-0.06364711	0.08291490	-0.00273378	-0.00691074	0.01435211
2.366657	0.07876132	-0.06368762	0.08328923	-0.01526723	0.00269965	0.02842598
2.383323	0.07835103	-0.06363867	0.08385824	-0.02633541	0.01230405	0.04266000
2.399990	0.07761937	-0.06321602	0.08472443	-0.03186336	0.02021550	0.05301255
