Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.09142936	-0.00798956	0.10366292	-0.00378986	0.01430442	-0.02211129
0.016667	0.09136980	-0.00771737	0.10333525	-0.00112184	0.01107919	-0.02299780
0.033333	0.09133485	-0.00756076	0.10293327	0.00154619	0.00785395	-0.02388431
0.050000	0.09135446	-0.00742250	0.10248657	0.00278981	0.00652687	-0.02054983
0.066666	0.09147136	-0.00741108	0.10206366	0.00397233	0.00390541	-0.01670434
0.083333	0.09158669	-0.00732181	0.10184428	0.00469076	0.00199265	-0.01142406
0.100000	0.09167086	-0.00731787	0.10175569	0.00512129	0.00075302	-0.00490872
0.116666	0.09168428	-0.00729509	0.10176605	0.00516003	-0.00020464	0.00206438
0.133333	0.09177805	-0.00733946	0.10178187	0.00492817	-0.00193273	0.00886332
0.149999	0.09189083	-0.00736225	0.10196379	0.00384705	-0.00280196	0.01640621
0.166666	0.09201746	-0.00741741	0.10228836	0.00178327	-0.00225948	0.02448807
0.183333	0.09203908	-0.00752363	0.10280553	-0.00168101	-0.00055501	0.03148233
0.199999	0.09192967	-0.00752075	0.10346002	-0.00577586	0.00089411	0.03550741
0.216666	0.09179536	-0.00746188	0.10413845	-0.00917818	0.00258518	0.03704980
0.233332	0.09157832	-0.00733353	0.10477976	-0.01042475	0.00420673	0.03603603
0.249999	0.09138673	-0.00729268	0.10532015	-0.00945181	0.00490214	0.03186026
0.266666	0.09119491	-0.00722119	0.10587610	-0.00661037	0.00467375	0.02477171
0.283332	0.09109594	-0.00714441	0.10631088	-0.00227150	0.00506863	0.01631903
0.299999	0.09110516	-0.00704191	0.10652097	0.00274618	0.00555636	0.00646054
0.316665	0.09120670	-0.00696397	0.10648316	0.00761743	0.00533515	-0.00447879
0.333332	0.09139808	-0.00681600	0.10629895	0.01071301	0.00524284	-0.01457775
0.349999	0.09163470	-0.00678603	0.10594954	0.01117878	0.00598491	-0.02242462
0.366665	0.09187935	-0.00668742	0.10551248	0.00913598	0.00633775	-0.02838064
0.383332	0.09203853	-0.00660870	0.10494609	0.00583286	0.00503041	-0.03232604
0.399998	0.09207129	-0.00641055	0.10437451	0.00258365	0.00303214	-0.03283514
0.416665	0.09202179	-0.00635144	0.10373741	0.00044424	0.00122259	-0.02977078
0.433332	0.09198342	-0.00643118	0.10321395	-0.00035599	-0.00066920	-0.02499698
0.449998	0.09198878	-0.00653547	0.10286758	0.00015620	-0.00263067	-0.01955953
0.466665	0.09203842	-0.00655783	0.10267925	0.00063148	-0.00252770	-0.01314247
0.483331	0.09204370	-0.00656825	0.10249870	-0.00033897	-0.00009248	-0.00546625
0.499998	0.09207434	-0.00658200	0.10238076	-0.00260783	0.00157969	0.00297406
0.516665	0.09200177	-0.00656919	0.10241292	-0.00525175	0.00053487	0.01276640
0.533331	0.09188117	-0.00643002	0.10278196	-0.00767294	-0.00166700	0.02404986
0.549998	0.09170004	-0.00646262	0.10329581	-0.00974074	-0.00334550	0.03468717
0.566664	0.09151119	-0.00660529	0.10404248	-0.01129829	-0.00482099	0.04107153
0.583331	0.09133770	-0.00681520	0.10482205	-0.01234913	-0.00672991	0.04145885
0.599998	0.09112885	-0.00688911	0.10564200	-0.01222351	-0.00770285	0.03725272
0.616664	0.09088725	-0.00691934	0.10624377	-0.01067050	-0.00765698	0.03045094
0.633331	0.09066724	-0.00707313	0.10661958	-0.00734168	-0.00754635	0.02260169
0.649997	0.09054623	-0.00725429	0.10685401	-0.00258819	-0.00823841	0.01484899
0.666664	0.09057073	-0.00743961	0.10705492	0.00240368	-0.00782071	0.00862736
0.683331	0.09070865	-0.00753548	0.10717856	0.00677536	-0.00574160	0.00329060
0.699997	0.09088366	-0.00761945	0.10721695	0.00994779	-0.00280051	-0.00249078
0.716664	0.09105560	-0.00763569	0.10710587	0.01185534	-0.00017173	-0.00947114
0.733330	0.09125599	-0.00762593	0.10690607	0.01295970	0.00289589	-0.01703031
0.749997	0.09148601	-0.00753728	0.10655928	0.01403565	0.00614941	-0.02524151
0.766664	0.09174782	-0.00745754	0.10607809	0.01490461	0.00802174	-0.03369237
0.783330	0.09199994	-0.00721419	0.10546330	0.01422683	0.00765889	-0.04012731
0.799997	0.09226885	-0.00705157	0.10465281	0.01175706	0.00630604	-0.04184106
0.816663	0.09248768	-0.00692758	0.10380100	0.00831410	0.00502094	-0.03864848
0.833330	0.09257983	-0.00698697	0.10309820	0.00454871	0.00328619	-0.03188969
0.849997	0.09258638	-0.00695991	0.10269548	0.00101146	0.00218864	-0.02265649
0.866663	0.09253792	-0.00688295	0.10250340	-0.00118562	0.00171539	-0.01270471
0.883330	0.09249673	-0.00682073	0.10236447	-0.00209146	0.00206805	-0.00317877
0.899996	0.09246105	-0.00677684	0.10233566	-0.00336570	0.00112440	0.00567357
0.916663	0.09243911	-0.00683576	0.10243848	-0.00539443	-0.00009797	0.01545368
0.933330	0.09237276	-0.00679251	0.10281285	-0.00707376	-0.00118192	0.02601656
0.949996	0.09217551	-0.00687152	0.10335100	-0.00693250	-0.00150398	0.03487128
0.966663	0.09197114	-0.00684450	0.10410510	-0.00496285	-0.00161875	0.03920779
0.983329	0.09185308	-0.00693267	0.10488220	-0.00142553	-0.00131165	0.03782910
0.999996	0.09194025	-0.00692251	0.10558496	0.00209038	0.00004929	0.03204545
1.016663	0.09208307	-0.00696277	0.10605226	0.00386743	0.00140242	0.02385894
1.033329	0.09222659	-0.00689592	0.10629778	0.00342687	0.00287946	0.01543472
1.049996	0.09222524	-0.00680869	0.10643297	0.00208550	0.00436982	0.00778291
1.066662	0.09218889	-0.00673182	0.10651995	0.00124906	0.00556508	0.00145954
1.083329	0.09215131	-0.00664396	0.10653858	0.00142102	0.00561924	-0.00381143
1.099996	0.09223016	-0.00652233	0.10642944	0.00245065	0.00578136	-0.00819917
1.116662	0.09231263	-0.00643371	0.10619295	0.00344788	0.00648987	-0.01223238
1.133329	0.09239698	-0.00633380	0.10592603	0.00370478	0.00716180	-0.01607674
1.149995	0.09242532	-0.00623178	0.10567151	0.00323532	0.00742830	-0.01939472
1.166662	0.09247193	-0.00606297	0.10535525	0.00283678	0.00731486	-0.02228399
1.183329	0.09250957	-0.00591979	0.10494655	0.00242279	0.00617838	-0.02518787
1.199995	0.09257141	-0.00581077	0.10445449	0.00134603	0.00363595	-0.02749603
1.216662	0.09260841	-0.00576469	0.10395416	-0.00068624	0.00091846	-0.02753958
1.233328	0.09260084	-0.00580476	0.10346563	-0.00247535	-0.00142752	-0.02496100
1.249995	0.09249926	-0.00589133	0.10303695	-0.00372467	-0.00472040	-0.02026633
1.266662	0.09237198	-0.00593425	0.10274455	-0.00437083	-0.00903387	-0.01301938
1.283328	0.09231022	-0.00605599	0.10255773	-0.00438513	-0.01215700	-0.00320425
1.299995	0.09226520	-0.00632655	0.10254239	-0.00394130	-0.01322302	0.00808250
1.316661	0.09223208	-0.00671955	0.10277431	-0.00410424	-0.01218522	0.01878884
1.333328	0.09214713	-0.00694886	0.10323148	-0.00486517	-0.00855589	0.02762526
1.349995	0.09205416	-0.00702162	0.10388317	-0.00528796	-0.00318512	0.03310634
1.366661	0.09193085	-0.00693254	0.10449871	-0.00500308	0.00225324	0.03498341
1.383328	0.09184121	-0.00683136	0.10511672	-0.00444138	0.00516772	0.03265878
1.399994	0.09179153	-0.00674585	0.10561802	-0.00371324	0.00652534	0.02804689
1.416661	0.09176271	-0.00660491	0.10611015	-0.00178587	0.00715146	0.02226004
1.433328	0.09170672	-0.00654650	0.10638198	0.00157420	0.00800610	0.01572146
1.449994	0.09168994	-0.00634052	0.10663886	0.00555626	0.00838332	0.00844385
1.466661	0.09182020	-0.00623064	0.10666396	0.00923790	0.00845047	0.00049759
1.483327	0.09209139	-0.00602318	0.10667082	0.01193629	0.00831535	-0.00715944
1.499994	0.09238131	-0.00593930	0.10644885	0.01288557	0.00696897	-0.01460338
1.516661	0.09260052	-0.00581259	0.10613123	0.01172905	0.00500626	-0.02135744
1.533327	0.09273901	-0.00571697	0.10570391	0.00946660	0.00288302	-0.02694931
1.549994	0.09286532	-0.00570934	0.10518463	0.00726248	0.00201866	-0.03020507
1.566660	0.09297127	-0.00571210	0.10462490	0.00572199	0.00135556	-0.03122271
1.583327	0.09307832	-0.00574246	0.10406448	0.00384612	0.00204276	-0.02850980
1.599994	0.09312699	-0.00566143	0.10354759	0.00197229	0.00336466	-0.02301419
1.616660	0.09316089	-0.00561063	0.10317897	0.00044115	0.00437606	-0.01643355
1.633327	0.09308475	-0.00545922	0.10303187	-0.00093133	0.00378615	-0.00982896
1.649993	0.09308814	-0.00541074	0.10297456	-0.00261140	0.00192300	-0.00282270
1.666660	0.09303837	-0.00535298	0.10298195	-0.00458149	-0.00003661	0.00504391
1.683327	0.09300485	-0.00545173	0.10300393	-0.00651336	-0.00144887	0.01405967
1.699993	0.09284104	-0.00550394	0.10327537	-0.00829704	-0.00149082	0.02430903
1.716660	0.09264205	-0.00555694	0.10380626	-0.00849176	-0.00058714	0.03377559
1.733326	0.09245346	-0.00552106	0.10456953	-0.00688019	0.00039009	0.03906534
1.749993	0.09233014	-0.00546715	0.10541151	-0.00398026	0.00003516	0.03775772
1.766660	0.09234430	-0.00543457	0.10609213	-0.00176069	-0.00084770	0.03118241
1.783326	0.09238590	-0.00548553	0.10652918	-0.00032142	-0.00152040	0.02220759
1.799993	0.09242091	-0.00558391	0.10670586	0.00020623	-0.00238766	0.01276588
1.816659	0.09236048	-0.00563328	0.10679779	0.00049848	-0.00342181	0.00462914
1.833326	0.09234715	-0.00561220	0.10687046	0.00110783	-0.00323840	-0.00053644
1.849993	0.09235486	-0.00568812	0.10679527	0.00223798	-0.00270380	-0.00384887
1.866659	0.09246566	-0.00577583	0.10666964	0.00341529	-0.00269746	-0.00736828
1.883326	0.09253751	-0.00582398	0.10652342	0.00364551	-0.00297546	-0.01179573
1.899992	0.09261663	-0.00585396	0.10633798	0.00337475	-0.00146190	-0.01599657
1.916659	0.09263872	-0.00584331	0.10608342	0.00283336	0.00085266	-0.02060727
1.933326	0.09265680	-0.00591312	0.10561765	0.00230082	0.00312055	-0.02552900
1.949992	0.09271865	-0.00577256	0.10517237	0.00163913	0.00549084	-0.02927233
1.966659	0.09275562	-0.00568313	0.10458296	0.00094939	0.00802626	-0.02955762
1.983325	0.09277906	-0.00547275	0.10405831	0.00025001	0.00828017	-0.02744358
1.999992	0.09274864	-0.00531270	0.10356874	0.00010833	0.00587880	-0.02445756
2.016659	0.09270633	-0.00516204	0.10327025	0.00022788	0.00301922	-0.02059460
2.033325	0.09272319	-0.00520808	0.10297504	-0.00034921	0.00026879	-0.01617967
2.049992	0.09277403	-0.00528491	0.10272819	-0.00183538	-0.00122142	-0.01089577
2.066658	0.09278185	-0.00536372	0.10249841	-0.00396760	-0.00134255	-0.00418724
2.083325	0.09266461	-0.00534563	0.10245761	-0.00598079	-0.00007032	0.00542643
2.099992	0.09246840	-0.00529638	0.10260714	-0.00758766	0.00023412	0.01665487
2.116658	0.09230193	-0.00526670	0.10301100	-0.00799544	-0.00145637	0.02713896
2.133325	0.09221134	-0.00526022	0.10363649	-0.00636271	-0.00411137	0.03439917
2.149991	0.09211282	-0.00539656	0.10434485	-0.00350410	-0.00561074	0.03737107
2.166658	0.09205139	-0.00557819	0.10505007	-0.00148953	-0.00551267	0.03546859
2.183325	0.09205079	-0.00572250	0.10563205	-0.00072651	-0.00359072	0.03024158
2.199991	0.09211789	-0.00573323	0.10608707	-0.00046767	-0.00046257	0.02328755
2.216658	0.09211691	-0.00566551	0.10638031	-0.00054151	0.00205600	0.01545108
2.233324	0.09207071	-0.00556055	0.10659057	-0.00079189	0.00275609	0.00702067
2.249991	0.09200625	-0.00550590	0.10665903	-0.00074897	0.00198511	-0.00105542
2.266658	0.09200184	-0.00549653	0.10658375	0.00023812	0.00087676	-0.00781331
2.283324	0.09204312	-0.00553741	0.10631522	0.00133928	0.00004755	-0.01339016
2.299991	0.09208792	-0.00554132	0.10600927	0.00164636	0.00000363	-0.01728203
2.316657	0.09214208	-0.00553153	0.10569372	0.00125453	0.00126489	-0.01951393
2.333324	0.09213966	-0.00550600	0.10536885	0.00069179	0.00253278	-0.02114591
2.349991	0.09212530	-0.00546579	0.10503588	0.00019077	0.00315966	-0.02322460
2.366657	0.09212336	-0.00535549	0.10462779	0.00044387	0.00282465	-0.02512655
2.383324	0.09212588	-0.00531738	0.10416586	0.00145626	0.00151500	-0.02637933
2.399990	0.09215429	-0.00525402	0.10367161	0.00243996	-0.00024197	-0.02619039
