Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.09500007	-0.02983240	0.08807777	-0.01611455	-0.04033833	-0.06630436
0.016667	0.09477777	-0.03052158	0.08706760	-0.01712217	-0.03249079	-0.06299952
0.033333	0.09447081	-0.03108444	0.08589146	-0.01812979	-0.02464325	-0.05969470
0.050000	0.09409262	-0.03146843	0.08481985	-0.01563224	-0.02324214	-0.05766139
0.066666	0.09380544	-0.03167024	0.08403230	-0.01439316	-0.02102010	-0.05798210
0.083333	0.09365046	-0.03189539	0.08326856	-0.01278040	-0.02210458	-0.05623221
0.100000	0.09350526	-0.03234218	0.08221793	-0.01151574	-0.02650111	-0.05498796
0.116666	0.09334922	-0.03284791	0.08111278	-0.01056731	-0.03286421	-0.05657296
0.133333	0.09307665	-0.03347388	0.08021253	-0.00917982	-0.03725888	-0.05896930
0.149999	0.09289557	-0.03412740	0.07941180	-0.00791888	-0.03811492	-0.05957813
0.166666	0.09280695	-0.03486912	0.07844038	-0.00734254	-0.03593040	-0.05886239
0.183333	0.09281484	-0.03548894	0.07725725	-0.00803619	-0.03277713	-0.05725935
0.199999	0.09270112	-0.03597540	0.07618023	-0.00976920	-0.02998030	-0.05325491
0.216666	0.09246927	-0.03630510	0.07536614	-0.01091429	-0.02677155	-0.04526801
0.233332	0.09214031	-0.03676138	0.07478190	-0.00924949	-0.02279147	-0.03361577
0.249999	0.09195273	-0.03722106	0.07429779	-0.00309871	-0.01831689	-0.02024152
0.266666	0.09192502	-0.03757904	0.07395112	0.00639426	-0.01188890	-0.00565628
0.283332	0.09216268	-0.03766422	0.07393722	0.01587632	-0.00171314	0.01275146
0.299999	0.09257526	-0.03761418	0.07428022	0.02230560	0.01120924	0.03693375
0.316665	0.09310152	-0.03733982	0.07502702	0.02646606	0.02508730	0.06171269
0.333332	0.09356722	-0.03685609	0.07631177	0.03101551	0.03766900	0.07913829
0.349999	0.09397271	-0.03605117	0.07809927	0.03717679	0.04727827	0.08756776
0.366665	0.09453128	-0.03504510	0.07989302	0.04304392	0.05200345	0.08952053
0.383332	0.09540863	-0.03403740	0.08128124	0.04595108	0.05182076	0.08622542
0.399998	0.09645187	-0.03316522	0.08243868	0.04295165	0.04815383	0.07929826
0.416665	0.09730808	-0.03249363	0.08367716	0.03283551	0.04272619	0.07464620
0.433332	0.09773400	-0.03187190	0.08501755	0.01784093	0.03713112	0.07525335
0.449998	0.09774496	-0.03124822	0.08624241	0.00242920	0.03243401	0.07681254
0.466665	0.09754139	-0.03072047	0.08749177	-0.00906475	0.02854477	0.07437873
0.483331	0.09728041	-0.03027394	0.08879370	-0.01507787	0.02293516	0.06861646
0.499998	0.09698267	-0.02996411	0.09003332	-0.01531100	0.01756488	0.06206369
0.516665	0.09669403	-0.02967711	0.09097303	-0.01185202	0.01401226	0.05412130
0.533331	0.09642335	-0.02961390	0.09169042	-0.00637027	0.01302653	0.04263492
0.549998	0.09641360	-0.02938133	0.09234382	-0.00154645	0.01172535	0.02870932
0.566664	0.09648567	-0.02921938	0.09287516	0.00010986	0.00755308	0.01603662
0.583331	0.09669863	-0.02885470	0.09299877	-0.00156083	0.00315362	0.00465920
0.599998	0.09664094	-0.02889490	0.09281456	-0.00662899	-0.00226824	-0.00782795
0.616664	0.09640481	-0.02915243	0.09254880	-0.01286776	-0.00707650	-0.02109431
0.633331	0.09608631	-0.02933810	0.09224116	-0.01735586	-0.00949605	-0.03105589
0.649997	0.09567859	-0.02962240	0.09166414	-0.01794643	-0.00757968	-0.03743305
0.666664	0.09540540	-0.02956659	0.09077255	-0.01682180	-0.00525514	-0.04383533
0.683331	0.09513403	-0.02966605	0.08995069	-0.01633531	-0.00644828	-0.05050284
0.699997	0.09496661	-0.02963465	0.08918497	-0.01710410	-0.01312109	-0.05330900
0.716664	0.09470990	-0.02982018	0.08830655	-0.01777231	-0.02161115	-0.05233077
0.733330	0.09430504	-0.03034625	0.08727406	-0.01771788	-0.02773502	-0.05222520
0.749997	0.09392902	-0.03107751	0.08636623	-0.01743160	-0.03199304	-0.05521423
0.766664	0.09366506	-0.03170621	0.08561941	-0.01531648	-0.03159057	-0.05895474
0.783330	0.09349486	-0.03215736	0.08474272	-0.01236976	-0.02787481	-0.06181454
0.799997	0.09331889	-0.03251439	0.08352330	-0.00917569	-0.02322074	-0.06668717
0.816663	0.09316614	-0.03283171	0.08224086	-0.00796343	-0.02351221	-0.07459304
0.833330	0.09300776	-0.03322218	0.08104795	-0.01039688	-0.02896378	-0.08181939
0.849997	0.09300468	-0.03354830	0.07975645	-0.01536025	-0.03493602	-0.08446991
0.866663	0.09273788	-0.03435864	0.07819392	-0.01949735	-0.03899090	-0.08178296
0.883330	0.09228205	-0.03516109	0.07655194	-0.01941752	-0.04094464	-0.07266915
0.899996	0.09166649	-0.03596169	0.07528180	-0.01303887	-0.03690665	-0.05620151
0.916663	0.09136935	-0.03652178	0.07455336	-0.00028525	-0.02600092	-0.03350912
0.933330	0.09157228	-0.03691785	0.07433479	0.01519250	-0.01254118	-0.00919629
0.949996	0.09215943	-0.03696819	0.07440817	0.02876081	0.00107298	0.01155701
0.966663	0.09288342	-0.03680877	0.07479633	0.03539002	0.01467159	0.02816032
0.983329	0.09354449	-0.03639188	0.07542339	0.03494403	0.02713272	0.04395618
0.999996	0.09411097	-0.03591621	0.07623716	0.03079147	0.03535007	0.05927884
1.016663	0.09454728	-0.03511557	0.07731120	0.02692971	0.03966632	0.06960509
1.033329	0.09490782	-0.03435466	0.07872769	0.02359608	0.04083961	0.07336407
1.049996	0.09526165	-0.03363613	0.08022785	0.02002687	0.03974336	0.07315604
1.066662	0.09566429	-0.03304086	0.08142584	0.01602649	0.03468758	0.07095171
1.083329	0.09591920	-0.03253034	0.08235048	0.01281598	0.02982151	0.06596699
1.099996	0.09606917	-0.03196942	0.08332649	0.00941832	0.02580547	0.06044769
1.116662	0.09607229	-0.03172477	0.08447006	0.00602732	0.02233531	0.05732074
1.133329	0.09623170	-0.03127712	0.08546664	0.00383751	0.01816048	0.05490366
1.149995	0.09626778	-0.03108617	0.08631156	0.00343902	0.01574675	0.04998998
1.166662	0.09635115	-0.03076982	0.08703234	0.00365866	0.01684065	0.04341292
1.183329	0.09631994	-0.03065729	0.08774031	0.00293290	0.01851135	0.03826443
1.199995	0.09641043	-0.03033126	0.08835056	0.00152317	0.01916369	0.03593507
1.216662	0.09648326	-0.02984478	0.08885526	-0.00047520	0.01800475	0.03545183
1.233328	0.09648637	-0.02945790	0.08936881	-0.00248862	0.01576089	0.03418977
1.249995	0.09637102	-0.02925031	0.09000894	-0.00595173	0.00875711	0.03045996
1.266662	0.09621441	-0.02921874	0.09065369	-0.01016733	-0.00142118	0.02362678
1.283328	0.09606756	-0.02925780	0.09107147	-0.01478637	-0.01203547	0.01412405
1.299995	0.09581311	-0.02954119	0.09112927	-0.01903437	-0.02137560	0.00262787
1.316661	0.09545226	-0.03001421	0.09095990	-0.02241214	-0.02969561	-0.01012814
1.333328	0.09495095	-0.03067160	0.09071701	-0.02286462	-0.03672842	-0.02302741
1.349995	0.09449133	-0.03133003	0.09035020	-0.01884684	-0.04009441	-0.03434400
1.366661	0.09413402	-0.03205397	0.08968472	-0.01157720	-0.04103065	-0.04352728
1.383328	0.09404906	-0.03277667	0.08871760	-0.00426205	-0.04133896	-0.05144508
1.399994	0.09415688	-0.03339623	0.08770181	-0.00098650	-0.04090256	-0.05797379
1.416661	0.09431497	-0.03410369	0.08675916	-0.00395188	-0.03832890	-0.06150236
1.433328	0.09431261	-0.03476288	0.08577727	-0.01231802	-0.03488711	-0.06219687
1.449994	0.09398869	-0.03538766	0.08467208	-0.02065294	-0.03193853	-0.06269640
1.466661	0.09340336	-0.03580772	0.08354996	-0.02367826	-0.02909389	-0.06384063
1.483327	0.09275024	-0.03618763	0.08251484	-0.01991466	-0.02671772	-0.06436440
1.499994	0.09241191	-0.03664029	0.08148631	-0.01126301	-0.02552465	-0.06454806
1.516661	0.09244330	-0.03708943	0.08042223	-0.00123561	-0.02568795	-0.06623384
1.533327	0.09266684	-0.03754460	0.07930399	0.00573146	-0.02605473	-0.06948978
1.549994	0.09288292	-0.03793814	0.07812506	0.00662128	-0.02691466	-0.07196201
1.566660	0.09298641	-0.03834803	0.07686654	0.00280236	-0.02699576	-0.07127767
1.583327	0.09297912	-0.03883127	0.07557531	-0.00280795	-0.02551406	-0.06663341
1.599994	0.09285609	-0.03936419	0.07442144	-0.00786769	-0.02287995	-0.05809650
1.616660	0.09266976	-0.03972988	0.07353172	-0.01109731	-0.01913451	-0.04492405
1.633327	0.09242354	-0.03997171	0.07290194	-0.01067017	-0.01262271	-0.02720229
1.649993	0.09218632	-0.04009116	0.07253253	-0.00543950	-0.00219525	-0.00609359
1.666660	0.09202744	-0.04020305	0.07254407	0.00240118	0.00951825	0.01691147
1.683327	0.09215059	-0.04000049	0.07301151	0.01037300	0.02095992	0.04081340
1.699993	0.09253959	-0.03942064	0.07397964	0.01815926	0.03287250	0.06345256
1.716660	0.09296484	-0.03869426	0.07529288	0.02538680	0.04470342	0.08104461
1.733326	0.09336853	-0.03786632	0.07690331	0.02952200	0.05471398	0.09145758
1.749993	0.09384920	-0.03695621	0.07861506	0.02900098	0.06086522	0.09555280
1.766660	0.09447787	-0.03584851	0.08026057	0.02503040	0.06214106	0.09595841
1.783326	0.09501367	-0.03455672	0.08180512	0.01937203	0.05903995	0.09394939
1.799993	0.09523090	-0.03354351	0.08328643	0.01178567	0.05192192	0.09078002
1.816659	0.09522132	-0.03278069	0.08483478	0.00363020	0.04338425	0.08708839
1.833326	0.09517659	-0.03230621	0.08630672	-0.00314073	0.03404607	0.08250332
1.849993	0.09510136	-0.03188954	0.08767987	-0.00710464	0.02658847	0.07527448
1.866659	0.09503123	-0.03130122	0.08887049	-0.00872656	0.02282082	0.06393611
1.883326	0.09476070	-0.03107629	0.08989946	-0.00901326	0.02137677	0.04924961
1.899992	0.09456994	-0.03072659	0.09066138	-0.00842273	0.01848031	0.03200786
1.916659	0.09441233	-0.03050077	0.09104438	-0.00696129	0.01451059	0.01336475
1.933326	0.09438883	-0.03016064	0.09108047	-0.00616389	0.00569683	-0.00673144
1.949992	0.09435866	-0.02999162	0.09076238	-0.00863086	-0.00939485	-0.02622682
1.966659	0.09425192	-0.03009250	0.09020174	-0.01333395	-0.02616311	-0.04282815
1.983325	0.09397414	-0.03091229	0.08925512	-0.01685201	-0.03831600	-0.05512475
1.999992	0.09351695	-0.03192049	0.08815622	-0.01685007	-0.04345835	-0.06316832
2.016659	0.09309028	-0.03298759	0.08694439	-0.01518703	-0.04268449	-0.06757703
2.033325	0.09293106	-0.03336962	0.08582676	-0.01370808	-0.03573311	-0.06804862
2.049992	0.09291635	-0.03379154	0.08471242	-0.01230971	-0.02503256	-0.06604910
2.066658	0.09278029	-0.03416649	0.08358482	-0.01068239	-0.01688191	-0.06367268
2.083325	0.09242546	-0.03453082	0.08255123	-0.00848699	-0.01410754	-0.06240400
2.099992	0.09213672	-0.03460722	0.08155473	-0.00575019	-0.01382831	-0.06095932
2.116658	0.09211904	-0.03469266	0.08058292	-0.00177544	-0.01666379	-0.05985630
2.133325	0.09233095	-0.03489800	0.07955537	0.00356702	-0.02140353	-0.05974163
2.149991	0.09243909	-0.03544589	0.07857193	0.00836279	-0.02698296	-0.06020055
2.166658	0.09250150	-0.03608069	0.07756462	0.01112357	-0.03035790	-0.05990473
2.183325	0.09264138	-0.03664201	0.07657167	0.01207800	-0.03094069	-0.05867616
2.199991	0.09295812	-0.03710242	0.07554928	0.01237867	-0.02956251	-0.05794969
2.216658	0.09329843	-0.03747713	0.07462531	0.01027111	-0.02892424	-0.05763646
2.233324	0.09345664	-0.03797555	0.07371394	0.00381728	-0.02970234	-0.05656540
2.249991	0.09347988	-0.03849189	0.07275754	-0.00556844	-0.03202168	-0.05328497
2.266658	0.09326714	-0.03908644	0.07179538	-0.01351362	-0.03224665	-0.04637029
2.283324	0.09289820	-0.03963808	0.07095987	-0.01772589	-0.02816977	-0.03350208
2.299991	0.09246362	-0.04022454	0.07043755	-0.01750778	-0.01976364	-0.01312872
2.316657	0.09213640	-0.04049109	0.07033491	-0.01183190	-0.00636282	0.01350851
2.333324	0.09196803	-0.04055029	0.07074965	-0.00192084	0.01196868	0.04207918
2.349991	0.09200326	-0.04018690	0.07177665	0.00782243	0.03285529	0.06777783
2.366657	0.09229586	-0.03947087	0.07328110	0.01369694	0.05112040	0.08704618
2.383324	0.09274377	-0.03833606	0.07505468	0.01561480	0.06396902	0.09806831
