Time	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.07907538	-0.00418456	0.08192244	-0.01800570	-0.00104809	0.00134431
0.016667	0.07867064	-0.00424050	0.08182558	-0.00792685	0.00157017	0.01117413
0.033333	0.07857659	-0.00419554	0.08207723	0.00215200	0.00418844	0.02100394
0.050000	0.07879034	-0.00405968	0.08259604	0.00067856	0.00236845	0.01907319
0.066666	0.07894282	-0.00398081	0.08305327	0.00255135	0.00048079	0.01954876
0.083333	0.07901178	-0.00395460	0.08341235	-0.00124380	-0.00368842	0.01303495
0.100000	0.07887252	-0.00409502	0.08351520	-0.00610347	-0.00732125	0.00509096
0.116666	0.07868157	-0.00430914	0.08349509	-0.00764857	-0.00817626	0.00000134
0.133333	0.07845054	-0.00454727	0.08330960	-0.00613051	-0.00674516	-0.00328136
0.149999	0.07834086	-0.00464627	0.08324847	-0.00304413	-0.00394298	-0.00601860
0.166666	0.07841771	-0.00459114	0.08326481	0.00029843	-0.00078463	-0.00861242
0.183333	0.07848852	-0.00454520	0.08313382	0.00341398	0.00190340	-0.01110797
0.199999	0.07856807	-0.00450561	0.08287884	0.00517095	0.00316697	-0.01413575
0.216666	0.07860632	-0.00449432	0.08249228	0.00623773	0.00358936	-0.01606829
0.233332	0.07872263	-0.00441606	0.08220724	0.00771727	0.00395004	-0.01562248
0.249999	0.07888046	-0.00431592	0.08197943	0.00967719	0.00414605	-0.01318196
0.266666	0.07907315	-0.00422707	0.08180062	0.01154703	0.00364901	-0.01042705
0.283332	0.07928015	-0.00417163	0.08165848	0.01241976	0.00235653	-0.00882193
0.299999	0.07950351	-0.00415477	0.08152534	0.01250067	0.00134014	-0.00795759
0.316665	0.07972584	-0.00416554	0.08141092	0.01149208	0.00088521	-0.00793751
0.333332	0.07992436	-0.00416837	0.08128374	0.01009401	0.00112576	-0.00911862
0.349999	0.08008578	-0.00413661	0.08114566	0.00901099	0.00201255	-0.01174753
0.366665	0.08017217	-0.00409624	0.08095786	0.00830195	0.00292353	-0.01518330
0.383332	0.08030027	-0.00402664	0.08066932	0.00783193	0.00337191	-0.01844786
0.399998	0.08044039	-0.00395716	0.08028795	0.00780153	0.00327582	-0.02129608
0.416665	0.08060087	-0.00390077	0.07987867	0.00783730	0.00276493	-0.02317080
0.433332	0.08072478	-0.00385644	0.07948850	0.00724210	0.00185234	-0.02322348
0.449998	0.08083425	-0.00384215	0.07909332	0.00616542	0.00079879	-0.02171931
0.466665	0.08092994	-0.00383019	0.07871872	0.00525149	-0.00003955	-0.01929384
0.483331	0.08100631	-0.00384842	0.07840979	0.00486611	-0.00040132	-0.01584011
0.499998	0.08106585	-0.00387086	0.07816514	0.00439042	-0.00044225	-0.01085252
0.516665	0.08114627	-0.00388112	0.07801640	0.00383513	-0.00000232	-0.00429684
0.533331	0.08122239	-0.00387466	0.07796603	0.00170921	0.00075668	0.00261148
0.549998	0.08126642	-0.00385912	0.07807651	-0.00314833	0.00151978	0.00942875
0.566664	0.08126692	-0.00381164	0.07834777	-0.00988286	0.00207311	0.01561708
0.583331	0.08102222	-0.00378106	0.07865970	-0.01600473	0.00237366	0.02020520
0.599998	0.08061929	-0.00372280	0.07907469	-0.02000336	0.00237336	0.02289234
0.616664	0.08011588	-0.00369441	0.07946902	-0.02184225	0.00206287	0.02493906
0.633331	0.07975857	-0.00365203	0.07989396	-0.02190066	0.00128726	0.02753615
0.649997	0.07949851	-0.00363223	0.08032759	-0.02089639	-0.00001149	0.03021141
0.666664	0.07919826	-0.00362915	0.08084558	-0.01949046	-0.00157309	0.03204280
0.683331	0.07882269	-0.00367352	0.08147810	-0.01858003	-0.00319730	0.03233941
0.699997	0.07844087	-0.00375281	0.08207820	-0.01735817	-0.00428387	0.03126150
0.716664	0.07817738	-0.00385632	0.08258527	-0.01502729	-0.00463281	0.02789564
0.733330	0.07799212	-0.00394721	0.08298518	-0.01133420	-0.00412253	0.02273420
0.749997	0.07784010	-0.00400836	0.08333959	-0.00713530	-0.00321373	0.01698184
0.766664	0.07770976	-0.00404471	0.08358628	-0.00386243	-0.00236233	0.01108018
0.783330	0.07767680	-0.00405775	0.08374014	-0.00163809	-0.00172100	0.00508255
0.799997	0.07773110	-0.00408745	0.08374796	-0.00006676	-0.00123320	-0.00071373
0.816663	0.07776783	-0.00411482	0.08366735	0.00100285	-0.00103175	-0.00557119
0.833330	0.07777272	-0.00413227	0.08351139	0.00184555	-0.00092434	-0.00948358
0.849997	0.07775256	-0.00413321	0.08331898	0.00298311	-0.00071568	-0.01286098
0.866663	0.07779571	-0.00414382	0.08310334	0.00490362	-0.00054222	-0.01629046
0.883330	0.07792769	-0.00415381	0.08281868	0.00748529	-0.00062771	-0.01921702
0.899996	0.07808764	-0.00416900	0.08245567	0.00981607	-0.00084506	-0.02103266
0.916663	0.07828552	-0.00417432	0.08202237	0.01106136	-0.00074170	-0.02171045
0.933330	0.07848090	-0.00419827	0.08163383	0.01181734	-0.00014850	-0.02159172
0.949996	0.07867843	-0.00421168	0.08131304	0.01295840	0.00080160	-0.02114070
0.966663	0.07887615	-0.00419711	0.08101223	0.01443347	0.00206677	-0.02047845
0.983329	0.07911617	-0.00414038	0.08067378	0.01585974	0.00359185	-0.02008133
0.999996	0.07942436	-0.00406077	0.08028588	0.01666299	0.00495238	-0.01978614
1.016663	0.07974543	-0.00396141	0.07995219	0.01636504	0.00580463	-0.01906533
1.033329	0.08004010	-0.00385426	0.07964632	0.01439104	0.00599405	-0.01779239
1.049996	0.08026117	-0.00374253	0.07939144	0.01106147	0.00548150	-0.01684766
1.066662	0.08041556	-0.00364551	0.07912873	0.00733680	0.00404683	-0.01695461
1.083329	0.08048852	-0.00357654	0.07885709	0.00429937	0.00180082	-0.01761213
1.099996	0.08051452	-0.00355626	0.07854853	0.00300364	-0.00046890	-0.01764733
1.116662	0.08051234	-0.00360494	0.07821177	0.00336317	-0.00195589	-0.01595902
1.133329	0.08054930	-0.00369227	0.07790750	0.00423690	-0.00245646	-0.01268541
1.149995	0.08066969	-0.00375444	0.07771492	0.00437846	-0.00210068	-0.00799242
1.166662	0.08080871	-0.00376769	0.07765432	0.00347403	-0.00102750	-0.00233267
1.183329	0.08088351	-0.00375119	0.07767548	0.00145246	0.00004565	0.00400344
1.199995	0.08084557	-0.00374218	0.07778029	-0.00110250	0.00054978	0.01136278
1.216662	0.08076618	-0.00372570	0.07797100	-0.00446709	0.00050987	0.01938012
1.233328	0.08067751	-0.00372667	0.07834475	-0.00858921	0.00083659	0.02753950
1.249995	0.08059574	-0.00371572	0.07893559	-0.01292863	0.00204620	0.03494258
1.266662	0.08033281	-0.00370934	0.07962676	-0.01689973	0.00394823	0.04087800
1.283328	0.07995903	-0.00362296	0.08039819	-0.02015129	0.00588077	0.04428073
1.299995	0.07950781	-0.00348670	0.08113517	-0.02130837	0.00709558	0.04464823
1.316661	0.07914267	-0.00330718	0.08192568	-0.01900129	0.00720540	0.04286228
1.333328	0.07882959	-0.00317370	0.08265540	-0.01384234	0.00595984	0.03938787
1.349995	0.07863583	-0.00309855	0.08328730	-0.00868376	0.00359885	0.03385025
1.366661	0.07856014	-0.00306845	0.08383172	-0.00514379	0.00078118	0.02656146
1.383328	0.07860383	-0.00307704	0.08421169	-0.00280080	-0.00147836	0.01964286
1.399994	0.07856192	-0.00312860	0.08444806	-0.00172318	-0.00296842	0.01341102
1.416661	0.07851921	-0.00320940	0.08456451	-0.00166551	-0.00373844	0.00801291
1.433328	0.07844566	-0.00328921	0.08466982	-0.00141994	-0.00397281	0.00381322
1.449994	0.07843793	-0.00335312	0.08470797	-0.00050225	-0.00372704	0.00093639
1.466661	0.07845113	-0.00340024	0.08470291	0.00064332	-0.00319566	-0.00180018
1.483327	0.07849308	-0.00345464	0.08462477	0.00154749	-0.00256639	-0.00480099
1.499994	0.07851025	-0.00349664	0.08455042	0.00198592	-0.00206297	-0.00734235
1.516661	0.07855611	-0.00353198	0.08438051	0.00228581	-0.00193963	-0.00951815
1.533327	0.07857429	-0.00354148	0.08420749	0.00229110	-0.00198332	-0.01157270
1.549994	0.07864069	-0.00356449	0.08398907	0.00255552	-0.00167176	-0.01357844
1.566660	0.07867841	-0.00361720	0.08375639	0.00313794	-0.00090594	-0.01480835
1.583327	0.07871246	-0.00365633	0.08349356	0.00404102	-0.00011824	-0.01624688
1.599994	0.07878826	-0.00364014	0.08319035	0.00514465	0.00079526	-0.01827393
1.616660	0.07887379	-0.00358217	0.08292543	0.00690981	0.00170741	-0.02102216
1.633327	0.07902175	-0.00354087	0.08254845	0.00855650	0.00189387	-0.02383953
1.649993	0.07916903	-0.00351030	0.08213415	0.00936858	0.00100625	-0.02638298
1.666660	0.07937012	-0.00349730	0.08160949	0.00912659	-0.00028685	-0.02814029
1.683327	0.07953539	-0.00350964	0.08110910	0.00785618	-0.00137283	-0.02894998
1.699993	0.07966034	-0.00355618	0.08062991	0.00665701	-0.00216334	-0.02934546
1.716660	0.07973143	-0.00361075	0.08017804	0.00613688	-0.00258497	-0.02902955
1.733326	0.07976920	-0.00366124	0.07969381	0.00652796	-0.00237198	-0.02758652
1.749993	0.07989632	-0.00369619	0.07917954	0.00690906	-0.00166722	-0.02442493
1.766660	0.08005337	-0.00372524	0.07873282	0.00726565	-0.00042194	-0.01902562
1.783326	0.08023277	-0.00372171	0.07845586	0.00760037	0.00164661	-0.01124331
1.799993	0.08030971	-0.00370772	0.07834210	0.00669344	0.00365306	-0.00078183
1.816659	0.08039716	-0.00361586	0.07842509	0.00360919	0.00436193	0.01239342
1.833326	0.08050206	-0.00346982	0.07864654	-0.00049092	0.00425803	0.02529356
1.849993	0.08051037	-0.00337257	0.07919985	-0.00401253	0.00468429	0.03449983
1.866659	0.08035068	-0.00336687	0.08004459	-0.00752549	0.00539459	0.03789179
1.883326	0.08011927	-0.00334350	0.08087205	-0.01023278	0.00577195	0.03654711
1.899992	0.07992332	-0.00319315	0.08149562	-0.01046993	0.00590888	0.03150181
1.916659	0.07974687	-0.00300041	0.08176183	-0.00792551	0.00596825	0.02537857
1.933326	0.07962318	-0.00288653	0.08207884	-0.00488719	0.00513571	0.02120626
1.949992	0.07956070	-0.00287333	0.08238716	-0.00301392	0.00321632	0.02035172
1.966659	0.07960395	-0.00286468	0.08280595	-0.00207853	0.00150632	0.02017811
1.983325	0.07959862	-0.00284090	0.08317327	-0.00201345	0.00087165	0.01784064
1.999992	0.07954370	-0.00281220	0.08349401	-0.00247073	0.00095507	0.01403535
2.016659	0.07945706	-0.00279848	0.08366214	-0.00259874	0.00094247	0.00991129
2.033325	0.07937868	-0.00279807	0.08373978	-0.00135236	0.00064807	0.00692061
2.049992	0.07938341	-0.00278136	0.08378453	0.00046525	0.00009226	0.00502059
2.066658	0.07941757	-0.00277394	0.08387291	0.00176788	-0.00059858	0.00431074
2.083325	0.07951362	-0.00277792	0.08397757	0.00190218	-0.00134847	0.00410301
2.099992	0.07955215	-0.00282118	0.08404557	0.00118912	-0.00192715	0.00376014
2.116658	0.07954952	-0.00287627	0.08408874	0.00007957	-0.00215755	0.00289073
2.133325	0.07950701	-0.00292338	0.08411698	-0.00099611	-0.00211875	0.00212830
2.149992	0.07948118	-0.00294436	0.08415621	-0.00154056	-0.00184943	0.00206281
2.166658	0.07946409	-0.00295972	0.08417878	-0.00196204	-0.00166907	0.00209612
2.183325	0.07944728	-0.00298718	0.08421400	-0.00266490	-0.00214768	0.00106052
2.199991	0.07940115	-0.00302169	0.08426448	-0.00296795	-0.00324505	-0.00184518
2.216658	0.07932439	-0.00307209	0.08426225	-0.00208613	-0.00423995	-0.00666971
2.233324	0.07923115	-0.00316812	0.08413874	-0.00030041	-0.00440745	-0.01319883
2.249991	0.07924873	-0.00327385	0.08383694	0.00232075	-0.00351915	-0.02074153
2.266658	0.07934027	-0.00335870	0.08339877	0.00570273	-0.00188463	-0.02853524
2.283324	0.07948116	-0.00335759	0.08285237	0.00950456	0.00015778	-0.03554552
2.299991	0.07965106	-0.00330248	0.08221168	0.01259675	0.00198894	-0.04037370
2.316657	0.07986397	-0.00324157	0.08145652	0.01453584	0.00287621	-0.04177099
2.333324	0.08018243	-0.00318024	0.08065461	0.01496369	0.00258129	-0.03957090
2.349991	0.08047476	-0.00314489	0.07994294	0.01391133	0.00191442	-0.03482549
2.366657	0.08072884	-0.00312107	0.07944121	0.01132821	0.00138270	-0.02914839
2.383324	0.08085649	-0.00311994	0.07909600	0.00803496	0.00097784	-0.02384415
2.399990	0.08093785	-0.00310322	0.07879505	0.00546048	0.00064411	-0.01944155
